t/M,Re(Psi_4),Im(Psi_4)
-100.0,-9.709711652917301e-11,-6.366898305696643e-13
-99.99,-9.715084646432979e-11,-6.371126361138564e-13
-99.98,-9.720461185605443e-11,-6.375357335226636e-13
-99.97,-9.725841249017837e-11,-6.379593096769748e-13
-99.96,-9.731224863165622e-11,-6.383830471436701e-13
-99.95,-9.736612032781131e-11,-6.388072753786509e-13
-99.94,-9.742002739893699e-11,-6.392316071767012e-13
-99.93,-9.747396976307349e-11,-6.396564066301538e-13
-99.92,-9.75279479294819e-11,-6.400814944553751e-13
-99.91,-9.758196161644979e-11,-6.40506948846818e-13
-99.9,-9.763601081503435e-11,-6.409326363037323e-13
-99.89,-9.769009573877602e-11,-6.413587999141353e-13
-99.88,-9.774421617208807e-11,-6.41785208175604e-13
-99.87,-9.779837221241727e-11,-6.422119377687145e-13
-99.86,-9.785256422313334e-11,-6.426390106704117e-13
-99.85,-9.790679177917603e-11,-6.430664145741066e-13
-99.84,-9.796105618282274e-11,-6.434933487276957e-13
-99.83,-9.801535399108556e-11,-6.439223346115111e-13
-99.82,-9.80696889712631e-11,-6.443505876890885e-13
-99.81,-9.812405970629105e-11,-6.447793086395162e-13
-99.8,-9.817846638866267e-11,-6.452083621337911e-13
-99.79,-9.823290873855791e-11,-6.456377138878067e-13
-99.78,-9.828738726373677e-11,-6.460674059678503e-13
-99.77,-9.834190152099578e-11,-6.464974151765807e-13
-99.76,-9.83964517842321e-11,-6.46927861378297e-13
-99.75,-9.845103782909434e-11,-6.473585721224874e-13
-99.74,-9.850566036417903e-11,-6.477895515577116e-13
-99.73,-9.856031868777258e-11,-6.482209531951647e-13
-99.72,-9.861501307773943e-11,-6.486526180444886e-13
-99.71,-9.866974367862228e-11,-6.490846347559596e-13
-99.7,-9.872451033632611e-11,-6.495170536058974e-13
-99.69,-9.877931319965837e-11,-6.499497351484535e-13
-99.68,-9.883415221282663e-11,-6.503827294520376e-13
-99.67,-9.888902740175169e-11,-6.508161381357329e-13
-99.66,-9.894393873928662e-11,-6.512498903457996e-13
-99.65,-9.899888657640989e-11,-6.516839725484106e-13
-99.64,-9.905387066740147e-11,-6.521182231859634e-13
-99.63,-9.910889121401581e-11,-6.525528928056858e-13
-99.62,-9.916394781053884e-11,-6.529879639580412e-13
-99.61,-9.921904097289992e-11,-6.534232947628252e-13
-99.6,-9.927417014730061e-11,-6.538592615629802e-13
-99.59,-9.932933647257511e-11,-6.542950859165291e-13
-99.58,-9.938453884084808e-11,-6.547314644216696e-13
-99.57,-9.943977772979492e-11,-6.551681489112687e-13
-99.56,-9.949505319530956e-11,-6.556052436899494e-13
-99.55,-9.955036505338803e-11,-6.560427018302618e-13
-99.54,-9.960571368202969e-11,-6.564803877759482e-13
-99.53,-9.966109884848324e-11,-6.569185023201355e-13
-99.52,-9.971652064205894e-11,-6.573568606479567e-13
-99.51,-9.977197916022113e-11,-6.577956712040214e-13
-99.5,-9.982747428767008e-11,-6.582347176110586e-13
-99.49,-9.988300620459384e-11,-6.586741754456096e-13
-99.48,-9.993857501564194e-11,-6.591138451770049e-13
-99.47,-9.999418020980885e-11,-6.595540264590163e-13
-99.46,-1.0004982240132154e-10,-6.599945085749892e-13
-99.45,-1.0010550134497247e-10,-6.604352780290117e-13
-99.44,-1.0016121722649563e-10,-6.608763987149469e-13
-99.43,-1.002169700497307e-10,-6.613178517553559e-13
-99.42,-1.0027275971031684e-10,-6.617596532412332e-13
-99.41,-1.0032858633194405e-10,-6.622018328708376e-13
-99.4,-1.0038444997783028e-10,-6.626442982891262e-13
-99.39,-1.0044035050888919e-10,-6.630871432659001e-13
-99.38,-1.004962880729029e-10,-6.635303134736801e-13
-99.37,-1.0055226267090999e-10,-6.639739981100228e-13
-99.36,-1.0060827467936464e-10,-6.644177113561389e-13
-99.35,-1.0066432346563602e-10,-6.648619288275597e-13
-99.34,-1.0072040956178319e-10,-6.653064777484112e-13
-99.33,-1.0077653270203765e-10,-6.65751377570117e-13
-99.32,-1.0083269313429453e-10,-6.661966046991981e-13
-99.31,-1.0088889073627704e-10,-6.666422075464131e-13
-99.3,-1.0094512561340895e-10,-6.670881340096504e-13
-99.29,-1.0100139774438783e-10,-6.675344222813793e-13
-99.28,-1.0105770714385904e-10,-6.679811287570904e-13
-99.27,-1.0111405407892641e-10,-6.684280028155787e-13
-99.26,-1.0117043827990207e-10,-6.688753297179518e-13
-99.25,-1.0122685984435946e-10,-6.69323020477078e-13
-99.24,-1.0128331890630906e-10,-6.697709518508719e-13
-99.23,-1.0133981535598845e-10,-6.702193095887668e-13
-99.22,-1.0139634934688702e-10,-6.706680082215182e-13
-99.21,-1.0145292088709453e-10,-6.71117040937136e-13
-99.2,-1.0150952979549205e-10,-6.715664866883761e-13
-99.19,-1.0156617626741212e-10,-6.720162246489053e-13
-99.18,-1.0162286059476692e-10,-6.724662846351428e-13
-99.17,-1.0167958240565588e-10,-6.729167097577115e-13
-99.16,-1.0173634184475447e-10,-6.733675528631748e-13
-99.15,-1.017931390837655e-10,-6.738186787017978e-13
-99.14,-1.0184997395212714e-10,-6.742701883726363e-13
-99.13,-1.0190684649743516e-10,-6.747220429100884e-13
-99.12,-1.0196375692341399e-10,-6.751742233304851e-13
-99.11,-1.0202070514451082e-10,-6.756267947445813e-13
-99.1,-1.0207769123870855e-10,-6.760795392118888e-13
-99.09,-1.0213471511881805e-10,-6.765328977365487e-13
-99.08,-1.0219177686230303e-10,-6.769864818874884e-13
-99.07,-1.0224887665491843e-10,-6.774404497695702e-13
-99.06,-1.0230601423600376e-10,-6.778947804726302e-13
-99.05,-1.0236318985042522e-10,-6.783494076867497e-13
-99.04,-1.0242040356574027e-10,-6.788044409044248e-13
-99.03,-1.0247765521466235e-10,-6.792597916669435e-13
-99.02,-1.0253494500031323e-10,-6.797155326435583e-13
-99.01,-1.0259227268639992e-10,-6.801718668996436e-13
-99.0,-1.026496386787218e-10,-6.806280744082258e-13
-98.99,-1.0270704285274332e-10,-6.810847249731877e-13
-98.98,-1.0276448525532121e-10,-6.81541857713173e-13
-98.97,-1.0282196572633762e-10,-6.819993731299555e-13
-98.96,-1.028794844556861e-10,-6.824572484397217e-13
-98.95,-1.0293704147885805e-10,-6.829154026147281e-13
-98.94,-1.0299463694102186e-10,-6.833739415666609e-13
-98.93,-1.030522705447603e-10,-6.838328909854889e-13
-98.92,-1.0310994259336752e-10,-6.842920998275021e-13
-98.91,-1.0316765289356823e-10,-6.847517510128873e-13
-98.9,-1.0322540198475302e-10,-6.852116874751863e-13
-98.89,-1.032831891143494e-10,-6.856720931320747e-13
-98.88,-1.0334101489737055e-10,-6.861327997870889e-13
-98.87,-1.0339887915378117e-10,-6.865937952499804e-13
-98.86,-1.0345678197880312e-10,-6.87055227103428e-13
-98.85,-1.03514723290706e-10,-6.87517028731428e-13
-98.84,-1.0357270325249647e-10,-6.879791832411729e-13
-98.83,-1.0363072195726404e-10,-6.884415633166682e-13
-98.82,-1.0368877913910189e-10,-6.889046392211046e-13
-98.81,-1.037468752679343e-10,-6.893676824694273e-13
-98.8,-1.0380500979400475e-10,-6.898313169848181e-13
-98.79,-1.0386318319794873e-10,-6.902952818393823e-13
-98.78,-1.0392139544606911e-10,-6.907595352247564e-13
-98.77,-1.0397964636585657e-10,-6.912242072360662e-13
-98.76,-1.0403793620898167e-10,-6.916892161485356e-13
-98.75,-1.040962647914895e-10,-6.921546386075891e-13
-98.74,-1.0415463255620039e-10,-6.92620297719293e-13
-98.73,-1.0421303900619093e-10,-6.930864309214627e-13
-98.72,-1.0427148469257198e-10,-6.935528008522817e-13
-98.71,-1.0432996892319528e-10,-6.940196828182895e-13
-98.7,-1.0438849249319217e-10,-6.944869538286518e-13
-98.69,-1.0444705500762167e-10,-6.949544608542517e-13
-98.68,-1.0450565657302019e-10,-6.954224414021963e-13
-98.67,-1.045642973244181e-10,-6.958907321291292e-13
-98.66,-1.0462297714324936e-10,-6.963593592059182e-13
-98.65,-1.0468169619338905e-10,-6.968283826996573e-13
-98.64,-1.0474045437900751e-10,-6.972977081373116e-13
