t/M,Re(Psi_4),Im(Psi_4)
-100.0,-9.709540168694755e-11,8.640773371833484e-13
-99.99,-9.714913022986683e-11,8.646511163424018e-13
-99.98,-9.72028943420005e-11,8.652253548519868e-13
-99.97,-9.725669355604416e-11,8.658001638426695e-13
-99.96,-9.731052833777733e-11,8.663752592914329e-13
-99.95,-9.73643988416923e-11,8.669507888099398e-13
-99.94,-9.741830438711983e-11,8.675268869945368e-13
-99.93,-9.747224545206476e-11,8.681033708850662e-13
-99.92,-9.752622225026854e-11,8.686803015260244e-13
-99.91,-9.758023453148928e-11,8.69257661510845e-13
-99.9,-9.763428240166022e-11,8.698354101181335e-13
-99.89,-9.76883658903179e-11,8.704137483095288e-13
-99.88,-9.774248505087783e-11,8.70992404322902e-13
-99.87,-9.779663976565791e-11,8.715716102423457e-13
-99.86,-9.785083034525436e-11,8.721511447564267e-13
-99.85,-9.790505660396962e-11,8.727312083309882e-13
-99.84,-9.795931943520893e-11,8.733106206585755e-13
-99.83,-9.80136160335146e-11,8.73892797952874e-13
-99.82,-9.806794966821289e-11,8.744740320216696e-13
-99.81,-9.812231902945781e-11,8.750558659723982e-13
-99.8,-9.817672438204959e-11,8.756381324183293e-13
-99.79,-9.823116536628271e-11,8.762208044228773e-13
-99.78,-9.828564248916393e-11,8.768039518753549e-13
-99.77,-9.834015530686251e-11,8.773875830982589e-13
-99.76,-9.839470424510736e-11,8.779717129402134e-13
-99.75,-9.844928893706976e-11,8.785562880363462e-13
-99.74,-9.850391007363744e-11,8.791412034203559e-13
-99.73,-9.855856700903385e-11,8.79726669478176e-13
-99.72,-9.861326004464215e-11,8.803124975215599e-13
-99.71,-9.866798925498568e-11,8.808987888167946e-13
-99.7,-9.872275453998628e-11,8.814856295592755e-13
-99.69,-9.877755598497506e-11,8.820728851213464e-13
-99.68,-9.883239364042332e-11,8.826605127500677e-13
-99.67,-9.888726745788923e-11,8.832487229119556e-13
-99.66,-9.8942177398091e-11,8.838373742123894e-13
-99.65,-9.899712384593668e-11,8.844264191172094e-13
-99.64,-9.905210654154959e-11,8.850157980853817e-13
-99.63,-9.910712575831224e-11,8.856056799672639e-13
-99.62,-9.916218084921632e-11,8.861961568987324e-13
-99.61,-9.921727264660057e-11,8.867869718627151e-13
-99.6,-9.927240052497797e-11,8.873786311738282e-13
-99.59,-9.932756539455959e-11,8.879700979598485e-13
-99.58,-9.938276632986172e-11,8.885623581393968e-13
-99.57,-9.943800388104894e-11,8.891549417696571e-13
