t/M,Re(Psi_4),Im(Psi_4)
-100.0,2.7254682567096358e-9,-4.7899054929693947e-11
-99.99,2.7269135314872627e-9,-4.792946329728198e-11
-99.98,2.7283597180294203e-9,-4.7959893999621046e-11
-99.97,2.7298068171716726e-9,-4.7990347065812745e-11
-99.96,2.7312548293992517e-9,-4.802082253367706e-11
-99.95,2.7327037555137e-9,-4.8051320434567986e-11
-99.94,2.7341535958846425e-9,-4.808184065310424e-11
-99.93,2.7356043515213767e-9,-4.811238344636318e-11
-99.92,2.7370560229619986e-9,-4.814294867971114e-11
-99.91,2.73850861071731e-9,-4.817353637816173e-11
-99.9,2.7399621158935707e-9,-4.820414662442327e-11
-99.89,2.7414165388183395e-9,-4.8234779341638715e-11
-99.88,2.742871880243971e-9,-4.826543458951034e-11
-99.87,2.7443281407294374e-9,-4.829611243433474e-11
-99.86,2.745785321130077e-9,-4.832681282777571e-11
-99.85,2.7472434221177483e-9,-4.835753582957649e-11
-99.84,2.7487024442100908e-9,-4.83882813916635e-11
-99.83,2.7501623880071813e-9,-4.8419049760393507e-11
-99.82,2.7516232544267276e-9,-4.844984068375473e-11
-99.81,2.7530850441032636e-9,-4.8480654235850344e-11
-99.8,2.754547757466552e-9,-4.8511490577261086e-11
-99.79,2.756011395714063e-9,-4.8542349525510454e-11
-99.78,2.7574759590201897e-9,-4.85732312401158e-11
-99.77,2.7589414482510958e-9,-4.8604135738275603e-11
-99.76,2.7604078640536234e-9,-4.8635062974447434e-11
-99.75,2.761875207661163e-9,-4.866601293278146e-11
-99.74,2.7633434781160224e-9,-4.8696985867675597e-11
-99.73,2.764812677733801e-9,-4.8727981532635006e-11
-99.72,2.7662828067497307e-9,-4.875900003348136e-11
-99.71,2.7677538656731648e-9,-4.8790041402982534e-11
-99.7,2.769225855300809e-9,-4.8821105652117404e-11
-99.69,2.7706987762666513e-9,-4.8852192805817106e-11
-99.68,2.7721726291839403e-9,-4.888330287058484e-11
-99.67,2.773647414832557e-9,-4.891443587676676e-11
-99.66,2.7751231340374267e-9,-4.8945591776922874e-11
