M omega,Re(tilde_Psi_4),Im(tilde_Psi_4)
-4.0,1.4525044882106317e-21,-1.867243415085029e-21
-3.999,1.4702060066563755e-21,-1.8919063381093924e-21
-3.998,1.4881227853324051e-21,-1.9168941394095833e-21
-3.997,1.5062574363236988e-21,-1.9422110881960387e-21
-3.996,1.5246126033453948e-21,-1.9678615096588424e-21
-3.995,1.543190962125035e-21,-1.9938497857003167e-21
-3.994,1.5619952207894208e-21,-2.0201803556771875e-21
-3.993,1.5810281202561333e-21,-2.046857717152441e-21
-3.992,1.600292434629777e-21,-2.0738864266570045e-21
-3.991,1.6197909716030028e-21,-2.1012711004613768e-21
-3.99,1.639526572862367e-21,-2.129016415357337e-21
-3.989,1.659502114499086e-21,-2.1571271094498643e-21
-3.988,1.6797205074247441e-21,-2.185607982959405e-21
-3.987,1.7001846977920165e-21,-2.2144638990346134e-21
-3.986,1.720897667420464e-21,-2.2436997845757138e-21
-3.985,1.7418624342274645e-21,-2.273320631068612e-21
-3.984,1.7630820526643403e-21,-2.303331495429906e-21
-3.983,1.784559614157746e-21,-2.3337375008629283e-21
-3.982,1.806298247556378e-21,-2.364543837724973e-21
-3.981,1.8283011195830708e-21,-2.3957557644058454e-21
-3.98,1.850571435292346e-21,-2.4273786082178885e-21
-3.979,1.8731124385334785e-21,-2.4594177662976324e-21
-3.978,1.8959274124191445e-21,-2.4918787065192163e-21
-3.977,1.919019679799723e-21,-2.5247669684197434e-21
-3.976,1.942392603743316e-21,-2.5580881641367164e-21
-3.975,1.9660495880215527e-21,-2.591847979357716e-21
-3.974,1.9899940776012576e-21,-2.6260521742824826e-21
-3.973,2.014229559142042e-21,-2.6607065845975567e-21
-3.972,2.0387595614998943e-21,-2.6958171224636514e-21
-3.971,2.0635876562368466e-21,-2.731389777515914e-21
-3.97,2.0887174581367815e-21,-2.7674306178772493e-21
-3.969,2.114152625727458e-21,-2.8039457911848753e-21
-3.968,2.139896861808835e-21,-2.8409415256302817e-21
-3.967,2.165953913987757e-21,-2.878424131012766e-21
-3.966,2.1923275752190927e-21,-2.9163999998067268e-21
-3.965,2.2190216843533928e-21,-2.954875608242891e-21
-3.964,2.246040126691151e-21,-2.993857517403656e-21
-3.963,2.2733868345437466e-21,-3.0333523743327363e-21
-3.962,2.3010657878011484e-21,-3.0733669131592925e-21
-3.961,2.3290810145064627e-21,-3.113907956236739e-21
-3.96,2.357436591437407e-21,-3.154982415296416e-21
-3.959,2.3861366446947903e-21,-3.1965972926163266e-21
-3.958,2.4151853502980903e-21,-3.2387596822051266e-21
-3.957,2.4445869347882065e-21,-3.2814767710015732e-21
-3.956,2.4743456758374802e-21,-3.32475584008963e-21
-3.955,2.5044659028670645e-21,-3.3686042659294326e-21
-3.954,2.5349519976717387e-21,-3.413029521604326e-21
-3.953,2.56580839505225e-21,-3.458039178084174e-21
-3.952,2.5970395834552795e-21,-3.5036409055051655e-21
-3.951,2.628650105621117e-21,-3.549842474466321e-21
-3.95,2.660644559239146e-21,-3.596651757342919e-21
-3.949,2.693027597611224e-21,-3.644076729617076e-21
-3.948,2.7258039303230604e-21,-3.69212547122568e-21
-3.947,2.7589783239236852e-21,-3.740806167925927e-21
-3.946,2.7925556026131042e-21,-3.79012711267867e-21
-3.945,2.8265406489382406e-21,-3.8400967070498385e-21
-3.944,2.860938404497267e-21,-3.890723462630126e-21
-3.943,2.895753870652418e-21,-3.9420160024732206e-21
-3.942,2.9309921092514003e-21,-3.993983062552806e-21
-3.941,2.9666582433574888e-21,-4.046633493238565e-21
