M omega,Re(tilde_Psi_4),Im(tilde_Psi_4)
-4.0,-8.694511489184115e-22,-3.5467415208525895e-21
-3.999,-8.819759072476687e-22,-3.5950058451208e-21
-3.998,-8.946797313216439e-22,-3.643928489385796e-21
-3.997,-9.075651642081656e-22,-3.693518455961512e-21
-3.996,-9.206347848731629e-22,-3.743784870606003e-21
-3.995,-9.338912086845353e-22,-3.79473698421921e-21
-3.994,-9.473370879230597e-22,-3.8463841745641575e-21
-3.993,-9.609751123004249e-22,-3.898735948011892e-21
-3.992,-9.748080094844997e-22,-3.951801941310503e-21
-3.991,-9.888385456319293e-22,-4.005591923378554e-21
-3.99,-1.003069525928166e-21,-4.06011579712326e-21
-3.989,-1.0175037951350324e-21,-4.11538360128376e-21
-3.988,-1.0321442381459291e-21,-4.171405512299828e-21
-3.987,-1.0469937805487837e-21,-4.2281918462063704e-21
-3.986,-1.0620553891968572e-21,-4.2857530605540815e-21
-3.985,-1.0773320727875104e-21,-4.344099756356601e-21
-3.984,-1.0928268824490449e-21,-4.403242680064551e-21
-3.983,-1.1085429123357279e-21,-4.463192725566831e-21
-3.982,-1.1244833002311157e-21,-4.523960936219527e-21
-3.981,-1.140651228159792e-21,-4.5855585069028435e-21
-3.98,-1.1570499230076338e-21,-4.6479967861064245e-21
-3.979,-1.1736826571507295e-21,-4.7112872780434735e-21
-3.978,-1.1905527490930612e-21,-4.77544164479406e-21
-3.977,-1.2076635641130813e-21,-4.840471708478022e-21
-3.976,-1.2250185149192982e-21,-4.906389453457874e-21
-3.975,-1.2426210623150043e-21,-4.9732070285721336e-21
-3.974,-1.2604747158722655e-21,-5.040936749399497e-21
-3.973,-1.2785830346153055e-21,-5.1095911005542746e-21
-3.972,-1.296949627713414e-21,-5.179182738013542e-21
-3.971,-1.3155781551835088e-21,-5.249724491476418e-21
-3.97,-1.3344723286024897e-21,-5.32122936675595e-21
-3.969,-1.3536359118295133e-21,-5.393710548204019e-21
-3.968,-1.373072721738334e-21,-5.467181401169759e-21
