t/M,Re(Psi_4),Im(Psi_4)
-100.0,-9.710130085146111e-11,-3.806379384773376e-21
-99.99,-9.715503398610628e-11,1.0618673161379103e-20
-99.98,-9.720880259501355e-11,-1.9809781328821276e-20
-99.97,-9.72626063770955e-11,-1.1660683041036827e-21
-99.96,-9.731644573315242e-11,-2.6231363528518015e-20
-99.95,-9.737032048102203e-11,-1.4947675199747548e-21
-99.94,-9.742423094145676e-11,9.039784525561613e-21
-99.93,-9.747817654337404e-11,9.788179356652869e-22
-99.92,-9.753215786896477e-11,-9.633418073019119e-21
-99.91,-9.758617474400556e-11,-4.59299270359126e-21
-99.9,-9.764022727784636e-11,1.6987410044713098e-20
-99.89,-9.769431527669406e-11,1.0270898404014847e-20
-99.88,-9.774843901094154e-11,-2.233297667329165e-20
-99.87,-9.780259834818052e-11,-6.771379099268754e-21
-99.86,-9.785679349658968e-11,1.0486964298913793e-20
-99.85,-9.791102432951078e-11,-8.457306462616904e-21
-99.84,-9.796529221725185e-11,1.2851488884815418e-20
-99.83,-9.801959300565301e-11,-1.7255613506202075e-22
-99.82,-9.807393125624398e-11,3.563991938803444e-21
-99.81,-9.81283052534362e-11,1.4512577601378274e-21
-99.8,-9.818271513757133e-11,-2.5139305629218277e-20
-99.79,-9.823716081337173e-11,-1.5512425816004243e-20
-99.78,-9.829164254486838e-11,1.0332135610539785e-20
-99.77,-9.834616005359586e-11,3.578315446108397e-21
-99.76,-9.840071355352355e-11,-1.197104816755756e-20
-99.75,-9.845530290612562e-11,1.2308274083071346e-20
-99.74,-9.850992869355009e-11,2.5250489748274843e-21
-99.73,-9.856459026347672e-11,1.3459243725357101e-20
-99.72,-9.86192880245732e-11,-6.320744708269872e-21
-99.71,-9.867402185567083e-11,1.1020000984878818e-20
-99.7,-9.872879177667314e-11,8.551201265797137e-21
-99.69,-9.878359786302254e-11,-3.100220363928159e-20
-99.68,-9.883844022985055e-11,3.8995664381808934e-21
-99.67,-9.889331866396083e-11,-4.106970823956611e-21
-99.66,-9.894823335263281e-11,1.0561615048750195e-20
-99.65,-9.900318436139811e-11,4.639670486220342e-21
-99.64,-9.905817183874451e-11,-2.807889375663617e-20
-99.63,-9.911319573741399e-11,1.2239420140897184e-20
-99.62,-9.916825551172462e-11,8.223142394958521e-21
-99.61,-9.922335198312301e-11,-7.903745033243137e-21
-99.6,-9.927848444965876e-11,-9.513943170910747e-21
-99.59,-9.93336541006764e-11,-1.1680702248893632e-20
-99.58,-9.938885983507454e-11,-4.5071595073459564e-20
-99.57,-9.944410203697237e-11,7.463019139062267e-21
-99.56,-9.949938084002392e-11,2.579781623917469e-20
-99.55,-9.955469596157056e-11,4.4096855124579925e-21
-99.54,-9.961004791671128e-11,-6.7597854839442755e-21
-99.53,-9.966543640688503e-11,-8.399978731026964e-22
-99.52,-9.972086154618247e-11,-1.778817835898529e-20
-99.51,-9.977632339970034e-11,-9.108402551144868e-22
-99.5,-9.983182190355369e-11,2.4088769049917834e-21
-99.49,-9.988735712237598e-11,-2.403214906810061e-21
-99.48,-9.994292928330717e-11,-2.4060155737678063e-20
-99.47,-9.999853782005881e-11,8.673743083587274e-21
-99.46,-1.0005418335196238e-10,-2.0258191363391626e-20
-99.45,-1.0010986563392016e-10,-1.3511111672986096e-20
-99.44,-1.0016558484774953e-10,2.2927722398963424e-22
-99.43,-1.0022134107096752e-10,1.9707022802297038e-20
-99.42,-1.0027713406324076e-10,-4.2524302534346736e-21
-99.41,-1.0033296404639286e-10,-1.6129954343883423e-21
-99.4,-1.0038883104615932e-10,3.618252754711618e-21
-99.39,-1.0044473498011976e-10,-6.707142381802307e-21
-99.38,-1.0050067590207136e-10,1.726690380019539e-20
-99.37,-1.0055665378219977e-10,-3.0805651416687515e-21
-99.36,-1.0061266919243579e-10,2.233152747137609e-21
-99.35,-1.0066872144035842e-10,7.410173822699525e-21
-99.34,-1.0072481092134945e-10,-6.675529558621023e-21
-99.33,-1.0078093745710196e-10,1.7188579492014893e-20
-99.32,-1.0083710123116252e-10,7.440910384257447e-21
-99.31,-1.0089330221327739e-10,-7.560048262664525e-21
-99.3,-1.0094954045353398e-10,5.787472105713943e-21
-99.29,-1.010058160270524e-10,9.392075400523195e-21
-99.28,-1.0106212882580557e-10,4.136392993079491e-21
-99.27,-1.0111847918261998e-10,-9.094348662800951e-21
-99.26,-1.0117486676744245e-10,3.1950520929979867e-21
-99.25,-1.012312917271249e-10,4.746506999530226e-21
-99.24,-1.0128775420122351e-10,1.0905749950140486e-21
-99.23,-1.0134425407355061e-10,-2.682439043331319e-21
-99.22,-1.0140079154695552e-10,-1.976947329414663e-21
-99.21,-1.0145736644302157e-10,-3.3407474390669547e-21
-99.2,-1.0151397872913779e-10,7.041031762673291e-21
-99.19,-1.0157062879307003e-10,-1.879614884481242e-21
-99.18,-1.0162731643130336e-10,-6.6139553283947894e-21
-99.17,-1.0168404174495198e-10,-1.1075239169520742e-20
-99.16,-1.017408045594261e-10,6.470181017423192e-21
-99.15,-1.0179760523031744e-10,4.487672796937195e-21
-99.14,-1.0185444353124123e-10,-5.796639150389113e-21
-99.13,-1.0191131957716857e-10,1.1458805843962315e-21
-99.12,-1.0196823345248922e-10,1.164416887967347e-22
-99.11,-1.0202518506555578e-10,-1.6591676814654847e-20
-99.1,-1.0208217466919231e-10,3.986484850744361e-21
-99.09,-1.0213920201732654e-10,1.3718313844541038e-20
-99.08,-1.0219626716595881e-10,-1.7601736847429995e-20
-99.07,-1.0225337042036995e-10,-5.68491579341048e-22
-99.06,-1.0231051146825428e-10,-6.994926920336408e-22
-99.05,-1.0236769062089663e-10,3.158383914297307e-21
-99.04,-1.0242490771614935e-10,-1.1636080310842438e-21
-99.03,-1.0248216285767161e-10,-8.107711777265665e-21
-99.02,-1.0253945612563393e-10,3.278465459068006e-21
-99.01,-1.0259678721744536e-10,1.1905766676617106e-20
-99.0,-1.0265415673239778e-10,2.582376706417425e-21
-98.99,-1.027115644397583e-10,1.78666374766463e-21
-98.98,-1.0276901038118798e-10,1.2513015981606848e-20
-98.97,-1.0282649434134381e-10,3.1818407639073006e-22
-98.96,-1.0288401652263992e-10,-5.098460850790515e-21
-98.95,-1.0294157704971027e-10,6.421177771255188e-21
-98.94,-1.0299917602853234e-10,-1.3882444387070735e-20
-98.93,-1.0305681307343256e-10,-3.0968096840710746e-21
-98.92,-1.0311448879338245e-10,-1.789666628843151e-20
-98.91,-1.0317220251689309e-10,9.768059041685677e-21
-98.9,-1.0322995506163607e-10,-3.8527875484414236e-21
-98.89,-1.0328774570169285e-10,-6.53825980508438e-24
-98.88,-1.0334557503855987e-10,-1.1418127083216249e-20
-98.87,-1.0340344284932958e-10,-1.7043457086238124e-20
-98.86,-1.0346134915490457e-10,-4.5598632737541575e-21
-98.85,-1.0351929403771596e-10,1.175892544996374e-20
-98.84,-1.0357727751645372e-10,-1.0102319148628083e-20
-98.83,-1.0363529973615166e-10,-1.801553454787755e-20
-98.82,-1.0369336036695881e-10,5.385234318220736e-21
-98.81,-1.0375146011382905e-10,1.5297505801689692e-20
-98.8,-1.0380959827407216e-10,2.596497999501602e-21
-98.79,-1.038677752394307e-10,-3.320492314619244e-20
-98.78,-1.0392599099510048e-10,-5.064792183031344e-21
-98.77,-1.039842454377619e-10,-8.582274851056352e-21
-98.76,-1.0404253890022082e-10,2.0671382421176854e-20
-98.75,-1.0410087097643817e-10,-2.3793873311286456e-21
-98.74,-1.0415924231387741e-10,-8.446252085214494e-21
-98.73,-1.0421765235381176e-10,-5.692633636170091e-21
-98.72,-1.042761015804995e-10,5.8889162398031394e-21
-98.71,-1.0433458945969907e-10,2.173128825937324e-22
-98.7,-1.0439311655239668e-10,-1.2563266215469635e-20
-98.69,-1.0445168268879623e-10,2.7379131445641487e-21
-98.68,-1.0451028779882681e-10,5.1269393535497745e-21
-98.67,-1.0456893216776647e-10,-1.7337678777466923e-20
-98.66,-1.0462761553706484e-10,-3.250593598971074e-22
-98.65,-1.0468633817234841e-10,3.191324610861686e-20
-98.64,-1.0474509999128753e-10,-5.0816770704661235e-21
-98.63,-1.0480390054304907e-10,-2.608132057670237e-20
-98.62,-1.0486274140526192e-10,-2.1728288748431728e-20
-98.61,-1.0492162090677121e-10,-8.145829157881905e-21
-98.6,-1.0498053984416172e-10,-2.957116730122135e-20
-98.59,-1.0503949810924e-10,2.8947201620647475e-20
-98.58,-1.0509849586620222e-10,-1.4995397755850637e-20
-98.57,-1.0515753281348167e-10,-3.2886772772171846e-21
-98.56,-1.0521660938001695e-10,-3.18669390520592e-21
-98.55,-1.0527572526171067e-10,-8.470012256155651e-21
-98.54,-1.0533488112126901e-10,-6.139931492526173e-21
-98.53,-1.0539407612837014e-10,-2.3223089970776615e-20
-98.52,-1.0545331043665424e-10,-1.7265724217240867e-22
-98.51,-1.0551258464166933e-10,-2.6478637818156694e-20
-98.5,-1.0557189852229015e-10,-8.822943476149691e-22
-98.49,-1.0563125191584473e-10,-7.183120955138424e-21
-98.48,-1.0569064506540971e-10,-7.520953513314537e-21
-98.47,-1.0575007807252626e-10,8.281616007132859e-21
-98.46,-1.0580955084231907e-10,-1.1728997745288921e-20
-98.45,-1.0586906287160994e-10,1.1459682105585677e-20
-98.44,-1.059286152520886e-10,-3.842609432662375e-21
-98.43,-1.059882072849578e-10,-1.9126769095780864e-21
-98.42,-1.0604783921771505e-10,-1.6565725989655284e-21
-98.41,-1.0610751100914349e-10,8.36351276654706e-21
-98.4,-1.0616722289824787e-10,1.704338968149787e-20
-98.39,-1.0622697463405447e-10,-2.0113473386056407e-20
-98.38,-1.062867664429229e-10,-9.551420206494529e-21
-98.37,-1.0634659814747825e-10,1.5635945002528132e-20
-98.36,-1.0640646995445351e-10,-2.766671376995481e-20
-98.35,-1.0646638166344549e-10,9.528300380585829e-21
-98.34,-1.0652633358862779e-10,-9.031460040139675e-21
-98.33,-1.0658632613647748e-10,-2.765582790440305e-21
-98.32,-1.0664635855185183e-10,-1.802918400777992e-20
-98.31,-1.0670643111397709e-10,-4.141077622527464e-21
-98.3,-1.0676654389769203e-10,-8.965032668614822e-21
-98.29,-1.0682669710703125e-10,2.2038653874952465e-21
-98.28,-1.0688689047753672e-10,-7.862425927464613e-21
-98.27,-1.0694712424966916e-10,1.3136071698187234e-20
-98.26,-1.0700739836487214e-10,-5.773114896038861e-21
-98.25,-1.0706771338392936e-10,8.882933694979845e-21
-98.24,-1.0712806815682381e-10,-3.792460305909974e-21
-98.23,-1.0718846344115757e-10,-1.8582307306342006e-20
-98.22,-1.0724889931891241e-10,-1.7195623287371917e-21
-98.21,-1.0730937576650266e-10,-2.475873846571821e-20
-98.2,-1.0736989280990213e-10,4.844715706087008e-22
-98.19,-1.0743045041387129e-10,2.72241005430467e-20
-98.18,-1.0749104867837468e-10,5.421329556629218e-21
-98.17,-1.0755168757685285e-10,-1.2856072407153004e-20
-98.16,-1.0761236701372097e-10,3.881202016697437e-20
-98.15,-1.0767308745287897e-10,-1.9787571466906068e-20
-98.14,-1.0773384852743721e-10,-1.9349912488406965e-20
-98.13,-1.0779465034732973e-10,1.5560047264996946e-20
-98.12,-1.0785549294708942e-10,1.571177533531906e-20
-98.11,-1.0791637641266189e-10,-1.9866131691677464e-20
-98.1,-1.0797730072971358e-10,-5.771059051460974e-21
-98.09,-1.0803826604419664e-10,-2.140626260184626e-20
-98.08,-1.0809927227162222e-10,5.3137111483323345e-20
-98.07,-1.0816031935371132e-10,-5.279456059332913e-20
-98.06,-1.082214076257016e-10,-1.0883607492965536e-20
-98.05,-1.0828253685636527e-10,5.317964387442653e-21
-98.04,-1.0834370707777718e-10,-4.5093771233004644e-23
-98.03,-1.0840491846598032e-10,8.555211847842523e-21
-98.02,-1.0846617100746975e-10,4.922905204786987e-22
-98.01,-1.085274644495311e-10,-2.841743406458499e-20
-98.0,-1.0858879951121274e-10,-2.939123034710101e-20
-97.99,-1.0865017552443025e-10,2.3436291164214573e-21
-97.98,-1.0871159298831849e-10,-4.273002180161599e-20
-97.97,-1.087730516806792e-10,2.5201183180775674e-20
-97.96,-1.088345514065335e-10,-8.514836408427621e-21
-97.95,-1.088960928111751e-10,-2.2094970535438525e-20
-97.94,-1.0895767543328625e-10,-8.931566215076427e-21
-97.93,-1.0901929966015713e-10,3.200987080377756e-20
-97.92,-1.0908096527192218e-10,-1.6279255843556228e-21
-97.91,-1.0914267231580971e-10,-2.389936172979117e-21
-97.9,-1.0920442089847704e-10,5.078984251092792e-20
-97.89,-1.092662110156802e-10,2.6296375400497437e-20
-97.88,-1.093280425915584e-10,6.653892636998012e-21
-97.87,-1.0938991549974758e-10,8.395462613429637e-21
-97.86,-1.0945183093267595e-10,-2.1772539960411502e-20
-97.85,-1.0951378760305835e-10,-2.2859441397081458e-20
-97.84,-1.0957578590067048e-10,1.7958038304436965e-20
-97.83,-1.0963782597905068e-10,1.79438159042424e-20
-97.82,-1.0969990791925637e-10,-2.309296511970738e-20
-97.81,-1.0976203161397885e-10,-4.9897167833313123e-20
-97.8,-1.0982419709122829e-10,-5.3755684784676535e-20
-97.79,-1.0988640446369247e-10,-3.7337137045375907e-20
-97.78,-1.0994865372296968e-10,9.63244070428537e-21
-97.77,-1.1001094499909164e-10,-3.958714097757816e-20
-97.76,-1.1007327818564056e-10,-8.771277742741472e-21
-97.75,-1.1013565320369025e-10,-1.664209556036828e-20
-97.74,-1.1019807062227584e-10,3.199527767751158e-20
-97.73,-1.1026052976102349e-10,2.3244288761587945e-20
-97.72,-1.103230314302533e-10,1.9705674707491865e-20
-97.71,-1.103855749704524e-10,-2.0760895916240277e-20
-97.7,-1.1044816065529953e-10,1.064910640160586e-20
-97.69,-1.1051078858052378e-10,-3.524914040638519e-20
-97.68,-1.1057345870313276e-10,-2.461051544188955e-20
-97.67,-1.1063617123154608e-10,1.3364540065293767e-20
-97.66,-1.1069892584817449e-10,-3.3767853834462164e-20
-97.65,-1.1076172295680365e-10,1.0242150282294552e-21
-97.64,-1.1082456239039262e-10,-1.3746522728339263e-20
-97.63,-1.1088744420567496e-10,1.626793184719278e-20
-97.62,-1.1095036847925903e-10,1.0350098973818704e-20
-97.61,-1.1101333515590422e-10,-7.7020700503894e-21
-97.6,-1.1107634445532735e-10,-1.6325124769302204e-20
-97.59,-1.1113939615936034e-10,-5.563182832503445e-21
-97.58,-1.1120249047478061e-10,2.4795170727827986e-20
-97.57,-1.1126562739036589e-10,-1.2244542901156837e-20
-97.56,-1.1132880697650044e-10,3.604104499731338e-20
-97.55,-1.1139202913365514e-10,1.0133123114926263e-20
-97.54,-1.1145529400336474e-10,-3.7858782330237227e-20
-97.53,-1.1151860173408061e-10,-1.3679859440223506e-20
-97.52,-1.1158195202413197e-10,-3.195517185705771e-20
-97.51,-1.1164534558629236e-10,-8.838480268779297e-21
-97.5,-1.1170878144041134e-10,-7.655628184351223e-21
-97.49,-1.117722602552272e-10,7.562070404872283e-21
-97.48,-1.1183578202384086e-10,1.2312217260376474e-20
-97.47,-1.1189934675726172e-10,-1.2683280355500077e-20
-97.46,-1.1196295441736192e-10,-8.991623838646841e-21
-97.45,-1.1202660516717478e-10,-4.1477843941831944e-21
-97.44,-1.1209029883048647e-10,-3.500328161629194e-21
-97.43,-1.121540357004323e-10,1.0416391535863038e-21
-97.42,-1.1221781559470329e-10,1.5791986976226795e-20
-97.41,-1.1228163859118795e-10,3.464347511279153e-20
-97.4,-1.1234550486705343e-10,2.636610560429496e-20
-97.39,-1.1240941422417612e-10,-2.272736180854473e-20
-97.38,-1.124733668585517e-10,-1.2961695635138233e-20
-97.37,-1.1253736279697695e-10,9.06111812585346e-21
-97.36,-1.1260140204166882e-10,-7.052894996958806e-21
-97.35,-1.1266548427435918e-10,-1.2623155327189403e-20
-97.34,-1.1272961058290854e-10,-4.623816891311518e-20
-97.33,-1.1279377982870493e-10,-1.1354328496561484e-20
-97.32,-1.128579926618012e-10,-1.2080206774169353e-19
-97.31,-1.1292224893649192e-10,-2.6979589847758628e-20
-97.3,-1.1298654858122633e-10,-2.8122167599882186e-20
-97.29,-1.1305089184869034e-10,-1.9353687153861444e-20
-97.28,-1.1311527859959216e-10,-3.38995963992976e-20
-97.27,-1.1317970913021631e-10,3.3033142165643397e-20
-97.26,-1.1324418333008116e-10,-3.281040320145885e-20
-97.25,-1.1330870120844901e-10,-4.6658066742556146e-20
-97.24,-1.1337326255840864e-10,-1.1890600610058918e-20
-97.23,-1.1343786787675247e-10,-4.751461247939233e-21
-97.22,-1.135025169058337e-10,1.8338504360826644e-20
-97.21,-1.1356720969091681e-10,-1.4936148989163325e-20
-97.2,-1.1363194646451439e-10,3.2596696472468953e-20
-97.19,-1.1369672707672965e-10,2.466770836399897e-20
-97.18,-1.1376155158297832e-10,1.6254248684920286e-20
-97.17,-1.1382642007746342e-10,7.134218816080808e-21
-97.16,-1.1389133248430711e-10,-2.177604500690495e-20
-97.15,-1.1395628887953439e-10,3.400090572390628e-20
-97.14,-1.1402128947984325e-10,1.6413728300372138e-21
