t/M,Re(Psi_4),Im(Psi_4)
-100.0,-9.710014053698948e-11,1.889405423003804e-20
-99.99,-9.71538727685014e-11,-2.4777982519062046e-21
-99.98,-9.720764051337546e-11,-1.6710578776471022e-20
-99.97,-9.72614434180706e-11,-1.198024891460286e-20
-99.96,-9.731528194414151e-11,5.1052350271865046e-21
-99.95,-9.73691558129526e-11,-1.3208969924776913e-21
-99.94,-9.742306542972526e-11,7.49958621065256e-21
-99.93,-9.747701016112541e-11,-8.977300331341889e-22
-99.92,-9.753099060277066e-11,-1.998449441557157e-20
-99.91,-9.758500663801765e-11,2.520232906136007e-20
-99.9,-9.763905826427867e-11,-3.1689597180438816e-20
-99.89,-9.769314542328535e-11,-1.591715757888702e-20
-99.88,-9.774726827766685e-11,-3.3279742407879494e-21
-99.87,-9.780142673674206e-11,1.103294269500847e-20
-99.86,-9.785562100188835e-11,4.61179862612341e-21
-99.85,-9.790985100233654e-11,7.706720977467244e-21
-99.84,-9.796411794836443e-11,2.539271375022049e-21
-99.83,-9.801841792799282e-11,-1.109360696124121e-20
-99.82,-9.807275529535066e-11,2.1624451746063353e-21
-99.81,-9.812712834343858e-11,-3.713428247956764e-21
-99.8,-9.81815374367801e-11,6.166455257817932e-21
-99.79,-9.823598212979832e-11,1.703691882643304e-20
-99.78,-9.829046300693942e-11,3.799032268085188e-21
-99.77,-9.834497973222024e-11,8.796723032189093e-21
-99.76,-9.83995322910713e-11,-1.8039530635409618e-20
-99.75,-9.845412086352445e-11,-1.1497091736429202e-20
-99.74,-9.850874569929922e-11,1.2218153945345594e-20
-99.73,-9.856340642384633e-11,1.1476061457468517e-20
-99.72,-9.861810323811963e-11,2.62022446807263e-21
-99.71,-9.867283619875045e-11,1.3947928092231965e-20
-99.7,-9.872760520923863e-11,1.2977097618287323e-20
-99.69,-9.878241050903697e-11,1.0198910141418658e-20
-99.68,-9.883725195102838e-11,1.7946545796222872e-20
-99.67,-9.889212949698438e-11,2.00934541781996e-20
-99.66,-9.894704329218132e-11,-1.2082030072393348e-20
-99.65,-9.900199339979627e-11,-5.961275228470748e-21
-99.64,-9.905698001565197e-11,4.762616732452032e-21
