t/M,Re(Psi_4),Im(Psi_4)
-100.0,2.7237326620710265e-9,7.679287826517307e-11
-99.99,2.7251766524806357e-9,7.684162030148374e-11
-99.98,2.726621553557566e-9,7.689039801671151e-11
-99.97,2.7280673661604916e-9,7.69392117681376e-11
-99.96,2.7295140908115715e-9,7.698806126287977e-11
-99.95,2.730961728232843e-9,7.703694681308187e-11
-99.94,2.732410278844506e-9,7.708586801976929e-11
-99.93,2.733859743518042e-9,7.713482548902548e-11
-99.92,2.735310123052431e-9,7.718381882716042e-11
-99.91,2.736761417701355e-9,7.723284831162545e-11
-99.9,2.7382136288114234e-9,7.728191373727565e-11
-99.89,2.7396667565331086e-9,7.733101529516515e-11
-99.88,2.741120801591907e-9,7.738015299985983e-11
-99.87,2.7425757647481255e-9,7.742932681694178e-11
-99.86,2.74403164666381e-9,7.747853682791787e-11
-99.85,2.7454884481573623e-9,7.752778307382895e-11
-99.84,2.7469461695068854e-9,7.757706550927498e-11
-99.83,2.748404811493145e-9,7.762638441743782e-11
-99.82,2.7498643750849337e-9,7.767573949118159e-11
-99.81,2.751324860843419e-9,7.772513090880583e-11
-99.8,2.7527862690351857e-9,7.777455868064826e-11
-99.79,2.7542486011703485e-9,7.782402278394606e-11
-99.78,2.7557118572340005e-9,7.787352335988357e-11
-99.77,2.757176038069311e-9,7.792306040774737e-11
-99.76,2.758641144447232e-9,7.79726339822701e-11
-99.75,2.7601071776953885e-9,7.802224386536079e-11
-99.74,2.7615741362897213e-9,7.807189072988913e-11
-99.73,2.763042023121016e-9,7.812157387111426e-11
-99.72,2.7645108383109985e-9,7.817129369320801e-11
-99.71,2.7659805822383008e-9,7.822105009794869e-11
-99.7,2.7674512557739618e-9,7.827084320698731e-11
-99.69,2.7689228595629565e-9,7.832067308828941e-11
-99.68,2.7703953941711143e-9,7.837053956906157e-11
-99.67,2.771868860409433e-9,7.842044279524912e-11
-99.66,2.7733432590414386e-9,7.84703827841621e-11
-99.65,2.7748185904587654e-9,7.852035987527023e-11
-99.64,2.776294855659375e-9,7.857037367557093e-11
-99.63,2.7777720550204274e-9,7.862042439761888e-11
-99.62,2.7792501896333134e-9,7.867051193278946e-11
-99.61,2.7807292598720982e-9,7.872063645577364e-11
-99.6,2.7822092664700525e-9,7.877079799631416e-11
-99.59,2.7836902102041224e-9,7.882099650966234e-11
-99.58,2.7851720916142585e-9,7.887123212273004e-11
-99.57,2.786654911329905e-9,7.892150446923824e-11
-99.56,2.7881386704614017e-9,7.897181442084617e-11
-99.55,2.7896233694304113e-9,7.902216139410056e-11
-99.54,2.7911090086475686e-9,7.907254539952411e-11
-99.53,2.7925955893151247e-9,7.912296658921856e-11
-99.52,2.7940831119112173e-9,7.91734250865675e-11
-99.51,2.7955715768766315e-9,7.922392076384218e-11
-99.5,2.7970609852094057e-9,7.927445378476223e-11
-99.49,2.7985513374033413e-9,7.932502417120345e-11
-99.48,2.800042634318071e-9,7.937563186987892e-11
-99.47,2.8015348764516216e-9,7.942627704171717e-11
-99.46,2.8030280651146836e-9,7.947695941813834e-11
-99.45,2.804522200221973e-9,7.952767939719975e-11
-99.44,2.806017282623884e-9,7.957843680013493e-11
-99.43,2.8075133134348253e-9,7.962923169448448e-11
-99.42,2.8090102928891647e-9,7.968006416635119e-11
-99.41,2.8105082220426807e-9,7.973093412076612e-11
-99.4,2.812007101168086e-9,7.978184187333821e-11
-99.39,2.813506931314077e-9,7.983278711033506e-11
-99.38,2.8150077131395865e-9,7.98837702587727e-11
-99.37,2.8165094472269097e-9,7.993479066132121e-11
-99.36,2.8180121343891846e-9,7.99858490820532e-11
-99.35,2.8195157752719332e-9,8.003694527419237e-11
-99.34,2.8210203705140316e-9,8.008807915737772e-11
-99.33,2.822525920930108e-9,8.01392510088433e-11
-99.32,2.8240324271596596e-9,8.019046053616528e-11
-99.31,2.8255398898664888e-9,8.024170803755246e-11
-99.3,2.827048309742052e-9,8.029299348924007e-11
-99.29,2.8285576877052296e-9,8.034431692676931e-11
-99.28,2.8300680248500157e-9,8.039567862907176e-11
-99.27,2.831579320041422e-9,8.044707762437003e-11
-99.26,2.8330915760798693e-9,8.049851501481901e-11
-99.25,2.8346047926967024e-9,8.054999053705543e-11
-99.24,2.836118970821298e-9,8.060150416350264e-11
-99.23,2.8376341111193815e-9,8.065305594252816e-11
-99.22,2.839150214339729e-9,8.070464592858045e-11
-99.21,2.840667281037943e-9,8.075627397868596e-11
-99.2,2.8421853121190114e-9,8.080794042525304e-11
-99.19,2.843704308164341e-9,8.085964498090834e-11
-99.18,2.845224269854648e-9,8.09113881156101e-11
-99.17,2.846745198007679e-9,8.096316941216776e-11
-99.16,2.848267093318824e-9,8.101498905274503e-11
-99.15,2.8497899563832344e-9,8.106684716173655e-11
-99.14,2.8513137881403825e-9,8.111874365121852e-11
-99.13,2.8528385891020793e-9,8.117067862943322e-11
-99.12,2.854364360053443e-9,8.122265216594021e-11
-99.11,2.855891101737465e-9,8.127466416629356e-11
-99.1,2.8574188144155415e-9,8.132671438303001e-11
-99.09,2.858947500039656e-9,8.137880389353558e-11
-99.08,2.8604771580578815e-9,8.143093168402464e-11
-99.07,2.862007789627831e-9,8.148309814858682e-11
-99.06,2.863539395482515e-9,8.153530328614638e-11
-99.05,2.865071976556021e-9,8.158754702956707e-11
-99.04,2.8666055330099233e-9,8.163982984307075e-11
-99.03,2.868140066006894e-9,8.169215126697327e-11
-99.02,2.8696755761692308e-9,8.174451155543903e-11
-99.01,2.8712120641094537e-9,8.179691057853813e-11
-99.0,2.87274953082023e-9,8.184934860502079e-11
-98.99,2.874287976751876e-9,8.190182556854404e-11
-98.98,2.8758274028437324e-9,8.195434149504468e-11
-98.97,2.8773678095957998e-9,8.20068963324771e-11
-98.96,2.878909197834868e-9,8.205949026358364e-11
-98.95,2.8804515682299684e-9,8.211212315615984e-11
-98.94,2.8819949216519693e-9,8.216479517598151e-11
-98.93,2.8835392587627994e-9,8.221750643013425e-11
-98.92,2.8850845801312474e-9,8.227025672846878e-11
-98.91,2.8866308870989382e-9,8.232304593484368e-11
-98.9,2.8881781789577537e-9,8.237587489617633e-11
-98.89,2.8897264580452486e-9,8.242874289580442e-11
-98.88,2.8912757241797e-9,8.24816500882617e-11
-98.87,2.8928259784123423e-9,8.253459668529935e-11
-98.86,2.894377221417549e-9,8.258758259531807e-11
-98.85,2.8959294539512894e-9,8.264060784643808e-11
-98.84,2.897482676601992e-9,8.269367259743904e-11
-98.83,2.8990368902165964e-9,8.274677680007429e-11
-98.82,2.9005920955335217e-9,8.279992036685134e-11
-98.81,2.902148293345264e-9,8.285310371595787e-11
-98.8,2.903705484186374e-9,8.290632631252915e-11
-98.79,2.9052636688653704e-9,8.295958858444513e-11
-98.78,2.906822848171211e-9,8.301289054753453e-11
-98.77,2.908383022911357e-9,8.306623213945501e-11
-98.76,2.909944193682616e-9,8.311961340940019e-11
-98.75,2.9115063612676203e-9,8.3173034325569e-11
-98.74,2.9130695263723175e-9,8.322649506412082e-11
-98.73,2.914633689778208e-9,8.327999558063103e-11
