M omega,Re(tilde_Psi_4),Im(tilde_Psi_4)
-4.0,-1.7579857202197467e-23,1.1984815895877332e-21
-3.999,-1.733708027390617e-23,1.213515037501587e-21
-3.998,-1.7085489777114916e-23,1.2287367600011193e-21
-3.997,-1.6824903606386154e-23,1.2441491112208642e-21
-3.996,-1.655513648791716e-23,1.2597544746838923e-21
-3.995,-1.6275999928917573e-23,1.275555263668108e-21
-3.994,-1.5987302166218624e-23,1.2915539215771026e-21
-3.993,-1.5688848114102793e-23,1.3077529223156252e-21
-3.992,-1.5380439311342516e-23,1.3241547706697235e-21
-3.991,-1.5061873867436293e-23,1.3407620026916158e-21
-3.99,-1.4732946408030465e-23,1.3575771860893513e-21
-3.989,-1.4393448019514764e-23,1.3746029206213208e-21
-3.988,-1.4043166192779526e-23,1.3918418384956732e-21
-3.987,-1.3681884766122277e-23,1.409296604774704e-21
-3.986,-1.33093838672913e-23,1.4269699177842752e-21
-3.985,-1.2925439854653555e-23,1.4448645095283273e-21
-3.984,-1.2529825257474116e-23,1.4629831461085504e-21
-3.983,-1.2122308715294201e-23,1.4813286281492763e-21
-3.982,-1.1702654916394602e-23,1.4999037912276558e-21
-3.981,-1.1270624535331157e-23,1.518711506309188e-21
-3.98,-1.0825974169528752e-23,1.5377546801886701e-21
-3.979,-1.036845627492008e-23,1.557036255936629e-21
-3.978,-9.897819100615266e-24,1.5765592133513103e-21
-3.977,-9.413806622588193e-24,1.5963265694162868e-21
-3.976,-8.916158476365232e-24,1.6163413787637626e-21
-3.975,-8.404609888701811e-24,1.6366067341436381e-21
-3.974,-7.878891608232115e-24,1.6571257668984108e-21
-3.973,-7.338729835076928e-24,1.6779016474439834e-21
-3.972,-6.783846149394505e-24,1.6989375857564525e-21
-3.971,-6.213957438859038e-24,1.720236831864952e-21
-3.97,-5.628775825051166e-24,1.7418026763506274e-21
-3.969,-5.028008588744686e-24,1.7636384508518143e-21
-3.968,-4.411358094073432e-24,1.7857475285755036e-21
-3.967,-3.778521711562037e-24,1.8081333248151646e-21
-3.966,-3.1291917400041003e-24,1.8307992974750107e-21
-3.965,-2.463055327170992e-24,1.8537489476007843e-21
-3.964,-1.779794389334352e-24,1.876985819917144e-21
-3.963,-1.0790855295850447e-24,1.900513503371734e-21
-3.962,-3.6059995493112207e-25,1.92433563168602e-21
-3.961,3.7599660784291267e-25,1.9484558839129758e-21
-3.96,1.1310439975735025e-24,1.9728779850017053e-21
-3.959,1.9048877053903052e-24,1.9976057063690842e-21
-3.958,2.697878962681801e-24,2.0226428664785133e-21
-3.957,3.5103748303729785e-24,2.047993331425867e-21
-3.956,4.342738289534089e-24,2.073661015532725e-21
-3.955,5.195338333339739e-24,2.099649881946989e-21
-3.954,6.0685500603978626e-24,2.125963943250957e-21
-3.953,6.962754769468384e-24,2.1526072620769666e-21
-3.952,7.878340055591676e-24,2.1795839517306912e-21
-3.951,8.815699907647177e-24,2.206898176822183e-21
-3.95,9.775234807362866e-24,2.234554153904765e-21
-3.949,1.075735182979652e-23,2.2625561521218674e-21
-3.948,1.1762464745310043e-23,2.2909084938619026e-21
-3.947,1.2790994123058407e-23,2.319615555421285e-21
-3.946,1.3843367436015072e-23,2.3486817676756913e-21
-3.945,1.4920019167556063e-23,2.37811161675967e-21
-3.944,1.6021390919625168e-23,2.407909644754695e-21
-3.943,1.7147931522503103e-23,2.4380804503857763e-21
-3.942,1.8300097146203714e-23,2.4686286897267294e-21
-3.941,1.94783514135207e-23,2.4995590769142113e-21
-3.94,2.068316551474864e-23,2.5308763848706357e-21
-3.939,2.1915018324102427e-23,2.5625854460360704e-21
-3.938,2.3174396517859576e-23,2.5946911531092352e-21
-3.937,2.4461794694250196e-23,2.6271984597977115e-21
-3.936,2.57777154951198e-23,2.660112381577474e-21
-3.935,2.7122669729390445e-23,2.6934379964618653e-21
-3.934,2.849717649834604e-23,2.727180445780129e-21
-3.933,2.9901763322768157e-23,2.7613449349656174e-21
-3.932,3.133696627194878e-23,2.7959367343537983e-21
-3.931,3.280333009460711e-23,2.830961179990177e-21
-3.93,3.430140835173774e-23,2.8664236744482647e-21
-3.929,3.583176355141787e-23,2.9023296876577064e-21
-3.928,3.739496728560182e-23,2.9386847577427067e-21
-3.927,3.8991600368931247e-23,2.9754944918708706e-21
-3.926,4.062225297959006e-23,3.0127645671125993e-21
-3.925,4.228752480223333e-23,3.050500731311159e-21
-3.924,4.398802517302004e-23,3.0887088039635675e-21
-3.923,4.572437322677961e-23,3.127394677112426e-21
-3.922,4.7497198046343117e-23,3.1665643162488316e-21
-3.921,4.9307138814069905e-23,3.2062237612265145e-21
-3.92,5.1154844965601255e-23,3.2463791271873265e-21
-3.919,5.304097634587292e-23,3.28703660549824e-21
-3.918,5.496620336741891e-23,3.3282024646999784e-21
-3.917,5.693120717099924e-23,3.3698830514674447e-21
-3.916,5.893667978858505e-23,3.412084791582076e-21
-3.915,6.098332430873467e-23,3.454814190916282e-21
-3.914,6.307185504439494e-23,3.498077836430114e-21
-3.913,6.520299770316238e-23,3.541882397180322e-21
