t/M,Re(Psi_4),Im(Psi_4)
-100.0,-6.06668397243808e-10,-3.0046916629623315e-11
-99.99,-6.069967319690859e-10,-3.00664226782609e-11
-99.98,-6.073252773260699e-10,-3.008594244660194e-11
-99.97,-6.076540350770671e-10,-3.010547733427325e-11
-99.96,-6.079830036228409e-10,-3.012502760874789e-11
-99.95,-6.083121859211516e-10,-3.0144591657983674e-11
-99.94,-6.086415770917281e-10,-3.016417098278461e-11
-99.93,-6.089711825513291e-10,-3.018376485082569e-11
-99.92,-6.093009993593694e-10,-3.020337279019569e-11
-99.91,-6.096310293339041e-10,-3.022299659767608e-11
-99.9,-6.099612716716987e-10,-3.0242634177263467e-11
-99.89,-6.10291726713793e-10,-3.026228750175981e-11
-99.88,-6.106223950239913e-10,-3.028195496637106e-11
-99.87,-6.109532761316633e-10,-3.030163763290185e-11
-99.86,-6.112843712942331e-10,-3.032133426513389e-11
-99.85,-6.116156785753205e-10,-3.034104640736786e-11
-99.84,-6.119471932743183e-10,-3.036077772387833e-11
-99.83,-6.122789363253518e-10,-3.0380514032783444e-11
-99.82,-6.126108849521755e-10,-3.040027196234569e-11
-99.81,-6.129430489974717e-10,-3.042004370922895e-11
-99.8,-6.132754260589895e-10,-3.043983020270775e-11
-99.79,-6.136080180776925e-10,-3.045963132834502e-11
-99.78,-6.139408243229551e-10,-3.0479447571963785e-11
-99.77,-6.142738456695045e-10,-3.04992783629321e-11
-99.76,-6.146070817260164e-10,-3.0519125182564985e-11
-99.75,-6.149405330710404e-10,-3.0538986321894913e-11
-99.74,-6.152741994432528e-10,-3.055886133368214e-11
-99.73,-6.156080813210934e-10,-3.057875297211779e-11
-99.72,-6.159421781768235e-10,-3.059865810838772e-11
-99.71,-6.162764912109939e-10,-3.0618579221047824e-11
-99.7,-6.166110203070322e-10,-3.06385156547249e-11
-99.69,-6.169457646089166e-10,-3.065846685481829e-11
-99.68,-6.17280726183347e-10,-3.067843236417945e-11
-99.67,-6.17615903653009e-10,-3.0698413766687954e-11
-99.66,-6.179512968713665e-10,-3.071840865592096e-11
-99.65,-6.182869081767569e-10,-3.0738420292915086e-11
-99.64,-6.186227349431506e-10,-3.075844729838762e-11
-99.63,-6.189587783459543e-10,-3.077848811027726e-11
-99.62,-6.192950403874138e-10,-3.079854486500729e-11
-99.61,-6.196315184868284e-10,-3.081861640014578e-11
-99.6,-6.19968216727259e-10,-3.0838702080902097e-11
-99.59,-6.203051285244723e-10,-3.0858805282934904e-11
-99.58,-6.206422594310457e-10,-3.087892221040569e-11
-99.57,-6.20979609883076e-10,-3.089905378052879e-11
-99.56,-6.213171766503723e-10,-3.091920134498735e-11
-99.55,-6.21654963201611e-10,-3.093936591464394e-11
-99.54,-6.219929670151712e-10,-3.0959543183270405e-11
-99.53,-6.223311902811515e-10,-3.0979736796101636e-11
-99.52,-6.22669631749932e-10,-3.099994450466742e-11
-99.51,-6.230082923841018e-10,-3.102016813323351e-11
-99.5,-6.233471716253776e-10,-3.104040694496796e-11
-99.49,-6.236862708087675e-10,-3.10606616908209e-11
-99.48,-6.240255906663564e-10,-3.108093200169841e-11
