t/M,Re(Psi_4),Im(Psi_4)
-100.0,-6.076851899259223e-10,-2.4199582797445173e-12
-99.99,-6.080142921420006e-10,-2.4215297716700697e-12
-99.98,-6.083436063454649e-10,-2.4231024491194956e-12
-99.97,-6.086731327863204e-10,-2.424676269645873e-12
-99.96,-6.090028715955746e-10,-2.4262513154708527e-12
-99.95,-6.093328228612987e-10,-2.427827519765195e-12
-99.94,-6.0966298665343e-10,-2.4294049204421804e-12
-99.93,-6.099933636927207e-10,-2.4309834680044853e-12
-99.92,-6.103239533919358e-10,-2.4325632803664568e-12
-99.91,-6.106547563132853e-10,-2.434144231831062e-12
-99.9,-6.109857725242488e-10,-2.4357263662061234e-12
-99.89,-6.113170021723675e-10,-2.437309721005481e-12
-99.88,-6.11648445573716e-10,-2.4388942588333886e-12
-99.87,-6.119801026404957e-10,-2.4404799810055862e-12
-99.86,-6.12311973674452e-10,-2.44206690541709e-12
-99.85,-6.12644058771841e-10,-2.4436550015106334e-12
-99.84,-6.12976357875416e-10,-2.4452442319317245e-12
-99.83,-6.133088722119876e-10,-2.4468348105804078e-12
-99.82,-6.13641600570813e-10,-2.448426520061567e-12
-99.81,-6.139745437439689e-10,-2.4500194189895556e-12
-99.8,-6.143077018260889e-10,-2.451613527263062e-12
-99.79,-6.14641074967453e-10,-2.453208822604684e-12
-99.78,-6.149746633113592e-10,-2.454805319504959e-12
-99.77,-6.153084670577011e-10,-2.456403024681982e-12
-99.76,-6.156424863743027e-10,-2.4580019465926207e-12
-99.75,-6.159767212143223e-10,-2.4596020730196324e-12
-99.74,-6.163111722823583e-10,-2.4612034004688894e-12
-99.73,-6.166458392223065e-10,-2.4628058966022936e-12
-99.72,-6.169807223279196e-10,-2.4644096300281646e-12
-99.71,-6.173158217697356e-10,-2.4660145875493276e-12
-99.7,-6.176511377313596e-10,-2.467620752505084e-12
-99.69,-6.17986670406679e-10,-2.4692280674035045e-12
-99.68,-6.18322419939578e-10,-2.470836702901797e-12
-99.67,-6.186583864392927e-10,-2.472446484384612e-12
-99.66,-6.189945701067774e-10,-2.4740574654468065e-12
-99.65,-6.193309711347659e-10,-2.4756697419760725e-12
-99.64,-6.196675895520669e-10,-2.4772831492109585e-12
-99.63,-6.200044256930933e-10,-2.4788978037026198e-12
-99.62,-6.20341479744387e-10,-2.4805136921560094e-12
-99.61,-6.206787516896369e-10,-2.482130771646576e-12
