t/M,Re(Psi_4),Im(Psi_4)
-100.0,-9.707088574765771e-11,1.970351912521784e-12
-99.99,-9.712459549793206e-11,1.9716603969830763e-12
-99.98,-9.717834046529788e-11,1.97296965394728e-12
-99.97,-9.723212111497894e-11,1.9742801510849637e-12
-99.96,-9.72859367158074e-11,1.975591652130751e-12
-99.95,-9.733978762413889e-11,1.9769037088426802e-12
-99.94,-9.739367487535774e-11,1.9782174981666307e-12
-99.93,-9.7447596983e-11,1.979531942841156e-12
-99.92,-9.75015546540508e-11,1.9808474120757546e-12
-99.91,-9.755554789239604e-11,1.98216391218197e-12
-99.9,-9.760957671295756e-11,1.9834813947599974e-12
-99.89,-9.766364141528638e-11,1.9847999664595377e-12
-99.88,-9.771774126046813e-11,1.9861194220327183e-12
-99.87,-9.77718768886007e-11,1.9874402234769884e-12
-99.86,-9.782604857776522e-11,1.9887614863323867e-12
-99.85,-9.788025563180854e-11,1.990084122901177e-12
-99.84,-9.793449745520661e-11,1.9914066852919944e-12
-99.83,-9.798877702770387e-11,1.9927330230510282e-12
-99.82,-9.80430911191036e-11,1.9940581529801397e-12
-99.81,-9.809744145085471e-11,1.995384836759857e-12
-99.8,-9.815182742053152e-11,1.9967123912784246e-12
-99.79,-9.820624903651142e-11,1.9980411608299863e-12
-99.78,-9.826070693083786e-11,1.999370627343024e-12
-99.77,-9.831520077023398e-11,2.0007017277241824e-12
-99.76,-9.836973033019139e-11,2.0020333732964838e-12
-99.75,-9.842429540378484e-11,2.0033665617634237e-12
-99.74,-9.847889767686577e-11,2.0047000784086427e-12
-99.73,-9.853353510704729e-11,2.0060349671422597e-12
-99.72,-9.858820898411823e-11,2.0073706428026616e-12
-99.71,-9.864291866895413e-11,2.008707760568979e-12
-99.7,-9.869766487021664e-11,2.0100457873278187e-12
-99.69,-9.875244688413772e-11,2.011384940967599e-12
-99.68,-9.880726505340735e-11,2.012724586364021e-12
-99.67,-9.886211940246425e-11,2.0140657045422556e-12
-99.66,-9.891701025986393e-11,2.0154084237944857e-12
-99.65,-9.897193713811271e-11,2.016751185529531e-12
-99.64,-9.90269000646999e-11,2.0180950912988436e-12
-99.63,-9.908189991013079e-11,2.0194401249389694e-12
-99.62,-9.913693541343239e-11,2.0207864260217695e-12
-99.61,-9.9192007421393e-11,2.0221336877483336e-12
-99.6,-9.92471165441462e-11,2.0234823419132593e-12
-99.59,-9.930226141138216e-11,2.0248312782769934e-12
-99.58,-9.935744271012343e-11,2.0261817736006806e-12
-99.57,-9.941266006151429e-11,2.0275327914663714e-12
-99.56,-9.946791504908624e-11,2.028885779046223e-12
-99.55,-9.952320598662099e-11,2.030239500618905e-12
-99.54,-9.957853368557141e-11,2.0315936274534883e-12
-99.53,-9.963389784763211e-11,2.032949536313834e-12
-99.52,-9.968929829029515e-11,2.0343060808588147e-12
-99.51,-9.974473578330841e-11,2.0356638664999793e-12
-99.5,-9.980020974962295e-11,2.037022649220472e-12
-99.49,-9.985572045607381e-11,2.038382357197072e-12
-99.48,-9.99112687357229e-11,2.0397430654492665e-12
-99.47,-9.996685217698081e-11,2.0411050836393865e-12
-99.46,-1.0002247338158933e-10,2.042467967469457e-12
-99.45,-1.0007813099142882e-10,2.0438322516235026e-12
-99.44,-1.0013382540058354e-10,2.045197309309932e-12
-99.43,-1.0018955709022248e-10,2.0465631655814367e-12
-99.42,-1.0024532553041068e-10,2.0479304747448277e-12
-99.41,-1.0030113077980331e-10,2.0492987335201863e-12
-99.4,-1.003569729829256e-10,2.0506679568118794e-12
-99.39,-1.0041285223771312e-10,2.0520384651170118e-12
-99.38,-1.0046876847960926e-10,2.0534097125989386e-12
-99.37,-1.0052472204929954e-10,2.0547829553356255e-12
-99.36,-1.0058071242799979e-10,2.056155831801863e-12
-99.35,-1.0063673987543779e-10,2.0575303439562842e-12
-99.34,-1.0069280442328438e-10,2.0589061277090164e-12
-99.33,-1.007489063621089e-10,2.0602827574638007e-12
-99.32,-1.0080504531214585e-10,2.0616606018596546e-12
-99.31,-1.008612212413555e-10,2.063039433754602e-12
-99.3,-1.0091743478300519e-10,2.0644192559668344e-12
-99.29,-1.0097368532194742e-10,2.0658003846930003e-12
-99.28,-1.0102997290358103e-10,2.067182688351699e-12
-99.27,-1.0108629845566383e-10,2.068565651712117e-12
-99.26,-1.0114266143545735e-10,2.0699499875438596e-12
-99.25,-1.0119906127369136e-10,2.071335230805582e-12
-99.24,-1.0125549851669092e-10,2.0727214120436638e-12
-99.23,-1.0131197340563909e-10,2.0741089110074795e-12
-99.22,-1.0136848553138458e-10,2.0754973735052397e-12
-99.21,-1.014250358082924e-10,2.0768869061130395e-12
-99.2,-1.0148162284100451e-10,2.0782777144220432e-12
-99.19,-1.0153824785856721e-10,2.079669773118637e-12
-99.18,-1.0159491007952371e-10,2.0810620712611675e-12
-99.17,-1.0165161008439822e-10,2.082456044315644e-12
-99.16,-1.0170834796244125e-10,2.083851235979139e-12
-99.15,-1.0176512343238358e-10,2.0852470895789215e-12
-99.14,-1.0182193645962208e-10,2.0866442071714686e-12
-99.13,-1.0187878706083278e-10,2.0880427305781066e-12
-99.12,-1.0193567590604316e-10,2.089441829810634e-12
-99.11,-1.0199260220044324e-10,2.0908421056412312e-12
-99.1,-1.0204956606945066e-10,2.0922436670853045e-12
-99.09,-1.0210656825627009e-10,2.093646129705748e-12
-99.08,-1.0216360845227758e-10,2.0950496176090457e-12
-99.07,-1.0222068592753831e-10,2.0964544648638073e-12
