t/M,Re(Psi_4),Im(Psi_4)
-100.0,-9.709591575091004e-11,7.048967286900454e-13
-99.99,-9.714964474182612e-11,7.05364802782356e-13
-99.98,-9.720340923292267e-11,7.058332549995878e-13
-99.97,-9.725720894286152e-11,7.063021594411536e-13
-99.96,-9.73110441235915e-11,7.06771287397849e-13
-99.95,-9.736491497284893e-11,7.072409734762416e-13
-99.94,-9.74188210961333e-11,7.077107856131933e-13
-99.93,-9.747276258168552e-11,7.081810912283369e-13
-99.92,-9.752673978018469e-11,7.086517296066967e-13
-99.91,-9.758075256046372e-11,7.09122717384504e-13
-99.9,-9.763480085530705e-11,7.095940274263631e-13
-99.89,-9.768888475933573e-11,7.100658201821803e-13
-99.88,-9.77430043653194e-11,7.105378945098074e-13
-99.87,-9.779715946463166e-11,7.110103710519001e-13
-99.86,-9.785135053973028e-11,7.114831852241345e-13
-99.85,-9.790557718514237e-11,7.119563587097054e-13
-99.84,-9.795984064971961e-11,7.124290852266923e-13
-99.83,-9.801413754732342e-11,7.129039669620209e-13
-99.82,-9.806847157970745e-11,7.133781023897398e-13
-99.81,-9.812284136943436e-11,7.138527451701078e-13
-99.8,-9.817724716810312e-11,7.143277728241954e-13
-99.79,-9.823168856959207e-11,7.148031271327424e-13
-99.78,-9.828616619815555e-11,7.152788227890385e-13
-99.77,-9.834067949558377e-11,7.157549196196101e-13
-99.76,-9.839522882597028e-11,7.162314301153306e-13
-99.75,-9.844981398960926e-11,7.167083114773919e-13
-99.74,-9.85044355424021e-11,7.171854612024619e-13
-99.73,-9.855909298914383e-11,7.176630542193557e-13
-99.72,-9.861378644735255e-11,7.181409885199643e-13
-99.71,-9.86685161266052e-11,7.186192774653898e-13
-99.7,-9.872328178262646e-11,7.190980115865345e-13
-99.69,-9.877808367144059e-11,7.195770639304122e-13
-99.68,-9.883292184167568e-11,7.200564158465359e-13
-99.67,-9.88877961092085e-11,7.205362797180748e-13
-99.66,-9.894270654756417e-11,7.210164637582541e-13
-99.65,-9.899765332806248e-11,7.214970319663581e-13
-99.64,-9.905263652385379e-11,7.219778130272405e-13
-99.63,-9.910765614122849e-11,7.224590639536256e-13
-99.62,-9.916271175759202e-11,7.229407335026098e-13
-99.61,-9.921780397027646e-11,7.234227388624143e-13
-99.6,-9.927293227307465e-11,7.239053830568122e-13
-99.59,-9.932809756238005e-11,7.24387888745894e-13
-99.58,-9.938329903492182e-11,7.248709903209875e-13
-99.57,-9.943853696048582e-11,7.253544911821137e-13
-99.56,-9.949381149354555e-11,7.258383675602719e-13
-99.55,-9.954912238972353e-11,7.263227133954262e-13
-99.54,-9.960447008190809e-11,7.268072743554378e-13
-99.53,-9.965985430240878e-11,7.272923517160389e-13
-99.52,-9.97152750986327e-11,7.277776519247998e-13
-99.51,-9.977073270804495e-11,7.282634345838317e-13
