M omega,Re(tilde_Psi_4),Im(tilde_Psi_4)
-4.0,1.0512570251267003e-19,4.3551210277518023e-20
-3.999,1.0652191054908596e-19,4.421621472796112e-20
-3.998,1.0793659900096697e-19,4.4891301466505415e-20
-3.997,1.093700114300998e-19,4.557662240408019e-20
-3.996,1.1082239459100178e-19,4.6272331727754627e-20
-3.995,1.1229399847248883e-19,4.6978585934668614e-20
-3.994,1.1378507633978012e-19,4.769554386646702e-20
-3.993,1.1529588477714614e-19,4.842336674424478e-20
-3.992,1.1682668373110696e-19,4.9162218204010314e-20
-3.991,1.1837773655418802e-19,4.991226433267512e-20
-3.99,1.1994931004924026e-19,5.0673673704577e-20
-3.989,1.21541674514332e-19,5.1446617418545114e-20
-3.988,1.231551037882197e-19,5.223126913551463e-20
-3.987,1.2478987529640496e-19,5.302780511669921e-20
-3.986,1.2644627009778575e-19,5.3836404262329536e-20
-3.985,1.2812457293190842e-19,5.465724815096618e-20
-3.984,1.2982507226682928e-19,5.549052107939537e-20
-3.983,1.3154806034759263e-19,5.633641010311628e-20
-3.982,1.3329383324533366e-19,5.719510507742836e-20
-3.981,1.350626909070139e-19,5.80667986991279e-20
-3.98,1.3685493720579734e-19,5.89516865488225e-20
-3.979,1.3867087999207532e-19,5.984996713387282e-20
-3.978,1.405108311451487e-19,6.076184193197052e-20
-3.977,1.4237510662557525e-19,6.168751543536239e-20
-3.976,1.4426402652819118e-19,6.262719519572935e-20
-3.975,1.4617791513581493e-19,6.35810918697308e-20
-3.974,1.4811710097364244e-19,6.454941926522363e-20
-3.973,1.5008191686434202e-19,6.553239438816594e-20
-3.972,1.5207269998385846e-19,6.653023749021577e-20
-3.971,1.5408979191793477e-19,6.754317211703475e-20
-3.97,1.5613353871936095e-19,6.85714251573074e-20
-3.969,1.582042909659591e-19,6.961522689248642e-20
-3.968,1.603024038193141e-19,7.067481104727473e-20
-3.967,1.6242823708425925e-19,7.175041484085513e-20
-3.966,1.6458215526912667e-19,7.28422790388786e-20
-3.965,1.667645276467721e-19,7.39506480062225e-20
-3.964,1.6897572831638366e-19,7.507576976052976e-20
-3.963,1.7121613626608512e-19,7.621789602654102e-20
-3.962,1.7348613543634312e-19,7.737728229123084e-20
-3.961,1.7578611478418882e-19,7.855418785976038e-20
-3.96,1.7811646834826449e-19,7.97488759122582e-20
-3.959,1.8047759531470515e-19,8.096161356144157e-20
-3.958,1.828699000838661e-19,8.219267191109057e-20
-3.957,1.852937923379069e-19,8.344232611538767e-20
-3.956,1.8774968710924295e-19,8.471085543913536e-20
-3.955,1.90238004849875e-19,8.599854331886503e-20
-3.954,1.927591715016087e-19,8.730567742484987e-20
-3.953,1.9531361856717453e-19,8.863254972403551e-20
-3.952,1.9790178318226009e-19,8.997945654390154e-20
-3.951,2.00524108188466e-19,9.134669863726793e-20
-3.95,2.031810422071973e-19,9.273458124806003e-20
-3.949,2.058730397145021e-19,9.41434141780464e-20
-3.948,2.086005611168694e-19,9.557351185456386e-20
-3.947,2.1136407282799835e-19,9.702519339924396e-20
-3.946,2.141640473465511e-19,9.849878269775611e-20
-3.945,2.1700096333490186e-19,9.999460847058192e-20
-3.944,2.198753056988945e-19,1.0151300434483613e-19
-3.943,2.227875656686216e-19,1.030543089271495e-19
-3.942,2.25738240880238e-19,1.046188658776293e-19
-3.941,2.2872783545882173e-19,1.0620702398491321e-19
-3.94,2.3175686010229508e-19,1.078191372423328e-19
-3.939,2.3482583216642068e-19,1.0945556492520285e-19
-3.938,2.379352757508842e-19,1.1111667166925312e-19
-3.937,2.410857217864788e-19,1.128028275502193e-19
-3.936,2.4427770812340494e-19,1.1451440816461045e-19
-3.935,2.4751177962069915e-19,1.1625179471166977e-19
-3.934,2.507884882368065e-19,1.180153740765468e-19
-3.933,2.541083931213109e-19,1.1980553891469849e-19
-3.932,2.574720607078381e-19,1.2162268773753723e-19
-3.931,2.6088006480814596e-19,1.234672249993445e-19
-3.93,2.6433298670741693e-19,1.2533956118546842e-19
-3.929,2.678314152607679e-19,1.2724011290182418e-19
-3.928,2.7137594699099307e-19,1.2916930296571659e-19
-3.927,2.7496718618755507e-19,1.3112756049800403e-19
-3.926,2.7860574500683955e-19,1.3311532101662385e-19
-3.925,2.822922435736907e-19,1.3513302653149876e-19
-3.924,2.860273100842415e-19,1.3718112564084488e-19
-3.923,2.8981158091005787e-19,1.3926007362890192e-19
-3.922,2.9364570070360987e-19,1.413703325651065e-19
-3.921,2.9753032250509006e-19,1.4351237140472969e-19
-3.92,3.014661078505932e-19,1.456866660910001e-19
-3.919,3.054537268816761e-19,1.4789369965873516e-19
-3.918,3.094938584563143e-19,1.501339623395016e-19
-3.917,3.135871902612729e-19,1.5240795166832847e-19
-3.916,3.1773441892591007e-19,1.547161725919953e-19
-3.915,3.2193625013743062e-19,1.5705913757891832e-19
-3.914,3.261933987576077e-19,1.5943736673065843e-19
-3.913,3.3050658894099174e-19,1.6185138789507466e-19
-3.912,3.3487655425462483e-19,1.6430173678114747e-19
-3.911,3.393040377992792e-19,1.6678895707549613e-19
-3.91,3.4378979233223947e-19,1.6931360056061512e-19
-3.909,3.4833458039164775e-19,1.7187622723485526e-19
-3.908,3.529391744224312e-19,1.744774054341743e-19
-3.907,3.576043569038315e-19,1.7711771195568393e-19
-3.906,3.6233092047855735e-19,1.7979773218301886e-19
-3.905,3.6711966808357893e-19,1.8251806021355512e-19
-3.904,3.7197141308258615e-19,1.8527929898750456e-19
-3.903,3.768869794001306e-19,1.8808206041891312e-19
-3.902,3.8186720165747294e-19,1.9092696552859095e-19
-3.901,3.8691292531015626e-19,1.938146445790025e-19
-3.9,3.9202500678732826e-19,1.9674573721114554e-19
-3.899,3.9720431363283263e-19,1.9972089258344835e-19
-3.898,4.024517246480929e-19,2.0274076951271427e-19
-3.897,4.077681300368107e-19,2.0580603661714446e-19
-3.896,4.131544315515009e-19,2.0891737246146837e-19
-3.895,4.1861154264188707e-19,2.1207546570421385e-19
-3.894,4.2414038860518036e-19,2.1528101524714737e-19
-3.893,4.2974190673826476e-19,2.1853473038691697e-19
-3.892,4.354170464918134e-19,2.218373309689298e-19
-3.891,4.41166769626359e-19,2.2518954754349696e-19
-3.89,4.469920503703446e-19,2.2859212152427936e-19
-3.889,4.528938755801765e-19,2.32045805349068e-19
-3.888,4.58873244902307e-19,2.3555136264293296e-19
-3.887,4.64931170937371e-19,2.3910956838377563e-19
-3.886,4.710686794064022e-19,2.4272120907032007e-19
-3.885,4.772868093191547e-19,2.463870828925787e-19
-3.884,4.835866131445561e-19,2.501079999048285e-19
-3.883,4.899691569833203e-19,2.538847822011352e-19
-3.882,4.964355207427437e-19,2.5771826409346204e-19
-3.881,5.029867983137146e-19,2.616092922924016e-19
-3.88,5.096240977499629e-19,2.6555872609056863e-19
-3.879,5.163485414495768e-19,2.6956743754869363e-19
-3.878,5.231612663388159e-19,2.736363116844556e-19
-3.877,5.300634240582483e-19,2.7776624666409553e-19
-3.876,5.370561811512423e-19,2.8195815399684997e-19
-3.875,5.441407192548387e-19,2.8621295873224727e-19
-3.874,5.513182352930374e-19,2.905315996603075e-19
-3.873,5.585899416725247e-19,2.949150295146888e-19
-3.872,5.659570664808735e-19,2.993642151788242e-19
-3.871,5.734208536872469e-19,3.0388013789509096e-19
-3.87,5.809825633456354e-19,3.084637934770587e-19
