t/M,Re(Psi_4),Im(Psi_4)
-100.0,2.1596570521996384e-10,-3.824442488099441e-12
-99.99,2.1608411383106354e-10,-3.826958254039381e-12
-99.98,2.162025996198534e-10,-3.829476010327724e-12
-99.97,2.163211625060282e-10,-3.831995576856511e-12
-99.96,2.1643980284298313e-10,-3.834517180848265e-12
-99.95,2.165585204892768e-10,-3.837040597229056e-12
-99.94,2.1667731595274904e-10,-3.839566153495532e-12
-99.93,2.1679618869805812e-10,-3.842093296424094e-12
-99.92,2.1691513896516536e-10,-3.844622598756866e-12
-99.91,2.1703416696242967e-10,-3.847153864075154e-12
-99.9,2.1715327265391527e-10,-3.8496869676708876e-12
-99.89,2.172724561589879e-10,-3.85222195102993e-12
-99.88,2.1739171737080544e-10,-3.854758989909064e-12
-99.87,2.175110565280138e-10,-3.8572978547538305e-12
-99.86,2.176304735075932e-10,-3.859838693692885e-12
-99.85,2.1774996854981558e-10,-3.86238153176864e-12
-99.84,2.1786954268214173e-10,-3.86492738452747e-12
-99.83,2.179891925409211e-10,-3.8674728624575035e-12
-99.82,2.1810892225490358e-10,-3.870021487554831e-12
-99.81,2.182287298837923e-10,-3.872571973872155e-12
-99.8,2.183486159056321e-10,-3.875124527913266e-12
-99.79,2.1846858010128054e-10,-3.8776790022304965e-12
-99.78,2.185886227604855e-10,-3.8802353876729125e-12
-99.77,2.1870874389172204e-10,-3.882793667885562e-12
-99.76,2.1882894355016349e-10,-3.885353948153368e-12
-99.75,2.18949221672282e-10,-3.887916179421791e-12
-99.74,2.19069578623608e-10,-3.89048048174602e-12
-99.73,2.1919001424444272e-10,-3.893046532743808e-12
-99.72,2.1931052847377244e-10,-3.895614675686603e-12
-99.71,2.1943112174199241e-10,-3.898184762821259e-12
-99.7,2.1955179379870544e-10,-3.9007568051931205e-12
-99.69,2.19672544747299e-10,-3.903330865765833e-12
-99.68,2.1979337478251608e-10,-3.905906837958144e-12
-99.67,2.1991428382402364e-10,-3.908484681154519e-12
-99.66,2.2003527164814576e-10,-3.911064727491815e-12
-99.65,2.2015633921608308e-10,-3.913646412826868e-12
-99.64,2.202774860372567e-10,-3.916230355869676e-12
-99.63,2.203987117691421e-10,-3.918816331446076e-12
