M omega,Re(tilde_Psi_4),Im(tilde_Psi_4)
-4.0,-5.381300464035401e-20,3.1906470841932395e-21
-3.999,-5.452359518609552e-20,3.2126448890105313e-21
-3.998,-5.524357055569631e-20,3.234645273736794e-21
-3.997,-5.597305469523187e-20,3.2566441582955886e-21
-3.996,-5.671217318741191e-20,3.2786373499732433e-21
-3.995,-5.746105327318162e-20,3.3006205410926923e-21
-3.994,-5.821982387360786e-20,3.322589306644625e-21
-3.993,-5.898861561205396e-20,3.344539101875218e-21
-3.992,-5.976756083664698e-20,3.366465259829703e-21
-3.991,-6.055679364304138e-20,3.38836298885101e-21
-3.99,-6.135644989748275e-20,3.410227370032717e-21
-3.989,-6.216666726017588e-20,3.432053354625522e-21
-3.988,-6.298758520896078e-20,3.453835761396435e-21
-3.987,-6.38193450633012e-20,3.4755692739398906e-21
-3.986,-6.466209000858933e-20,3.497248437939945e-21
-3.985,-6.551596512077099e-20,3.518867658382735e-21
-3.984,-6.638111739129576e-20,3.540421196718332e-21
-3.983,-6.725769575239586e-20,3.561903167971142e-21
-3.982,-6.814585110269859e-20,3.58330753779796e-21
-3.981,-6.904573633317643e-20,3.604628119492795e-21
-3.98,-6.995750635343929e-20,3.6258585709375494e-21
-3.979,-7.088131811837358e-20,3.64699239149764e-21
-3.978,-7.181733065513238e-20,3.668022918861608e-21
-3.977,-7.276570509048165e-20,3.688943325823782e-21
-3.976,-7.372660467850694e-20,3.7097466170090106e-21
-3.975,-7.470019482868543e-20,3.730425625538482e-21
-3.974,-7.568664313432814e-20,3.750973009635643e-21
-3.973,-7.668611940139712e-20,3.7713812491711755e-21
-3.972,-7.769879567770257e-20,3.791642642146021e-21
-3.971,-7.872484628248507e-20,3.8117493011113834e-21
-3.97,-7.976444783638755e-20,3.831693149524657e-21
-3.969,-8.081777929182273e-20,3.851465918040178e-21
-3.968,-8.18850219637407e-20,3.8710591407337085e-21
-3.967,-8.296635956080227e-20,3.890464151259525e-21
-3.966,-8.40619782169632e-20,3.909672078938977e-21
-3.965,-8.517206652347491e-20,3.928673844779351e-21
-3.964,-8.629681556130702e-20,3.947460157421863e-21
-3.963,-8.743641893399729e-20,3.9660215090175894e-21
-3.962,-8.859107280093468e-20,3.984348171030115e-21
-3.961,-8.976097591108113e-20,4.002430189963656e-21
-3.96,-9.094632963713785e-20,4.02025738301542e-21
-3.959,-9.214733801016211e-20,4.037819333650907e-21
-3.958,-9.336420775464013e-20,4.0551053871008626e-21
-3.957,-9.459714832402259e-20,4.072104645778568e-21
-3.956,-9.584637193672829e-20,4.088805964616119e-21
-3.955,-9.711209361262247e-20,4.105197946318343e-21
-3.954,-9.839453120997612e-20,4.121268936532953e-21
-3.953,-9.969390546291214e-20,4.137007018935554e-21
-3.952,-1.0101044001934534e-19,4.152400010228054e-21
-3.951,-1.0234436147942235e-19,4.167435455049036e-21
-3.95,-1.0369589943446827e-19,4.1821006207946176e-21
-3.949,-1.0506528650644654e-19,4.1963824923482866e-21
-3.948,-1.06452758387939e-19,4.210267766718201e-21
-3.947,-1.0785855388265277e-19,4.2237428475804e-21
-3.946,-1.0928291494646108e-19,4.236793839726347e-21
-3.945,-1.1072608672898487e-19,4.24940654341321e-21
-3.944,-1.121883176157225e-19,4.261566448615256e-21
-3.943,-1.1366985927073458e-19,4.2732587291746984e-21
-3.942,-1.1517096667989144e-19,4.284468236850333e-21
-3.941,-1.1669189819469037e-19,4.2951794952622356e-21
-3.94,-1.1823291557665045e-19,4.305376693730816e-21
-3.939,-1.1979428404229222e-19,4.3150436810084396e-21
-3.938,-1.2137627230871034e-19,4.324163958901844e-21
-3.937,-1.229791526397464e-19,4.332720675783523e-21
-3.936,-1.2460320089277052e-19,4.340696619990242e-21
-3.935,-1.2624869656607918e-19,4.348074213106783e-21
-3.934,-1.2791592284691765e-19,4.354835503133041e-21
-3.933,-1.296051666601351e-19,4.360962157532508e-21
-3.932,-1.3131671871748096e-19,4.366435456160187e-21
-3.931,-1.3305087356755072e-19,4.3712362840679294e-21
