M omega,Re(tilde_Psi_4),Im(tilde_Psi_4)
-4.0,-1.5505160823851905e-19,-1.8531753893179465e-20
-3.999,-1.5702900266937264e-19,-1.8869569394644487e-20
-3.998,-1.5903155213849955e-19,-1.921305188684611e-20
-3.997,-1.6105957572783274e-19,-1.9562291809677167e-20
-3.996,-1.6311339655319106e-19,-1.991738099893424e-20
-3.995,-1.651933418150773e-19,-2.0278412707350555e-20
-3.994,-1.6729974285011308e-19,-2.0645481625940042e-20
-3.993,-1.694329351831181e-19,-2.1018683905657098e-20
-3.992,-1.715932585798425e-19,-2.139811717937668e-20
-3.991,-1.7378105710035993e-19,-2.1783880584199368e-20
-3.99,-1.7599667915312964e-19,-2.2176074784086177e-20
-3.989,-1.7824047754973623e-19,-2.2574801992827862e-20
-3.988,-1.8051280956031509e-19,-2.298016599735365e-20
-3.987,-1.8281403696967243e-19,-2.3392272181384304e-20
-3.986,-1.8514452613410824e-19,-2.3811227549434543e-20
-3.985,-1.8750464803895135e-19,-2.4237140751169936e-20
-3.984,-1.898947783568149e-19,-2.467012210612337e-20
-3.983,-1.9231529750658174e-19,-2.5110283628776392e-20
-3.982,-1.9476659071312854e-19,-2.5557739054010677e-20
-3.981,-1.972490480677979e-19,-2.601260386293507e-20
-3.98,-1.9976306458962772e-19,-2.647499530909361e-20
-3.979,-2.0230904028734732e-19,-2.6945032445060103e-20
-3.978,-2.0488738022214993e-19,-2.742283614942488e-20
-3.977,-2.0749849457125106e-19,-2.7908529154179435e-20
-3.976,-2.1014279869224247e-19,-2.840223607250468e-20
-3.975,-2.1282071318825209e-19,-2.8904083426968796e-20
-3.974,-2.1553266397391931e-19,-2.9414199678140495e-20
-3.973,-2.1827908234219624e-19,-2.993271525362389e-20
-3.972,-2.210604050319851e-19,-3.0459762577520905e-20
-3.971,-2.238770742966219e-19,-3.099547610032764e-20
-3.97,-2.267295379732174e-19,-3.153999232927083e-20
-3.969,-2.2961824955286576e-19,-3.209344985909093e-20
-3.968,-2.3254366825173153e-19,-3.2655989403278154e-20
-3.967,-2.3550625908302607e-19,-3.3227753825768204e-20
-3.966,-2.3850649292988457e-19,-3.3808888173104265e-20
-3.965,-2.415448466191548e-19,-3.4399539707072046e-20
-3.964,-2.4462180299610876e-19,-3.49998579378148e-20
-3.963,-2.477378510000889e-19,-3.5609994657435133e-20
-3.962,-2.508934857411003e-19,-3.6230103974090886e-20
-3.961,-2.5408920857736137e-19,-3.6860342346592064e-20
-3.96,-2.5732552719382314e-19,-3.750086861950614e-20
-3.959,-2.6060295568167196e-19,-3.81518440587792e-20
-3.958,-2.6392201461882487e-19,-3.881343238788023e-20
-3.957,-2.672832311514323e-19,-3.9485799824476277e-20
-3.956,-2.706871390763992e-19,-4.016911511764615e-20
-3.955,-2.7413427892493814e-19,-4.0863549585640413e-20
-3.954,-2.7762519804716655e-19,-4.156927715419558e-20
-3.953,-2.811604506977614e-19,-4.228647439541066e-20
-3.952,-2.8474059812268434e-19,-4.301532056719407e-20
-3.951,-2.8836620864699114e-19,-4.375599765328923e-20
-3.95,-2.9203785776373773e-19,-4.4508690403887215e-20
-3.949,-2.9575612822399747e-19,-4.5273586376834956e-20
-3.948,-2.995216101280034e-19,-4.6050875979447635e-20
-3.947,-3.033349010174288e-19,-4.6840752510934016e-20
-3.946,-3.0719660596882065e-19,-4.764341220544352e-20
-3.945,-3.111073376882004e-19,-4.8459054275744145e-20
-3.944,-3.1506771660684627e-19,-4.9287880957540284e-20
-3.943,-3.1907837097827176e-19,-5.0130097554439716e-20
-3.942,-3.2313993697641543e-19,-5.0985912483579165e-20
-3.941,-3.272530587950569e-19,-5.185553732191797e-20
-3.94,-3.3141838874847432e-19,-5.2739186853209464e-20
-3.939,-3.356365873733581e-19,-5.3637079115659936e-20
-3.938,-3.39908323531998e-19,-5.454943545028508e-20
-3.937,-3.442342745167574e-19,-5.5476480549974e-20
-3.936,-3.486151261558527e-19,-5.641844250927097e-20
-3.935,-3.5305157292045223e-19,-5.737555287488552e-20
-3.934,-3.575443180331126e-19,-5.834804669694094e-20
-3.933,-3.620940735775676e-19,-5.933616258097239e-20
-3.932,-3.667015606098882e-19,-6.034014274068508e-20
-3.931,-3.713675092710287e-19,-6.136023305148357e-20
-3.93,-3.760926589007776e-19,-6.239668310478342e-20
-3.929,-3.8087775815313015e-19,-6.344974626311645e-20
-3.928,-3.8572356511310035e-19,-6.45196797160409e-20
-3.927,-3.9063084741498963e-19,-6.560674453686841e-20
-3.926,-3.956003823621315e-19,-6.67112057402194e-20
-3.925,-4.0063295704812886e-19,-6.78333323404187e-20
-3.924,-4.0572936847960427e-19,-6.89733974107439e-20
-3.923,-4.108904237004801e-19,-7.013167814353838e-20
-3.922,-4.1611693991780895e-19,-7.130845591120167e-20
-3.921,-4.214097446291729e-19,-7.250401632806976e-20
-3.92,-4.2676967575167103e-19,-7.371864931319811e-20
-3.919,-4.3219758175251505e-19,-7.495264915406055e-20
-3.918,-4.376943217812527e-19,-7.620631457117697e-20
-3.917,-4.432607658036398e-19,-7.747994878368366e-20
-3.916,-4.4889779473718e-19,-7.877385957585927e-20
-3.915,-4.546063005883546e-19,-8.008835936462077e-20
-3.914,-4.603871865915615e-19,-8.142376526800289e-20
-3.913,-4.662413673497868e-19,-8.278039917463555e-20
-3.912,-4.721697689770275e-19,-8.415858781423342e-20
-3.911,-4.781733292424897e-19,-8.555866282911238e-20
-3.91,-4.842529977165829e-19,-8.698096084674743e-20
-3.909,-4.904097359187328e-19,-8.842582355338727e-20
-3.908,-4.966445174670348e-19,-8.98935977687407e-20
-3.907,-5.029583282297726e-19,-9.13846355217501e-20
-3.906,-5.093521664788222e-19,-9.289929412746784e-20
-3.905,-5.158270430449672e-19,-9.443793626505143e-20
-3.904,-5.223839814751478e-19,-9.60009300568934e-20
-3.903,-5.29024018191667e-19,-9.75886491489024e-20
-3.902,-5.357482026533801e-19,-9.920147279195193e-20
-3.901,-5.425575975188893e-19,-1.0083978592451358e-19
-3.9,-5.494532788117709e-19,-1.0250397925649168e-19
-3.899,-5.564363360878579e-19,-1.0419444935427693e-19
-3.898,-5.635078726046051e-19,-1.0591159872703612e-19
-3.897,-5.706690054925621e-19,-1.0765583591425598e-19
-3.896,-5.77920865928979e-19,-1.094275755745592e-19
-3.895,-5.852645993135729e-19,-1.1122723857581066e-19
-3.894,-5.927013654464811e-19,-1.1305525208653268e-19
-3.893,-6.002323387084275e-19,-1.149120496686479e-19
-3.892,-6.078587082431306e-19,-1.1679807137156892e-19
-3.891,-6.155816781419805e-19,-1.1871376382765406e-19
-3.89,-6.234024676310113e-19,-1.2065958034904883e-19
-3.889,-6.31322311260201e-19,-1.2263598102593312e-19
-3.888,-6.393424590951229e-19,-1.246434328261938e-19
-3.887,-6.474641769109812e-19,-1.2668240969654414e-19
-3.886,-6.556887463890591e-19,-1.287533926651097e-19
-3.885,-6.640174653156086e-19,-1.3085686994550257e-19
-3.884,-6.724516477832124e-19,-1.3299333704240488e-19
-3.883,-6.809926243946489e-19,-1.351632968586835e-19
-3.882,-6.896417424692915e-19,-1.3736725980405743e-19
-3.881,-6.984003662520713e-19,-1.3960574390534093e-19
-3.88,-7.072698771250381e-19,-1.4187927491828404e-19
-3.879,-7.162516738215489e-19,-1.4418838644103423e-19
-3.878,-7.25347172643118e-19,-1.4653362002924177e-19
