M omega,Re(tilde_Psi_4),Im(tilde_Psi_4)
-4.0,-2.3689320558391103e-21,7.120349032179957e-21
-3.999,-2.399319031385648e-21,7.213280000340936e-21
-3.998,-2.4300981535285095e-21,7.30742409859131e-21
-3.997,-2.461274516075785e-21,7.40279716678652e-21
-3.996,-2.492853279461615e-21,7.499415251651781e-21
-3.995,-2.5248396716239717e-21,7.597294609484445e-21
-3.994,-2.5572389888940866e-21,7.696451708891687e-21
-3.993,-2.5900565968976887e-21,7.796903233563952e-21
-3.992,-2.6232979314682033e-21,7.898666085084649e-21
-3.991,-2.6569684995720774e-21,8.001757385776553e-21
-3.99,-2.6910738802463902e-21,8.106194481585397e-21
-3.989,-2.725619725548917e-21,8.211994945001137e-21
-3.988,-2.7606117615208074e-21,8.31917657801741e-21
-3.987,-2.7960557891620504e-21,8.427757415129621e-21
-3.986,-2.8319576854198997e-21,8.537755726372254e-21
-3.985,-2.8683234041904267e-21,8.649190020395817e-21
-3.984,-2.9051589773333815e-21,8.762079047584034e-21
-3.983,-2.942470515700538e-21,8.876441803211749e-21
-3.982,-2.9802642101777046e-21,8.992297530644086e-21
-3.981,-3.018546332740583e-21,9.10966572457743e-21
-3.98,-3.0573232375246603e-21,9.228566134322738e-21
-3.979,-3.096601361909323e-21,9.349018767131766e-21
-3.978,-3.1363872276163837e-21,9.471043891566745e-21
-3.977,-3.176687441823209e-21,9.594662040914097e-21
-3.976,-3.2175086982906543e-21,9.719894016642757e-21
-3.975,-3.2588577785059916e-21,9.846760891907672e-21
-3.974,-3.300741552841041e-21,9.975284015099096e-21
-3.973,-3.3431669817257044e-21,1.0105485013438252e-20
-3.972,-3.386141116837107e-21,1.0237385796619977e-20
-3.971,-3.4296711023045634e-21,1.0371008560502971e-20
-3.97,-3.4737641759305674e-21,1.0506375790848264e-20
-3.969,-3.5184276704280354e-21,1.0643510267106524e-20
-3.968,-3.5636690146740075e-21,1.0782435066254872e-20
-3.967,-3.6094957349800374e-21,1.0923173566683812e-20
-3.966,-3.655915456379487e-21,1.1065749452134965e-20
-3.965,-3.702935903931961e-21,1.121018671569025e-20
-3.964,-3.7505649040450965e-21,1.1356509663813203e-20
-3.963,-3.7988103858139645e-21,1.1504742920443079e-20
-3.962,-3.847680382378292e-21,1.1654911431142489e-20
-3.961,-3.8971830322977656e-21,1.1807040467299197e-20
-3.96,-3.947326580945643e-21,1.1961155630382847e-20
-3.959,-3.998119381920937e-21,1.2117282856257309e-20
-3.958,-4.049569898479394e-21,1.2275448419549364e-20
-3.957,-4.1016867049835495e-21,1.2435678938074489e-20
-3.956,-4.154478488372097e-21,1.2598001377320467e-20
-3.955,-4.207954049648828e-21,1.276244305498959e-20
-3.954,-4.262122305391425e-21,1.2929031645600212e-20
-3.953,-4.316992289280353e-21,1.3097795185148437e-20
-3.952,-4.372573153648126e-21,1.3268762075830717e-20
-3.951,-4.428874171049237e-21,1.3441961090828166e-20
-3.95,-4.4859047358509946e-21,1.3617421379153395e-20
-3.949,-4.543674365845592e-21,1.3795172470560672e-20
-3.948,-4.602192703883652e-21,1.3975244280520262e-20
-3.947,-4.661469519529565e-21,1.4157667115257754e-20
-3.946,-4.7215147107388926e-21,1.4342471676859245e-20
-3.945,-4.782338305558156e-21,1.4529689068443248e-20
-3.944,-4.843950463847282e-21,1.471935079940015e-20
-3.943,-4.906361479025039e-21,1.4911488790700184e-20
-3.942,-4.9695817798377504e-21,1.5106135380270728e-20
-3.941,-5.03362193215161e-21,1.5303323328443887e-20
-3.94,-5.098492640768912e-21,1.5503085823475256e-20
-3.939,-5.1642047512685224e-21,1.5705456487134812e-20
-3.938,-5.230769251870909e-21,1.5910469380370858e-20
-3.937,-5.298197275328064e-21,1.6118159009047968e-20
-3.936,-5.366500100838667e-21,1.6328560329759953e-20
-3.935,-5.435689155988795e-21,1.654170875571875e-20
-3.934,-5.505776018718566e-21,1.6757640162720282e-20
-3.933,-5.576772419315027e-21,1.6976390895188287e-20
-3.932,-5.648690242431664e-21,1.7197997772297116e-20
-3.931,-5.721541529134876e-21,1.7422498094174543e-20
-3.93,-5.795338478977794e-21,1.764992964818564e-20
-3.929,-5.870093452101793e-21,1.7880330715298765e-20
-3.928,-5.945818971366081e-21,1.8113740076534745e-20
-3.927,-6.0225277245057455e-21,1.8350197019500324e-20
-3.926,-6.100232566318629e-21,1.858974134500701e-20
-3.925,-6.178946520881434e-21,1.883241337377641e-20
-3.924,-6.258682783795444e-21,1.907825395323317e-20
-3.923,-6.339454724462259e-21,1.9327304464386734e-20
-3.922,-6.421275888389954e-21,1.9579606828802973e-20
-3.921,-6.5041599995300675e-21,1.983520351566698e-20
-3.92,-6.58812096264583e-21,2.009413754893812e-20
-3.919,-6.6731728657120675e-21,2.0356452514598612e-20
-3.918,-6.7593299823471944e-21,2.0622192567996802e-20
-3.917,-6.846606774277726e-21,2.0891402441286454e-20
-3.916,-6.935017893835765e-21,2.11641274509632e-20
-3.915,-7.024578186489881e-21,2.144041350549953e-20
-3.914,-7.115302693409869e-21,2.172030711307952e-20
-3.913,-7.207206654065795e-21,2.200385538943466e-20
-3.912,-7.300305508861848e-21,2.229110606578208e-20
-3.911,-7.394614901805406e-21,2.258210749686652e-20
-3.91,-7.490150683211855e-21,2.2876908669107385e-20
-3.909,-7.586928912445582e-21,2.3175559208852278e-20
-3.908,-7.684965860697672e-21,2.3478109390738394e-20
-3.907,-7.784278013800793e-21,2.3784610146163175e-20
-3.906,-7.884882075081761e-21,2.409511307186568e-20
-3.905,-7.986794968252297e-21,2.4409670438620088e-20
-3.904,-8.090033840338507e-21,2.472833520004282e-20
-3.903,-8.194616064649576e-21,2.5051161001514752e-20
-3.902,-8.300559243786241e-21,2.5378202189220023e-20
-3.901,-8.407881212689556e-21,2.5709513819303e-20
-3.9,-8.516600041730493e-21,2.6045151667144855e-20
-3.899,-8.626734039840939e-21,2.638517223676144e-20
-3.898,-8.738301757686655e-21,2.6729632770323922e-20
-3.897,-8.851321990882737e-21,2.7078591257803883e-20
-3.896,-8.965813783252177e-21,2.743210644674444e-20
-3.895,-9.081796430128106e-21,2.7790237852159087e-20
-3.894,-9.19928948170028e-21,2.815304576655987e-20
-3.893,-9.318312746406445e-21,2.852059127011665e-20
-3.892,-9.438886294369163e-21,2.889293624094912e-20
-3.891,-9.56103046087872e-21,2.9270143365553326e-20
-3.89,-9.684765849922736e-21,2.9652276149364466e-20
