t/M,Re(Psi_4),Im(Psi_4)
-100.0,-9.709915789937874e-11,-3.789830338221508e-14
-99.99,-9.715288942587363e-11,-3.792346661319055e-14
-99.98,-9.720665641653278e-11,-3.7948652785369377e-14
-99.97,-9.726045860307837e-11,-3.7973883754637465e-14
-99.96,-9.731429637382627e-11,-3.799910210931063e-14
-99.95,-9.736816950676083e-11,-3.802433397597173e-14
-99.94,-9.742207836046291e-11,-3.804961379861155e-14
-99.93,-9.747602240315472e-11,-3.807487540245782e-14
-99.92,-9.753000209089469e-11,-3.810017156946647e-14
-99.91,-9.758401739266921e-11,-3.8125514234893726e-14
-99.9,-9.763806827103671e-11,-3.815085656093812e-14
-99.89,-9.769215471309371e-11,-3.8176243392613677e-14
-99.88,-9.774627682092654e-11,-3.8201591169072766e-14
-99.87,-9.780043456730766e-11,-3.822700838603008e-14
-99.86,-9.785462804496843e-11,-3.8252438500884446e-14
-99.85,-9.790885732930485e-11,-3.827785663950048e-14
-99.84,-9.796312351389905e-11,-3.83032713495744e-14
-99.83,-9.801742276652868e-11,-3.832881301054498e-14
-99.82,-9.807175938241929e-11,-3.835427610003419e-14
-99.81,-9.812613173551315e-11,-3.83798171343429e-14
-99.8,-9.8180540045366e-11,-3.840539525578447e-14
-99.79,-9.823498404704753e-11,-3.843089250997293e-14
-99.78,-9.828946415318796e-11,-3.845647427831427e-14
-99.77,-9.834398010050587e-11,-3.848210206710722e-14
-99.76,-9.839853197312591e-11,-3.850774144149432e-14
-99.75,-9.84531197617646e-11,-3.853336836406895e-14
-99.74,-9.850774386960938e-11,-3.8558989279432015e-14
-99.73,-9.856240382499173e-11,-3.858467384451837e-14
-99.72,-9.861709992642678e-11,-3.861038715452472e-14
-99.71,-9.867183210496589e-11,-3.863608198110651e-14
-99.7,-9.872660039923337e-11,-3.866183787736035e-14
-99.69,-9.878140490730983e-11,-3.868760540197666e-14
-99.68,-9.88362455744049e-11,-3.8713346179414665e-14
-99.67,-9.889112240603421e-11,-3.873915907517271e-14
-99.66,-9.894603543968387e-11,-3.876499380689857e-14
-99.65,-9.9000984840496e-11,-3.879080897075873e-14
-99.64,-9.905597063396464e-11,-3.88166565329769e-14
-99.63,-9.911099288401818e-11,-3.8842538170481935e-14
-99.62,-9.916605108291876e-11,-3.8868413356578165e-14
-99.61,-9.922114586837902e-11,-3.889434151612718e-14
-99.6,-9.927627671338345e-11,-3.8920312081481185e-14
-99.59,-9.933144470411142e-11,-3.8946236216663876e-14
-99.58,-9.938664880573767e-11,-3.8972224994711294e-14
-99.57,-9.944188928807908e-11,-3.899821421159728e-14
-99.56,-9.949716649441737e-11,-3.9024199219057234e-14
-99.55,-9.955247996396715e-11,-3.905025591840114e-14
-99.54,-9.960783032320018e-11,-3.907631256540526e-14
-99.53,-9.966321712878183e-11,-3.910240899215942e-14
-99.52,-9.971864056050281e-11,-3.9128469742764125e-14
-99.51,-9.97741007521274e-11,-3.9154580070600077e-14
-99.5,-9.982959762707519e-11,-3.918074933252367e-14
-99.49,-9.988513113949344e-11,-3.920690279545021e-14
-99.48,-9.994070160044065e-11,-3.923307037555814e-14
-99.47,-9.999630848561346e-11,-3.925927810203047e-14
-99.46,-1.0005195239601711e-10,-3.928550673249899e-14
-99.45,-1.0010763305396555e-10,-3.931172524807738e-14
-99.44,-1.0016335060102526e-10,-3.933799976745714e-14
-99.43,-1.0021910509907656e-10,-3.9364254904435326e-14
-99.42,-1.0027489649283677e-10,-3.9390546200956055e-14
-99.41,-1.0033072476213339e-10,-3.941687510001999e-14
-99.4,-1.0038659007615775e-10,-3.9443225083657406e-14
-99.39,-1.004424923278833e-10,-3.9469578766264743e-14
-99.38,-1.004984315593615e-10,-3.9495988821276297e-14
-99.37,-1.0055440783888414e-10,-3.9522373636683963e-14
-99.36,-1.006104215584676e-10,-3.954877539932845e-14
-99.35,-1.0066647205773826e-10,-3.957522251154516e-14
-99.34,-1.007225598684813e-10,-3.960169053470074e-14
-99.33,-1.007786847023872e-10,-3.962815778273551e-14
-99.32,-1.0083484683183281e-10,-3.965465064056099e-14
-99.31,-1.0089104614969655e-10,-3.9681178657474143e-14
-99.3,-1.0094728269388615e-10,-3.970771567059467e-14
-99.29,-1.0100355660006013e-10,-3.973429320757983e-14
-99.28,-1.0105986761503813e-10,-3.9760889213834554e-14
-99.27,-1.0111621628895736e-10,-3.978749916629856e-14
-99.26,-1.0117260218132665e-10,-3.981411347664752e-14
-99.25,-1.012290254453225e-10,-3.9840773457347875e-14
-99.24,-1.0128548628169253e-10,-3.986743443513285e-14
-99.23,-1.0134198441463327e-10,-3.9894111439169966e-14
