t/M,Re(Psi_4),Im(Psi_4)
-100.0,-9.708232765186482e-11,-1.546093138012686e-12
-99.99,-9.713604611461101e-11,-1.5471198778944838e-12
-99.98,-9.718980004797356e-11,-1.5481472722278795e-12
-99.97,-9.724358933924931e-11,-1.5491756586365435e-12
-99.96,-9.72974139530563e-11,-1.5502047139289013e-12
-99.95,-9.735127412768159e-11,-1.551234138697849e-12
-99.94,-9.740516984757298e-11,-1.5522652530442616e-12
-99.93,-9.745910075967326e-11,-1.553296706377606e-12
-99.92,-9.751306742085851e-11,-1.5543289618972246e-12
-99.91,-9.756706951320857e-11,-1.5553619565545429e-12
-99.9,-9.762110722187138e-11,-1.556395741803172e-12
-99.89,-9.767518068835395e-11,-1.557430589397118e-12
-99.88,-9.772928964327894e-11,-1.5584658521665845e-12
-99.87,-9.778343411594794e-11,-1.5595022146027663e-12
-99.86,-9.783761461412585e-11,-1.5605391963315251e-12
-99.85,-9.78918306440866e-11,-1.5615769407218676e-12
-99.84,-9.794608230533613e-11,-1.5626140960807887e-12
-99.83,-9.800036978793327e-11,-1.5636555006224702e-12
-99.82,-9.805469305786158e-11,-1.5646953246442202e-12
-99.81,-9.810905219993066e-11,-1.5657364064311098e-12
-99.8,-9.816344729635565e-11,-1.5667781324338841e-12
-99.79,-9.821787795217414e-11,-1.5678207524113711e-12
-99.78,-9.827234479916303e-11,-1.5688641303154947e-12
-99.77,-9.832684746579649e-11,-1.5699085405886315e-12
-99.76,-9.83813861587832e-11,-1.5709535448616945e-12
-99.75,-9.84359604360776e-11,-1.571999526861511e-12
-99.74,-9.84905714092051e-11,-1.573046117542074e-12
-99.73,-9.854521802371986e-11,-1.5740935436408294e-12
-99.72,-9.859990086577104e-11,-1.5751417717683676e-12
-99.71,-9.865461964835284e-11,-1.5761908538767916e-12
-99.7,-9.870937468911815e-11,-1.577240851713325e-12
-99.69,-9.876416578065687e-11,-1.5782916399348434e-12
-99.68,-9.881899311671142e-11,-1.5793429362214115e-12
-99.67,-9.887385657916627e-11,-1.5803952952700598e-12
-99.66,-9.892875615703546e-11,-1.5814488442560082e-12
-99.65,-9.898369225377016e-11,-1.5825026347027895e-12
-99.64,-9.903866449681081e-11,-1.5835571199523084e-12
-99.63,-9.909367329589624e-11,-1.5846125756827741e-12
-99.62,-9.914871805136753e-11,-1.585669087878504e-12
-99.61,-9.920379926291714e-11,-1.5867262247851076e-12
-99.6,-9.925891719022754e-11,-1.5877846851198528e-12
-99.59,-9.931407136261877e-11,-1.5888430784327168e-12
-99.58,-9.936926184573904e-11,-1.5899027804306539e-12
-99.57,-9.942448883484004e-11,-1.5909628816426698e-12
-99.56,-9.947975245191503e-11,-1.5920246183072897e-12
-99.55,-9.953505248566399e-11,-1.5930867462073898e-12
-99.54,-9.959038935713668e-11,-1.5941496428298044e-12
-99.53,-9.964576264531386e-11,-1.5952134003290139e-12
-99.52,-9.970117242782087e-11,-1.5962778726686378e-12
-99.51,-9.975661913760038e-11,-1.5973433019657277e-12
-99.5,-9.981210228779252e-11,-1.59840954714469e-12
-99.49,-9.986762226442016e-11,-1.5994765154842721e-12
-99.48,-9.992317923527596e-11,-1.6005445212782856e-12
-99.47,-9.997877245961535e-11,-1.6016130861653324e-12
-99.46,-1.0003440277691177e-10,-1.6026825943059224e-12
-99.45,-1.0009006965179287e-10,-1.6037530398655686e-12
-99.44,-1.0014577339669214e-10,-1.6048241567892008e-12
-99.43,-1.0020151438745031e-10,-1.6058960318289109e-12
-99.42,-1.0025729199848658e-10,-1.606968973202546e-12
-99.41,-1.0031310658003896e-10,-1.6080425965023887e-12
-99.4,-1.0036895814779429e-10,-1.6091170266236936e-12
-99.39,-1.004248466336423e-10,-1.6101924088967092e-12
-99.38,-1.0048077215786262e-10,-1.6112685319466402e-12
-99.37,-1.0053673468947525e-10,-1.612345898610895e-12
-99.36,-1.0059273464488621e-10,-1.6134233878304485e-12
-99.35,-1.0064877148279299e-10,-1.6145019499215462e-12
-99.34,-1.0070484543737631e-10,-1.6155814419254077e-12
-99.33,-1.0076095653514746e-10,-1.6166618470746987e-12
-99.32,-1.0081710488740779e-10,-1.6177429877234515e-12
-99.31,-1.0087329034923657e-10,-1.6188249350075285e-12
-99.3,-1.0092951307492111e-10,-1.6199077919875635e-12
-99.29,-1.0098577307373133e-10,-1.6209915043843402e-12
-99.28,-1.0104207031168057e-10,-1.6220759986989873e-12
-99.27,-1.0109840505740919e-10,-1.6231613270293035e-12
-99.26,-1.0115477718907836e-10,-1.624247671554495e-12
