M omega,Re(tilde_Psi_4),Im(tilde_Psi_4)
-4.0,-1.969361181157824e-21,2.2868406080874075e-21
-3.999,-1.993504972744677e-21,2.316211625783314e-21
-3.998,-2.017944731643953e-21,2.3459592707289375e-21
-3.997,-2.042684086147341e-21,2.3760883652081624e-21
-3.996,-2.067726709035335e-21,2.4066037931610288e-21
-3.995,-2.0930763181229486e-21,2.4375105009709826e-21
-3.994,-2.1187366768121344e-21,2.468813498262168e-21
-3.993,-2.144711594650977e-21,2.500517858706881e-21
-3.992,-2.171004927899752e-21,2.532628720843325e-21
-3.991,-2.1976205801039352e-21,2.565151288903789e-21
-3.99,-2.2245625026742414e-21,2.59809083365339e-21
-3.989,-2.251834695473785e-21,2.6314526932395093e-21
-3.988,-2.279441207412445e-21,2.6652422740520557e-21
-3.987,-2.3073861370485298e-21,2.6994650515947033e-21
-3.986,-2.3356736331978245e-21,2.7341265713672346e-21
-3.985,-2.3643078955501116e-21,2.7692324497591348e-21
-3.984,-2.3932931752932658e-21,2.8047883749545785e-21
-3.983,-2.4226337757450044e-21,2.8408001078489555e-21
-3.982,-2.4523340529923936e-21,2.877273482977081e-21
-3.981,-2.4823984165392063e-21,2.9142144094532416e-21
-3.98,-2.512831329961226e-21,2.9516288719232242e-21
-3.979,-2.543637311569593e-21,2.9895229315284836e-21
-3.978,-2.574820935082296e-21,3.0279027268826023e-21
-3.977,-2.6063868303039074e-21,3.0667744750601958e-21
-3.976,-2.6383396838136585e-21,3.10614447259843e-21
-3.975,-2.6706842396619656e-21,3.146019096511301e-21
-3.974,-2.703425300075508e-21,3.1864048053168492e-21
-3.973,-2.7365677261709558e-21,3.2273081400774644e-21
-3.972,-2.7701164386774653e-21,3.2687357254534546e-21
-3.971,-2.8040764186680427e-21,3.310694270770045e-21
-3.97,-2.8384527082998846e-21,3.353190571097978e-21
-3.969,-2.8732504115638105e-21,3.396231508347885e-21
-3.968,-2.9084746950428926e-21,3.439824052378615e-21
-3.967,-2.944130788680403e-21,3.48397526211968e-21
-3.966,-2.9802239865571876e-21,3.528692286708019e-21
-3.965,-3.0167596476785816e-21,3.573982366639243e-21
-3.964,-3.0537431967709922e-21,3.619852834933557e-21
-3.963,-3.091180125088255e-21,3.6663111183165445e-21
-3.962,-3.129075991227894e-21,3.713364738414996e-21
-3.961,-3.167436421957406e-21,3.7610213129679876e-21
-3.96,-3.2062671130506844e-21,3.8092885570533864e-21
-3.959,-3.2455738301347152e-21,3.8581742843299924e-21
-3.958,-3.285362409546673e-21,3.907686408295512e-21
-3.957,-3.3256387592015333e-21,3.957832943560561e-21
-3.956,-3.3664088594703452e-21,4.008622007138907e-21
-3.955,-3.407678764069283e-21,4.0600618197541514e-21
-3.954,-3.449454600959616e-21,4.112160707163066e-21
-3.953,-3.4917425732587304e-21,4.1649271014958e-21
-3.952,-3.534548960162336e-21,4.218369542613151e-21
-3.951,-3.577880117877997e-21,4.272496679481149e-21
-3.95,-3.621742480570128e-21,4.327317271563145e-21
-3.949,-3.666142561316592e-21,4.382840190229649e-21
-3.948,-3.711086953077045e-21,4.439074420186124e-21
-3.947,-3.756582329673174e-21,4.496029060918978e-21
-3.946,-3.80263544678097e-21,4.553713328159989e-21
-3.945,-3.8492531429351886e-21,4.6121365553693735e-21
-3.944,-3.896442340546143e-21,4.671308195237768e-21
-3.943,-3.9442100469289845e-21,4.731237821207343e-21
-3.942,-3.992563355345625e-21,4.791935129012296e-21
-3.941,-4.041509446059454e-21,4.8534099382389765e-21
-3.94,-4.0910555874030065e-21,4.915672193905887e-21
-3.939,-4.141209136858744e-21,4.97873196806382e-21
-3.938,-4.1919775421531144e-21,5.042599461416371e-21
-3.937,-4.2433683423640365e-21,5.107285004961111e-21
