t/M,Re(Psi_4),Im(Psi_4)
-100.0,-6.073260207717394e-10,-1.7970561322789567e-11
-99.99,-6.07654851789048e-10,-1.7982229850787785e-11
-99.98,-6.079838944697334e-10,-1.7993907103268947e-11
-99.97,-6.083131491608334e-10,-1.8005593201140307e-11
-99.96,-6.086426159608393e-10,-1.8017287811731435e-11
-99.95,-6.089722951249803e-10,-1.8028991453777342e-11
-99.94,-6.093021863500242e-10,-1.8040703991478242e-11
-99.93,-6.096322904021527e-10,-1.805242473757742e-11
-99.92,-6.09962607460114e-10,-1.806415502141648e-11
-99.91,-6.102931373110377e-10,-1.807589383932953e-11
-99.9,-6.10623880171808e-10,-1.8087641523192973e-11
-99.89,-6.109548361878322e-10,-1.8099398091512247e-11
-99.88,-6.112860057261698e-10,-1.8111163376451162e-11
-99.87,-6.116173887428059e-10,-1.812293761189487e-11
-99.86,-6.119489855151654e-10,-1.8134720760251743e-11
-99.85,-6.122807958840514e-10,-1.814651269777908e-11
-99.84,-6.126128185823738e-10,-1.8158312848703574e-11
-99.83,-6.129450596972054e-10,-1.8170122867262783e-11
-99.82,-6.132775127816178e-10,-1.8181941744617643e-11
-99.81,-6.136101803199442e-10,-1.8193769161134743e-11
-99.8,-6.13943062717439e-10,-1.8205605583852362e-11
-99.79,-6.14276159908272e-10,-1.821745081232943e-11
-99.78,-6.146094719198632e-10,-1.822930506496377e-11
-99.77,-6.149429993145447e-10,-1.8241168381782748e-11
-99.76,-6.152767420184683e-10,-1.8253040470509705e-11
-99.75,-6.156106998270628e-10,-1.826492136274155e-11
-99.74,-6.159448739146913e-10,-1.827681150984281e-11
-99.73,-6.162792633410494e-10,-1.828871047228726e-11
-99.72,-6.166138685866671e-10,-1.8300618332590027e-11
-99.71,-6.169486904107377e-10,-1.831253529418077e-11
-99.7,-6.172837282828298e-10,-1.8324461265046903e-11
-99.69,-6.176189822620467e-10,-1.8336395920333843e-11
-99.68,-6.179544534975038e-10,-1.8348339896605343e-11
-99.67,-6.182901411344498e-10,-1.83602929158542e-11
-99.66,-6.186260459442565e-10,-1.8372254681635976e-11
-99.65,-6.189621677233013e-10,-1.8384225788544203e-11
-99.64,-6.192985064735558e-10,-1.839620573223302e-11
-99.63,-6.196350626881639e-10,-1.840819472585186e-11
-99.62,-6.199718368279218e-10,-1.8420192708672007e-11
-99.61,-6.203088284324225e-10,-1.8432199757787905e-11
-99.6,-6.206460385512666e-10,-1.844421617587556e-11
