M omega,Re(tilde_Psi_4),Im(tilde_Psi_4)
-4.0,-2.361739249229763e-19,6.199044509741204e-20
-3.999,-2.3923667414009635e-19,6.259747094387018e-20
-3.998,-2.4233902265442883e-19,6.320977531444087e-20
-3.997,-2.45481480787287e-19,6.382739253018047e-20
-3.996,-2.4866456541295695e-19,6.445035690858074e-20
-3.995,-2.518888000425081e-19,6.507870275763436e-20
-3.994,-2.5515471490867086e-19,6.571246436974631e-20
-3.993,-2.58462847051795e-19,6.635167601548817e-20
-3.992,-2.6181374040690183e-19,6.699637193719225e-20
-3.991,-2.652079458918455e-19,6.764658634238243e-20
-3.99,-2.686460214965957e-19,6.830235339703861e-20
-3.989,-2.72128532373657e-19,6.896370721869145e-20
-3.988,-2.756560509296394e-19,6.963068186934424e-20
-3.987,-2.7922915691799353e-19,7.030331134821839e-20
-3.986,-2.8284843753292694e-19,7.098162958431941e-20
-3.985,-2.8651448750451455e-19,7.166567042881969e-20
-3.984,-2.9022790919501994e-19,7.235546764725465e-20
-3.983,-2.939893126964421e-19,7.305105491152885e-20
-3.982,-2.977993159293029e-19,7.37524657917281e-20
-3.981,-3.016585447426916e-19,7.44597337477342e-20
-3.98,-3.0556763301558205e-19,7.517289212063846e-20
-3.979,-3.095272227594387e-19,7.589197412394997e-20
-3.978,-3.1353796422212715e-19,7.661701283459513e-20
-3.977,-3.1760051599314715e-19,7.734804118370416e-20
-3.976,-3.2171554511020326e-19,7.808509194718065e-20
-3.975,-3.2588372716713097e-19,7.882819773605023e-20
-3.974,-3.3010574642319537e-19,7.957739098658398e-20
-3.973,-3.3438229591377913e-19,8.033270395019247e-20
-3.972,-3.3871407756247844e-19,8.109416868308615e-20
-3.971,-3.431018022946234e-19,8.186181703569762e-20
-3.97,-3.4754619015224196e-19,8.263568064186147e-20
-3.969,-3.5204797041048534e-19,8.341579090774704e-20
-3.968,-3.566078816955329e-19,8.420217900053961e-20
-3.967,-3.612266721039961e-19,8.499487583686528e-20
-3.966,-3.6590509932383956e-19,8.57939120709547e-20
-3.965,-3.7064393075683904e-19,8.659931808254116e-20
-3.964,-3.7544394364259565e-19,8.741112396448765e-20
-3.963,-3.8030592518412554e-19,8.822935951013824e-20
-3.962,-3.852306726750459e-19,8.905405420038854e-20
-3.961,-3.9021899362837602e-19,8.988523719047017e-20
-3.96,-3.9527170590697547e-19,9.072293729644391e-20
-3.959,-4.0038963785563873e-19,9.156718298139615e-20
-3.958,-4.0557362843486804e-19,9.241800234133334e-20
-3.957,-4.1082452735634514e-19,9.327542309076885e-20
-3.956,-4.1614319522012384e-19,9.413947254799654e-20
-3.955,-4.215305036535646e-19,9.501017762004547e-20
-3.954,-4.269873354520339e-19,9.588756478730989e-20
-3.953,-4.3251458472138945e-19,9.677166008784851e-20
-3.952,-4.381131570222756e-19,9.766248910134728e-20
-3.951,-4.437839695162499e-19,9.85600769327393e-20
-3.95,-4.495279511137649e-19,9.946444819547585e-20
-3.949,-4.553460426240295e-19,1.0037562699444222e-19
-3.948,-4.612391969067708e-19,1.012936369085118e-19
-3.947,-4.672083790259243e-19,1.0221850097273207e-19
-3.946,-4.732545664052728e-19,1.0315024166013572e-19
-3.945,-4.793787489860619e-19,1.0408888086317032e-19
-3.944,-4.855819293866154e-19,1.0503443987473956e-19
-3.943,-4.918651230639752e-19,1.059869393688491e-19
-3.942,-4.982293584775936e-19,1.0694639938085015e-19
-3.941,-5.046756772551011e-19,1.079128392872732e-19
-3.94,-5.112051343601784e-19,1.088862777852451e-19
-3.939,-5.17818798262557e-19,1.0986673287148153e-19
-3.938,-5.245177511101767e-19,1.108542218208477e-19
-3.937,-5.31303088903527e-19,1.1184876116447945e-19
-3.936,-5.38175921672199e-19,1.1285036666745683e-19
-3.935,-5.451373736536774e-19,1.1385905330602246e-19
-3.934,-5.52188583474398e-19,1.1487483524433642e-19
-3.933,-5.593307043331036e-19,1.1589772581075955e-19
-3.932,-5.665649041865225e-19,1.1692773747365683e-19
-3.931,-5.738923659374023e-19,1.1796488181671223e-19
-3.93,-5.813142876249273e-19,1.1900916951374672e-19
-3.929,-5.888318826175496e-19,1.2006061030303032e-19
-3.928,-5.964463798082652e-19,1.211192129610796e-19
-3.927,-6.041590238123637e-19,1.2218498527593142e-19
-3.926,-6.119710751676863e-19,1.232579340198838e-19
-3.925,-6.198838105374199e-19,1.2433806492169447e-19
-3.924,-6.278985229154621e-19,1.2542538263822774e-19
-3.923,-6.360165218343883e-19,1.2651989072554e-19
-3.922,-6.442391335760533e-19,1.2762159160939409e-19
-3.921,-6.525677013848618e-19,1.287304865551923e-19
-3.92,-6.610035856837405e-19,1.298465756373184e-19
-3.919,-6.695481642928454e-19,1.3096985770787787e-19
-3.918,-6.782028326510407e-19,1.3210033036482613e-19
-3.917,-6.8696900404018175e-19,1.332379899194743e-19
-3.916,-6.958481098122389e-19,1.3438283136336127e-19
-3.915,-7.048415996192981e-19,1.355348483344814e-19
-3.914,-7.139509416464731e-19,1.3669403308285677e-19
-3.913,-7.231776228477673e-19,1.378603764354423e-19
-3.912,-7.325231491849222e-19,1.3903386776035251e-19
-3.911,-7.419890458692892e-19,1.4021449493039816e-19
-3.91,-7.515768576067633e-19,1.4140224428592076e-19
-3.909,-7.612881488458176e-19,1.4259710059691297e-19
-3.908,-7.711245040286772e-19,1.437990470244126e-19
-3.907,-7.810875278456717e-19,1.4500806508115768e-19
-3.906,-7.911788454928074e-19,1.4622413459148981e-19
-3.905,-8.014001029325978e-19,1.474472336504933e-19
-3.904,-8.117529671581959e-19,1.4867733858235644e-19
-3.903,-8.222391264608676e-19,1.4991442389794198e-19
-3.902,-8.32860290700849e-19,1.5115846225155325e-19
-3.901,-8.436181915816311e-19,1.524094243968821e-19
