M omega,Re(tilde_Psi_4),Im(tilde_Psi_4)
-4.0,2.6564133687693487e-20,1.9566984758280673e-21
-3.999,2.6947954652412654e-20,2.0154647648671225e-21
-3.998,2.733728710549075e-20,2.0755464985264015e-21
-3.997,2.773220960437058e-20,2.1369697704288304e-21
-3.996,2.8132801816250406e-20,2.1997611581523112e-21
-3.995,2.8539144533591744e-20,2.263947731822513e-21
-3.994,2.895131968984097e-20,2.3295570628535383e-21
-3.993,2.9369410375367645e-20,2.3966172328389424e-21
-3.992,2.979350085362249e-20,2.465156842595637e-21
-3.991,3.0223676577517996e-20,2.535205021363245e-21
-3.99,3.066002420603468e-20,2.6067914361615067e-21
-3.989,3.110263162105608e-20,2.6799463013084035e-21
-3.988,3.155158794443544e-20,2.7547003881016796e-21
-3.987,3.2006983555297493e-20,2.831085034666512e-21
-3.986,3.2468910107578206e-20,2.90913215597211e-21
-3.985,3.2937460547805956e-20,2.9888742540200736e-21
-3.984,3.3412729133127247e-20,3.07034442820739e-21
-3.983,3.389481144958039e-20,3.1535763858669903e-21
-3.982,3.4383804430620345e-20,3.2386044529888444e-21
-3.981,3.4879806375898334e-20,3.3254635851246056e-21
-3.98,3.5382916970299407e-20,3.414189378478886e-21
-3.979,3.58932373032417e-20,3.504818081190278e-21
-3.978,3.641086988824069e-20,3.597386604805294e-21
-3.977,3.693591868274222e-20,3.691932535948454e-21
-3.976,3.7468489108227736e-20,3.7884941481917914e-21
-3.975,3.800868807059558e-20,3.887110414127118e-21
-3.974,3.8556623980821907e-20,3.987821017644416e-21
-3.973,3.911240677590514e-20,4.090666366419828e-21
-3.972,3.96761479400976e-20,4.195687604616703e-21
-3.971,4.02479605264284e-20,4.302926625803296e-21
-3.97,4.0827959178521333e-20,4.412426086090697e-21
-3.969,4.1416260152711803e-20,4.524229417494688e-21
-3.968,4.2012981340466884e-20,4.638380841525244e-21
-3.967,4.261824229111242e-20,4.7549253830074814e-21
-3.966,4.3232164234871496e-20,4.873908884137903e-21
-3.965,4.3854870106218273e-20,4.995378018779865e-21
-3.964,4.448648456755159e-20,5.119380307002236e-21
-3.963,4.5127134033192483e-20,5.24596412986531e-21
-3.962,4.5776946693710094e-20,5.375178744458084e-21
-3.961,4.6436052540580304e-20,5.507074299191066e-21
-3.96,4.7104583391181574e-20,5.641701849348891e-21
-3.959,4.778267291413251e-20,5.779113372907032e-21
-3.958,4.8470456654975764e-20,5.91936178661702e-21
-3.957,4.9168072062212876e-20,6.062500962364625e-21
-3.956,4.987565851369478e-20,6.208585743805526e-21
-3.955,5.0593357343372756e-20,6.3576719632830825e-21
-3.954,5.132131186841458e-20,6.509816459032897e-21
-3.953,5.2059667416690914e-20,6.665077092678916e-21
-3.952,5.280857135463666e-20,6.823512767025903e-21
-3.951,5.356817311549257e-20,6.985183444153226e-21
-3.95,5.433862422793194e-20,7.150150163814915e-21
-3.949,5.512007834507772e-20,7.3184750621511e-21
-3.948,5.591269127391514e-20,7.49022139071597e-21
-3.947,5.671662100510528e-20,7.665453535827503e-21
-3.946,5.753202774320469e-20,7.844237038244296e-21
-3.945,5.835907393729678e-20,8.02663861317491e-21
-3.944,5.919792431204027e-20,8.212726170625227e-21
-3.943,6.004874589914028e-20,8.40256883608943e-21
-3.942,6.091170806924789e-20,8.59623697159026e-21
-3.941,6.178698256429352e-20,8.793802197074365e-21
-3.94,6.267474353026035e-20,8.995337412168574e-21
-3.939,6.357516755040319e-20,9.200916818303083e-21
-3.938,6.448843367891921e-20,9.410615941207615e-21
-3.937,6.541472347507609e-20,9.624511653786703e-21
-3.936,6.635422103780393e-20,9.842682199380371e-21
-3.935,6.730711304075716e-20,1.0065207215416564e-20
-3.934,6.827358876785243e-20,1.0292167757461797e-20
-3.933,6.925384014928904e-20,1.0523646323676596e-20
-3.932,7.024806179805824e-20,1.0759726879682414e-20
-3.931,7.125645104694788e-20,1.1000494883846781e-20
-3.93,7.227920798604897e-20,1.1246037312993618e-20
-3.929,7.331653550077093e-20,1.1496442688545703e-20
-3.928,7.436863931037215e-20,1.175180110310641e-20
-3.927,7.543572800701267e-20,1.2012204247487957e-20
-3.926,7.651801309533612e-20,1.2277745438193532e-20
-3.925,7.761570903258768e-20,1.2548519645360742e-20
-3.924,7.872903326927525e-20,1.2824623521173998e-20
-3.923,7.985820629038116e-20,1.310615542875355e-20
-3.922,8.100345165713144e-20,1.3393215471529008e-20
-3.921,8.216499604933034e-20,1.3685905523105312e-20
-3.92,8.334306930826724e-20,1.3984329257629262e-20
-3.919,8.453790448020384e-20,1.4288592180664824e-20
-3.918,8.574973786044911e-20,1.459880166058558e-20
-3.917,8.697880903802972e-20,1.4915066960492793e-20
-3.916,8.822536094096404e-20,1.5237499270667775e-20
-3.915,8.948963988214748e-20,1.5566211741567265e-20
