t/M,Re(Psi_4),Im(Psi_4)
-100.0,-9.708742570869039e-11,-1.3415198831321033e-12
-99.99,-9.714114800634316e-11,-1.3424107686099005e-12
-99.98,-9.719490592929162e-11,-1.3433022232478313e-12
-99.97,-9.724869918057711e-11,-1.3441945787907607e-12
-99.96,-9.730252767156477e-11,-1.345087460731144e-12
-99.95,-9.735639182730522e-11,-1.3459806950896623e-12
-99.94,-9.741029143233186e-11,-1.3468753837335595e-12
-99.93,-9.746422629317901e-11,-1.3477703873201737e-12
-99.92,-9.751819684752705e-11,-1.3486660641279097e-12
-99.91,-9.757220297326047e-11,-1.3495624309718235e-12
-99.9,-9.762624457858205e-11,-1.350459365337632e-12
-99.89,-9.768032195872916e-11,-1.3513573550515049e-12
-99.88,-9.773443485255233e-11,-1.3522556402998101e-12
-99.87,-9.778858328328344e-11,-1.3531548581297358e-12
-99.86,-9.784276773264744e-11,-1.3540546659246383e-12
-99.85,-9.789698777821832e-11,-1.3549551356220586e-12
-99.84,-9.795124367336493e-11,-1.3558548670305392e-12
-99.83,-9.800553484064475e-11,-1.3567586506749028e-12
-99.82,-9.805986205949182e-11,-1.3576609346638584e-12
-99.81,-9.811422519580722e-11,-1.3585642846618141e-12
-99.8,-9.816862431060334e-11,-1.359468210197268e-12
-99.79,-9.822305899588882e-11,-1.3603728431621872e-12
-99.78,-9.827752980314617e-11,-1.3612781572354922e-12
-99.77,-9.833203636102203e-11,-1.3621844009219133e-12
-99.76,-9.838657911060932e-11,-1.3630911695550021e-12
-99.75,-9.844115740144838e-11,-1.3639987218749318e-12
-99.74,-9.849577240300874e-11,-1.3649068477083301e-12
-99.73,-9.855042297303501e-11,-1.3658157124888414e-12
-99.72,-9.860510983857235e-11,-1.3667252855737313e-12
-99.71,-9.865983263713674e-11,-1.3676355105836536e-12
-99.7,-9.871459162820333e-11,-1.3685465908126862e-12
-99.69,-9.876938674305833e-11,-1.3694583326394996e-12
-99.68,-9.882421810093306e-11,-1.370370592150592e-12
-99.67,-9.887908560867954e-11,-1.3712837356814587e-12
-99.66,-9.89339891726733e-11,-1.372197787928657e-12
-99.65,-9.898892933775754e-11,-1.3731122672892944e-12
-99.64,-9.904390560041233e-11,-1.3740272223159162e-12
-99.63,-9.90989185205871e-11,-1.3749430313099085e-12
-99.62,-9.915396727259343e-11,-1.3758597426540572e-12
-99.61,-9.920905257820148e-11,-1.376776997216243e-12
-99.6,-9.926417434672011e-11,-1.3776954972180051e-12
-99.59,-9.931933266699817e-11,-1.378613788834137e-12
-99.58,-9.937452725135542e-11,-1.3795333223357619e-12
-99.57,-9.942975830281248e-11,-1.380453155787099e-12
-99.56,-9.948502602868511e-11,-1.3813743736070015e-12
-99.55,-9.954033009644734e-11,-1.382296030455479e-12
-99.54,-9.959567100123254e-11,-1.3832182535585749e-12
-99.53,-9.965104842767011e-11,-1.3841413621934005e-12
-99.52,-9.97064622696209e-11,-1.385065005437566e-12
-99.51,-9.976191296279663e-11,-1.3859894473554772e-12
-99.5,-9.981740033790196e-11,-1.38691456496122e-12
-99.49,-9.987292437418993e-11,-1.3878404470349597e-12
-99.48,-9.99284853303516e-11,-1.3887671235528652e-12
-99.47,-9.998408271691177e-11,-1.3896942553461129e-12
-99.46,-1.0003971715121134e-10,-1.3906223480353533e-12
-99.45,-1.0009538815532966e-10,-1.391551127604106e-12
-99.44,-1.001510960219747e-10,-1.392480528408007e-12
-99.43,-1.0020684110585874e-10,-1.3934105843355983e-12
-99.42,-1.0026262285053063e-10,-1.3943415048023535e-12
-99.41,-1.0031844154837833e-10,-1.3952731092690234e-12
-99.4,-1.0037429725541992e-10,-1.3962053763060234e-12
-99.39,-1.0043018986819576e-10,-1.3971385055288518e-12
-99.38,-1.0048611951208573e-10,-1.3980722451837021e-12
