t/M,Re(Psi_4),Im(Psi_4)
-100.0,2.719777873604235e-9,1.5947886765559926e-10
-99.99,2.7212189443968753e-9,1.5958007332067579e-10
-99.98,2.7226609235897895e-9,1.5968135338997441e-10
-99.97,2.724103811931952e-9,1.597827079457678e-10
-99.96,2.7255476095837886e-9,1.5988413692496722e-10
-99.95,2.7269923177776336e-9,1.5998564030251267e-10
-99.94,2.728437936479881e-9,1.600872181456671e-10
-99.93,2.729884466723322e-9,1.6018887160330766e-10
-99.92,2.7313319097005796e-9,1.6029059896767426e-10
-99.91,2.732780265265844e-9,1.6039240146451835e-10
-99.9,2.7342295349049595e-9,1.6049427858333907e-10
-99.89,2.7356797184626424e-9,1.605962306267104e-10
-99.88,2.737130816968796e-9,1.6069825785083397e-10
-99.87,2.7385828310234568e-9,1.6080035998515198e-10
-99.86,2.7400357615004962e-9,1.6090253715185575e-10
-99.85,2.7414896088434467e-9,1.610047896307855e-10
-99.84,2.7429443749985803e-9,1.611071181499626e-10
-99.83,2.7444000568918895e-9,1.6120952088720015e-10
-99.82,2.7458566591855483e-9,1.6131199918041004e-10
-99.81,2.747314181081535e-9,1.614145529925401e-10
-99.8,2.7487726228268028e-9,1.615171824291548e-10
-99.79,2.7502319860976496e-9,1.6161988717836436e-10
-99.78,2.7516922707681195e-9,1.6172266762788618e-10
-99.77,2.753153477834941e-9,1.618255238936036e-10
-99.76,2.7546156078147404e-9,1.619284558584308e-10
-99.75,2.7560786621302367e-9,1.6203146262972088e-10
-99.74,2.7575426394871585e-9,1.621345471808959e-10
-99.73,2.7590075423675855e-9,1.6223770676710378e-10
-99.72,2.7604733713646404e-9,1.6234094219281693e-10
-99.71,2.7619401261422906e-9,1.6244425380758928e-10
-99.7,2.763407808512698e-9,1.6254764149051288e-10
-99.69,2.7648764185023885e-9,1.626511059148236e-10
-99.68,2.766345956413966e-9,1.6275464563331852e-10
-99.67,2.7678164236165174e-9,1.6285826215425304e-10
-99.66,2.769287820516872e-9,1.6296195510556114e-10
-99.65,2.7707601483461066e-9,1.630657242806985e-10
-99.64,2.77223340700435e-9,1.631695700803437e-10
-99.63,2.7737075976426494e-9,1.6327349292307426e-10
-99.62,2.7751827203215384e-9,1.6337749163962823e-10
-99.61,2.7766587764591576e-9,1.6348156729308298e-10
-99.6,2.7781357663622214e-9,1.6358571998086422e-10
-99.59,2.7796136911441084e-9,1.6368994920562689e-10
-99.58,2.781092550886355e-9,1.6379425556870595e-10
-99.57,2.782572345966511e-9,1.6389863797664714e-10
-99.56,2.7840530785640304e-9,1.6400309884076283e-10
-99.55,2.7855347482275656e-9,1.6410763614701935e-10
-99.54,2.787017355402879e-9,1.6421225066739076e-10
-99.53,2.788500901718724e-9,1.643169422163814e-10
-99.52,2.7899853871967496e-9,1.6442171119431338e-10
-99.51,2.791470812625939e-9,1.645265574192214e-10
-99.5,2.7929571787342707e-9,1.6463148120762254e-10
-99.49,2.7944444862434416e-9,1.6473648256899492e-10
-99.48,2.795932736023612e-9,1.648415613486808e-10
-99.47,2.797421928619672e-9,1.649467178761643e-10
-99.46,2.798912064578185e-9,1.6505195169707545e-10
-99.45,2.8004031446980326e-9,1.6515726306152678e-10
-99.44,2.8018951695379003e-9,1.6526265296641663e-10
-99.43,2.803388140185816e-9,1.6536812026698926e-10
-99.42,2.804882056877641e-9,1.6547366553670907e-10
