M omega,Re(tilde_Psi_4),Im(tilde_Psi_4)
-4.0,6.998588304197974e-20,-6.398938183501094e-20
-3.999,7.088126647363007e-20,-6.476720663001987e-20
-3.998,7.178810992826895e-20,-6.555445708691541e-20
-3.997,7.270656013469186e-20,-6.635124701632161e-20
-3.996,7.363676570088718e-20,-6.715769159731738e-20
-3.995,7.45788771381088e-20,-6.79739073938095e-20
-3.994,7.553304688525719e-20,-6.880001237110027e-20
-3.993,7.649942933357269e-20,-6.963612591265224e-20
-3.992,7.747818085164529e-20,-7.048236883705229e-20
-3.991,7.846945981074483e-20,-7.133886341517746e-20
-3.99,7.947342661047567e-20,-7.220573338756481e-20
-3.989,8.049024370476005e-20,-7.308310398198793e-20
-3.988,8.152007562815445e-20,-7.397110193124224e-20
-3.987,8.256308902250293e-20,-7.486985549114182e-20
-3.986,8.361945266393211e-20,-7.57794944587301e-20
-3.985,8.468933749019199e-20,-7.6700150190707e-20
-3.984,8.577291662834694e-20,-7.763195562207504e-20
-3.983,8.687036542282159e-20,-7.857504528500705e-20
-3.982,8.7981861463806e-20,-7.952955532793809e-20
-3.981,8.910758461602478e-20,-8.049562353488408e-20
-3.98,9.02477170478747e-20,-8.147338934499009e-20
-3.979,9.140244326093576e-20,-8.246299387231073e-20
-3.978,9.257195011986027e-20,-8.346457992582557e-20
-3.977,9.375642688264483e-20,-8.447829202969219e-20
-3.976,9.495606523129027e-20,-8.550427644373982e-20
-3.975,9.617105930285427e-20,-8.654268118420637e-20
-3.974,9.740160572090198e-20,-8.759365604472154e-20
-3.973,9.864790362735941e-20,-8.865735261753922e-20
-3.972,9.991015471477509e-20,-8.973392431502187e-20
-3.971,1.0118856325899494e-19,-9.082352639137994e-20
-3.97,1.0248333615225587e-19,-9.192631596466932e-20
-3.969,1.0379468293670327e-19,-9.304245203904994e-20
-3.968,1.0512281583833807e-19,-9.417209552730839e-20
-3.967,1.0646794980139857e-19,-9.531540927364795e-20
-3.966,1.0783030252318288e-19,-9.647255807674887e-20
-3.965,1.0921009448931746e-19,-9.764370871310244e-20
-3.964,1.1060754900947762e-19,-9.882902996062167e-20
-3.963,1.1202289225356543e-19,-1.000286926225322e-19
-3.962,1.1345635328835142e-19,-1.0124286955154653e-19
-3.961,1.149081641145856e-19,-1.0247173567432491e-19
-3.96,1.1637855970458393e-19,-1.0371546801622637e-19
-3.959,1.1786777804029638e-19,-1.0497424572635323e-19
-3.958,1.193760601518628e-19,-1.0624825010289258e-19
-3.957,1.209036501566626e-19,-1.0753766461875809e-19
-3.956,1.2245079529886484e-19,-1.0884267494753594e-19
-3.955,1.2401774598948504e-19,-1.1016346898973826e-19
-3.954,1.2560475584695522e-19,-1.1150023689936766e-19
-3.953,1.2721208173821366e-19,-1.1285317111079661e-19
-3.952,1.2883998382032112e-19,-1.142224663659655e-19
-3.951,1.3048872558261025e-19,-1.1560831974190265e-19
-3.95,1.3215857388937506e-19,-1.1701093067857084e-19
-3.949,1.3384979902310733e-19,-1.1843050100704322e-19
-3.948,1.3556267472828685e-19,-1.198672349780134e-19
-3.947,1.3729747825573288e-19,-1.21321339290643e-19
-3.946,1.3905449040752365e-19,-1.2279302312175092e-19
-3.945,1.4083399558249157e-19,-1.242824981553484e-19
-3.944,1.4263628182230118e-19,-1.2578997861252356e-19
-3.943,1.4446164085811745e-19,-1.2731568128168009e-19
