t/M,Re(Psi_4),Im(Psi_4)
-100.0,-6.076868570919254e-10,-2.0742522395329887e-12
-99.99,-6.080159605453648e-10,-2.0755992317537977e-12
-99.98,-6.0834527599468e-10,-2.076947238471085e-12
-99.97,-6.086748036822029e-10,-2.078296257163104e-12
-99.96,-6.090045437652972e-10,-2.0796462560014714e-12
-99.95,-6.093344962833748e-10,-2.080997307431858e-12
-99.94,-6.096646613502929e-10,-2.082349354270105e-12
-99.93,-6.099950396193473e-10,-2.0837023829679936e-12
-99.92,-6.103256305609978e-10,-2.085056511496896e-12
-99.91,-6.106564347741299e-10,-2.0864116096610522e-12
-99.9,-6.10987452238589e-10,-2.0877677789244122e-12
-99.89,-6.11318683157243e-10,-2.089124912595383e-12
-99.88,-6.116501277974203e-10,-2.090483084454789e-12
-99.87,-6.119817861376086e-10,-2.091842269531062e-12
-99.86,-6.123136584059148e-10,-2.093202502462149e-12
-99.85,-6.126457447897046e-10,-2.0945637225793355e-12
-99.84,-6.129780451630685e-10,-2.0959259359392063e-12
-99.83,-6.1331056075946e-10,-2.097289276641471e-12
-99.82,-6.136432904038926e-10,-2.0986536097194613e-12
-99.81,-6.139762348406348e-10,-2.1000189509927993e-12
-99.8,-6.143093941770627e-10,-2.1013853128196047e-12
-99.79,-6.146427686064623e-10,-2.102752709972706e-12
-99.78,-6.149763582082114e-10,-2.104121165813911e-12
-99.77,-6.153101632432825e-10,-2.105490623612021e-12
-99.76,-6.156441838224497e-10,-2.106861108611189e-12
-99.75,-6.159784199496092e-10,-2.108232643804385e-12
-99.74,-6.163128723081505e-10,-2.109605230965029e-12
-99.73,-6.16647540502961e-10,-2.110978811773594e-12
-99.72,-6.169824248832657e-10,-2.112353447578911e-12
-99.71,-6.173175256407351e-10,-2.113729130388259e-12
-99.7,-6.176528428478513e-10,-2.1151058333132143e-12
-99.69,-6.179883768247459e-10,-2.1164835403792573e-12
-99.68,-6.183241276449393e-10,-2.117862353348133e-12
-99.67,-6.186600954114129e-10,-2.119242169846196e-12
-99.66,-6.189962803707918e-10,-2.1206230086253107e-12
-99.65,-6.193326826801743e-10,-2.1220049419212497e-12
-99.64,-6.196693024198517e-10,-2.123387915072678e-12
-99.63,-6.200061398569709e-10,-2.124771884837028e-12
-99.62,-6.203431951563916e-10,-2.1261569348282625e-12
-99.61,-6.206804683669145e-10,-2.1275430065130486e-12
-99.6,-6.210179598725525e-10,-2.1289301639107913e-12
-99.59,-6.213556694094677e-10,-2.130318306507002e-12
-99.58,-6.216935976223972e-10,-2.1317075341417176e-12
-99.57,-6.220317443557981e-10,-2.1330978894437176e-12
-99.56,-6.223701100004369e-10,-2.134489136435342e-12
-99.55,-6.227086945473545e-10,-2.135881512844752e-12
-99.54,-6.23047498270321e-10,-2.1372749146129136e-12
-99.53,-6.233865211652842e-10,-2.138669395659575e-12
-99.52,-6.237257636097058e-10,-2.14006492887482e-12
-99.51,-6.240652256159086e-10,-2.14146153531454e-12
-99.5,-6.244049074709079e-10,-2.1428591445534542e-12
-99.49,-6.247448093229892e-10,-2.1442578337151228e-12
-99.48,-6.25084931162084e-10,-2.1456575893040383e-12
-99.47,-6.25425273395126e-10,-2.1470584105120174e-12
-99.46,-6.257658359834983e-10,-2.1484602739486725e-12
-99.45,-6.261066191616686e-10,-2.1498632114345673e-12
-99.44,-6.264476232188757e-10,-2.1512671860257032e-12
-99.43,-6.267888481394368e-10,-2.152672237536173e-12
-99.42,-6.271302941953362e-10,-2.1540783574619247e-12
-99.41,-6.274719614912511e-10,-2.155485541053891e-12
-99.4,-6.278138502647232e-10,-2.156893776412303e-12
-99.39,-6.281559605493471e-10,-2.1583031231513963e-12
-99.38,-6.284982928760885e-10,-2.1597134354279395e-12
-99.37,-6.288408467959313e-10,-2.1611248758955013e-12
-99.36,-6.291836229316202e-10,-2.162537407649448e-12
-99.35,-6.295266214462196e-10,-2.1639509720041114e-12
-99.34,-6.298698423137589e-10,-2.1653656007863935e-12
-99.33,-6.302132858050096e-10,-2.1667813302866003e-12
-99.32,-6.305569520611741e-10,-2.1681981007350624e-12
-99.31,-6.309008412103558e-10,-2.1696159790052355e-12
-99.3,-6.312449535125708e-10,-2.1710349207005833e-12
-99.29,-6.315892891042093e-10,-2.172454898676003e-12
-99.28,-6.319338477456527e-10,-2.173876000798293e-12
-99.27,-6.322786307756757e-10,-2.1752981365182153e-12
-99.26,-6.32623637106754e-10,-2.1767213813158693e-12
-99.25,-6.329688674516269e-10,-2.178145697522924e-12
-99.24,-6.333143219003436e-10,-2.179571102070506e-12
-99.23,-6.336600006475092e-10,-2.180997585708395e-12
-99.22,-6.34005903827107e-10,-2.1824251019410686e-12
-99.21,-6.343520315824886e-10,-2.183853746067237e-12
-99.2,-6.346983842217639e-10,-2.1852834761186864e-12
-99.19,-6.350449617357904e-10,-2.186714261289429e-12
-99.18,-6.353917644842458e-10,-2.1881461587429977e-12
-99.17,-6.357387924285037e-10,-2.1895791386854196e-12
-99.16,-6.360860458466241e-10,-2.1910131800462418e-12
-99.15,-6.364335249271443e-10,-2.192448315955029e-12
-99.14,-6.367812298402037e-10,-2.1938845665578453e-12
-99.13,-6.371291606153696e-10,-2.195321891829216e-12
-99.12,-6.37477317658429e-10,-2.19676029425395e-12
-99.11,-6.378257010197504e-10,-2.198199778597428e-12
-99.1,-6.381743108800342e-10,-2.199640365981194e-12
-99.09,-6.385231471634072e-10,-2.2010820861589138e-12
-99.08,-6.388722104434142e-10,-2.2025248808245444e-12
-99.07,-6.392215007054414e-10,-2.2039687530890826e-12
-99.06,-6.395710181192658e-10,-2.205413737101928e-12
-99.05,-6.399207628085947e-10,-2.206859788714863e-12
-99.04,-6.402707352176354e-10,-2.2083069362679405e-12
-99.03,-6.406209351700724e-10,-2.2097551876605915e-12
-99.02,-6.409713629969453e-10,-2.2112045723958718e-12
-99.01,-6.413220189079746e-10,-2.2126550114355215e-12
-99.0,-6.416729028485506e-10,-2.2141066296791756e-12
-98.99,-6.420240151935521e-10,-2.2155593230099686e-12
-98.98,-6.423753562289938e-10,-2.2170130455131383e-12
-98.97,-6.427269258815152e-10,-2.2184679375399142e-12
-98.96,-6.430787243949311e-10,-2.21992391898502e-12
-98.95,-6.434307519792602e-10,-2.2213810024604214e-12
-98.94,-6.437830087876286e-10,-2.222839207624037e-12
-98.93,-6.441354950084579e-10,-2.224298495398778e-12
-98.92,-6.444882108833008e-10,-2.2257589317637733e-12
-98.91,-6.448411562575317e-10,-2.227220426511395e-12
-98.9,-6.451943320358518e-10,-2.2286830161275584e-12
-98.89,-6.455477374185535e-10,-2.230146807028172e-12
-98.88,-6.459013732586316e-10,-2.2316116979466455e-12
-98.87,-6.462552395493768e-10,-2.233077647328226e-12
-98.86,-6.466093364194545e-10,-2.2345447569002823e-12
-98.85,-6.469636640873143e-10,-2.2360129304746326e-12
-98.84,-6.473182227316016e-10,-2.2374822731829895e-12
-98.83,-6.476730125604942e-10,-2.238952687589644e-12
-98.82,-6.480280336132036e-10,-2.2404242686649087e-12
-98.81,-6.483832863295394e-10,-2.241896887089016e-12
-98.8,-6.487387704311421e-10,-2.2433707393571626e-12
-98.79,-6.490944864674337e-10,-2.2448456498398283e-12
-98.78,-6.494504346675423e-10,-2.2463216947647632e-12
-98.77,-6.498066148771638e-10,-2.247798856094594e-12
-98.76,-6.501630275218093e-10,-2.249277149272286e-12
-98.75,-6.505196726950187e-10,-2.2507565656403747e-12
-98.74,-6.508765505982633e-10,-2.2522371023619287e-12
-98.73,-6.512336613466666e-10,-2.2537187902512947e-12
-98.72,-6.515910050309801e-10,-2.255201630374816e-12
-98.71,-6.519485822703579e-10,-2.256685513276227e-12
-98.7,-6.523063928200379e-10,-2.258170552148846e-12
-98.69,-6.52664436997314e-10,-2.2596567205032857e-12
-98.68,-6.530227147648488e-10,-2.261144040658468e-12
-98.67,-6.53381226612039e-10,-2.2626325039946747e-12
-98.66,-6.537399726679758e-10,-2.264122061737701e-12
-98.65,-6.540989528095222e-10,-2.2656128002452874e-12
-98.64,-6.544581674768399e-10,-2.2671046794918244e-12
-98.63,-6.548176174953796e-10,-2.2685976659554514e-12
-98.62,-6.551773010377253e-10,-2.270091793644557e-12
-98.61,-6.555372203268291e-10,-2.271587069262812e-12
-98.6,-6.558973746411625e-10,-2.273083500074425e-12
-98.59,-6.562577644259752e-10,-2.2745810382965806e-12
-98.58,-6.56618389851778e-10,-2.2760797633746615e-12
-98.57,-6.569792508259568e-10,-2.277579601836558e-12
-98.56,-6.573403477080159e-10,-2.2790805421924586e-12
-98.55,-6.577016807765902e-10,-2.2805827057123872e-12
-98.54,-6.580632498124007e-10,-2.282086057460063e-12
-98.53,-6.584250557509751e-10,-2.2835903951233937e-12
-98.52,-6.587870981401751e-10,-2.285095982311399e-12
-98.51,-6.591493772528146e-10,-2.286602689482548e-12
-98.5,-6.595118933253337e-10,-2.2881105440580332e-12
-98.49,-6.598746465843093e-10,-2.2896195790467645e-12
-98.48,-6.60237637164668e-10,-2.2911297528038014e-12
-98.47,-6.606008652060479e-10,-2.2926410597112284e-12
-98.46,-6.609643310601086e-10,-2.2941535361778514e-12
-98.45,-6.613280347872779e-10,-2.2956671475494104e-12
-98.44,-6.616919762736909e-10,-2.297181974120184e-12
-98.43,-6.620561563646155e-10,-2.2986979256631306e-12
-98.42,-6.6242057475248e-10,-2.3002150200074783e-12
-98.41,-6.627852317888528e-10,-2.3017332923236726e-12
-98.4,-6.631501275018983e-10,-2.3032527139831674e-12
-98.39,-6.635152621121955e-10,-2.3047733045063757e-12
-98.38,-6.638806359163814e-10,-2.306295054440322e-12
-98.37,-6.642462491346369e-10,-2.3078179445228888e-12
-98.36,-6.646121018257278e-10,-2.3093420471578206e-12
-98.35,-6.649781941464384e-10,-2.3108672852819526e-12
-98.34,-6.65344526433104e-10,-2.3123936918049748e-12
-98.33,-6.657110985806102e-10,-2.3139212362296128e-12
-98.32,-6.660779110393904e-10,-2.315450005192527e-12
-98.31,-6.664449638654022e-10,-2.3169799061339332e-12
-98.3,-6.668122572483296e-10,-2.318510973645943e-12
-98.29,-6.671797915756743e-10,-2.320043262212753e-12
-98.28,-6.67547566820402e-10,-2.321576643692019e-12
-98.27,-6.679155831516853e-10,-2.3231112831958324e-12
-98.26,-6.682838407756756e-10,-2.3246470364207544e-12
-98.25,-6.686523396769645e-10,-2.3261839656726266e-12
-98.24,-6.690210808339663e-10,-2.3277220786966577e-12
-98.23,-6.69390063586834e-10,-2.3292613778290963e-12
-98.22,-6.697592883601411e-10,-2.330801889996653e-12
-98.21,-6.701287554442676e-10,-2.33234354319017e-12
-98.2,-6.704984648923599e-10,-2.33388638158267e-12
-98.19,-6.708684169679664e-10,-2.3354303934859007e-12
-98.18,-6.712386117945697e-10,-2.336975592500521e-12
-98.17,-6.716090496671238e-10,-2.338521997777567e-12
-98.16,-6.719797306500915e-10,-2.340069472582612e-12
-98.15,-6.723506551014658e-10,-2.341618309636784e-12
-98.14,-6.727218228350272e-10,-2.343168259922302e-12
-98.13,-6.730932345201194e-10,-2.344719384121766e-12
-98.12,-6.734648899565671e-10,-2.346271694946362e-12
-98.11,-6.738367895675722e-10,-2.3478251923352905e-12
-98.1,-6.742089334079953e-10,-2.349379911692084e-12
-98.09,-6.745813218783127e-10,-2.350935789449083e-12
-98.08,-6.749539547427804e-10,-2.352492890357035e-12
-98.07,-6.753268324680615e-10,-2.3540511707670554e-12
-98.06,-6.756999553703995e-10,-2.3556106343030926e-12
-98.05,-6.760733234150817e-10,-2.3571712653846765e-12
-98.04,-6.764469367965553e-10,-2.3587331525940378e-12
-98.03,-6.768207957340781e-10,-2.360296217442671e-12
-98.02,-6.771949005101698e-10,-2.361860470245927e-12
-98.01,-6.775692512094934e-10,-2.3634259420076955e-12
-98.0,-6.779438480909409e-10,-2.364992589044581e-12
-97.99,-6.783186912415334e-10,-2.366560470233412e-12
-97.98,-6.78693780910768e-10,-2.368129530163986e-12
-97.97,-6.790691175201609e-10,-2.369699804728923e-12
-97.96,-6.794447005875265e-10,-2.371271318640149e-12
-97.95,-6.798205309350818e-10,-2.3728439388092965e-12
-97.94,-6.80196608541961e-10,-2.3744178527703723e-12
-97.93,-6.805729335409331e-10,-2.375992944751017e-12
-97.92,-6.809495062939262e-10,-2.3775692473644757e-12
-97.91,-6.813263268441977e-10,-2.3791467671384918e-12
-97.9,-6.817033954348421e-10,-2.3807255193998256e-12
-97.89,-6.820807121299324e-10,-2.3823054462794854e-12
-97.88,-6.824582773009402e-10,-2.3838866036391487e-12
-97.87,-6.828360911766183e-10,-2.3854689611069153e-12
-97.86,-6.832141535590258e-10,-2.3870525482006676e-12
-97.85,-6.835924650766076e-10,-2.388637371932521e-12
-97.84,-6.839710256680832e-10,-2.3902233978759095e-12
-97.83,-6.843498355009841e-10,-2.39181062283787e-12
-97.82,-6.847288950972769e-10,-2.3933991035969203e-12
-97.81,-6.851082043433054e-10,-2.3949887683380285e-12
-97.8,-6.854877635473856e-10,-2.396579675437878e-12
-97.79,-6.85867572854978e-10,-2.3981717941116456e-12
-97.78,-6.862476322761627e-10,-2.3997652246126937e-12
-97.77,-6.866279424351434e-10,-2.401359731432365e-12
-97.76,-6.870085031980289e-10,-2.402955561336447e-12
-97.75,-6.873893149131832e-10,-2.4045525568219012e-12
-97.74,-6.877703774550382e-10,-2.4061508279465137e-12
-97.73,-6.881516914227079e-10,-2.4077503263399683e-12
-97.72,-6.885332567624892e-10,-2.4093510404521937e-12
-97.71,-6.889150736660059e-10,-2.4109529908108995e-12
-97.7,-6.892971425225598e-10,-2.4125561661962955e-12
-97.69,-6.896794630820635e-10,-2.414160638536386e-12
-97.68,-6.900620364952896e-10,-2.4157662491369547e-12
-97.67,-6.904448619153565e-10,-2.417373141995423e-12
-97.66,-6.908279399132321e-10,-2.4189812532362276e-12
-97.65,-6.91211270835958e-10,-2.4205906445384805e-12
-97.64,-6.915948546538323e-10,-2.4222012204731113e-12
-97.63,-6.919786917459818e-10,-2.4238130742046607e-12
-97.62,-6.923627820794227e-10,-2.4254261630745564e-12
-97.61,-6.92747126037487e-10,-2.4270404906915132e-12
-97.6,-6.93131724036746e-10,-2.4286559628935348e-12
-97.59,-6.93516575452033e-10,-2.430272882653875e-12
-97.58,-6.939016811989391e-10,-2.431890939714041e-12
-97.57,-6.942870413980164e-10,-2.433510257192027e-12
