t/M,Re(Psi_4),Im(Psi_4)
-100.0,-6.075785319877811e-10,-9.90915989942574e-12
-99.99,-6.079075534449042e-10,-9.915594571305687e-12
-99.98,-6.082367868380894e-10,-9.922034040422387e-12
-99.97,-6.085662323358906e-10,-9.928478306872629e-12
-99.96,-6.088958901877623e-10,-9.934927333177356e-12
-99.95,-6.092257604027965e-10,-9.941381337495382e-12
-99.94,-6.095558430690409e-10,-9.947840185606615e-12
-99.93,-6.098861389096446e-10,-9.954303637358612e-12
-99.92,-6.102166473424561e-10,-9.960772359119219e-12
-99.91,-6.105473690145793e-10,-9.967245792856322e-12
-99.9,-6.108783038181271e-10,-9.973724089822381e-12
-99.89,-6.112094519700896e-10,-9.980207240466282e-12
-99.88,-6.115408138454913e-10,-9.986695280239141e-12
-99.87,-6.118723893075327e-10,-9.993188174032931e-12
-99.86,-6.122041786714235e-10,-9.999686031878608e-12
-99.85,-6.125361819756254e-10,-1.000618867410318e-11
-99.84,-6.128683989496123e-10,-1.001269584250847e-11
-99.83,-6.132008317847754e-10,-1.001920865461385e-11
-99.82,-6.135334781745889e-10,-1.0025726171905773e-11
-99.81,-6.138663392825827e-10,-1.0032248422871239e-11
-99.8,-6.141994153127709e-10,-1.0038775726275351e-11
-99.79,-6.145327062813485e-10,-1.0045307777990213e-11
-99.78,-6.148662123585127e-10,-1.0051844810041545e-11
-99.77,-6.151999337956688e-10,-1.005838687773305e-11
-99.76,-6.155338707519482e-10,-1.0064933789470794e-11
-99.75,-6.158680231651127e-10,-1.0071485553699924e-11
-99.74,-6.162023917380571e-10,-1.0078042437337274e-11
-99.73,-6.165369760626654e-10,-1.0084604145268852e-11
-99.72,-6.168717764713699e-10,-1.0091170720033653e-11
-99.71,-6.172067932152784e-10,-1.0097742431188491e-11
-99.7,-6.175420263255222e-10,-1.010431903794139e-11
-99.69,-6.178774760456677e-10,-1.0110900389930846e-11
-99.68,-6.182131427400066e-10,-1.0117486988578967e-11
-99.67,-6.18549026190396e-10,-1.0124078460478454e-11
-99.66,-6.188851267187056e-10,-1.0130674820168242e-11
-99.65,-6.192214446949787e-10,-1.0137276387466165e-11
-99.64,-6.195579798289347e-10,-1.0143882789772568e-11
-99.63,-6.198947325903971e-10,-1.0150494116248014e-11
-99.62,-6.202317033406674e-10,-1.015711049431456e-11
-99.61,-6.205688918165918e-10,-1.016373179905194e-11
-99.6,-6.209062985672346e-10,-1.0170358299428265e-11
-99.59,-6.212439231003378e-10,-1.0176989539026887e-11
-99.58,-6.215817663711395e-10,-1.0183625910224822e-11
-99.57,-6.219198282530291e-10,-1.0190267732174076e-11
-99.56,-6.222581086332195e-10,-1.019691370917652e-11
-99.55,-6.225966079791465e-10,-1.0203565147612182e-11
-99.54,-6.229353264258574e-10,-1.0210221480839747e-11
-99.53,-6.232742640095775e-10,-1.0216882982445077e-11
-99.52,-6.236134210392259e-10,-1.022354946595444e-11
-99.51,-6.239527975670261e-10,-1.023022105549798e-11
-99.5,-6.242923939157019e-10,-1.0236897540778708e-11
-99.49,-6.24632210094083e-10,-1.0243579110250028e-11
-99.48,-6.249722460785448e-10,-1.0250265726498941e-11
-99.47,-6.253125027344221e-10,-1.0256957491298918e-11
-99.46,-6.256529794240497e-10,-1.0263654248050956e-11
-99.45,-6.259936766853015e-10,-1.0270356110956208e-11
-99.44,-6.263345947691665e-10,-1.0277062966982992e-11
-99.43,-6.266757335984172e-10,-1.028377493475246e-11
-99.42,-6.270170935557219e-10,-1.0290491999417237e-11
-99.41,-6.273586746163801e-10,-1.029721413951552e-11
-99.4,-6.277004771184873e-10,-1.0303941309615432e-11
