M omega,Re(tilde_Psi_4),Im(tilde_Psi_4)
-4.0,-1.7675234755768477e-19,-1.182837257382851e-19
-3.999,-1.7890417402561377e-19,-1.1989377823768746e-19
-3.998,-1.8108205573957212e-19,-1.2152563683228743e-19
-3.997,-1.8328630617772142e-19,-1.2317959550374277e-19
-3.996,-1.855172425610969e-19,-1.2485595218013736e-19
-3.995,-1.8777518589788538e-19,-1.2655500878874422e-19
-3.994,-1.9006046102822077e-19,-1.2827707130949101e-19
-3.993,-1.923733966695038e-19,-1.300224498291376e-19
-3.992,-1.9471432546225122e-19,-1.3179145859617502e-19
-3.991,-1.9708358401648123e-19,-1.3358441607645565e-19
-3.99,-1.99481512958641e-19,-1.3540164500956386e-19
-3.989,-2.0190845697908256e-19,-1.3724347246593733e-19
-3.988,-2.0436476488009333e-19,-1.3911022990474883e-19
-3.987,-2.0685078962448794e-19,-1.4100225323255872e-19
-3.986,-2.093668883847673e-19,-1.4291988286274803e-19
-3.985,-2.1191342259285204e-19,-1.4486346377574285e-19
-3.984,-2.1449075799039655e-19,-1.4683334558004033e-19
-3.983,-2.170992646796903e-19,-1.4882988257404704e-19
-3.982,-2.1973931717515324e-19,-1.5085343380874026e-19
-3.981,-2.2241129445543256e-19,-1.5290436315116325e-19
-3.98,-2.2511558001610666e-19,-1.5498303934876568e-19
-3.979,-2.2785256192300464e-19,-1.5708983609460013e-19
-3.978,-2.3062263286614715e-19,-1.5922513209338632e-19
-3.977,-2.3342619021431666e-19,-1.6138931112845415e-19
-3.976,-2.3626363607026394e-19,-1.6358276212957791e-19
-3.975,-2.3913537732655795e-19,-1.6580587924171256e-19
-3.974,-2.4204182572208694e-19,-1.6805906189464483e-19
-3.973,-2.4498339789921804e-19,-1.7034271487357082e-19
-3.972,-2.479605154616224e-19,-1.726572483906125e-19
-3.971,-2.509736050327746e-19,-1.7500307815728564e-19
-3.97,-2.540230983151332e-19,-1.7738062545793158e-19
-3.969,-2.5710943215001013e-19,-1.7979031722412573e-19
-3.968,-2.6023304857813773e-19,-1.8223258611007596e-19
-3.967,-2.633943949009405e-19,-1.8470787056902345e-19
-3.966,-2.665939237425203e-19,-1.8721661493065975e-19
-3.965,-2.6983209311236247e-19,-1.8975926947957352e-19
-3.964,-2.7310936646877193e-19,-1.9233629053474011e-19
-3.963,-2.764262127830472e-19,-1.9494814053006857e-19
-3.962,-2.797831066044005e-19,-1.9759528809601906e-19
-3.961,-2.8318052812563317e-19,-2.0027820814230611e-19
-3.96,-2.8661896324957447e-19,-2.0299738194170087e-19
-3.959,-2.9009890365629266e-19,-2.0575329721494777e-19
-3.958,-2.9362084687108744e-19,-2.0854644821681e-19
-3.957,-2.9718529633327243e-19,-2.113773358232587e-19
-3.956,-3.0079276146575636e-19,-2.1424646761982127e-19
-3.955,-3.0444375774543317e-19,-2.171543579911039e-19
-3.954,-3.0813880677438924e-19,-2.201015282115039e-19
-3.953,-3.1187843635193726e-19,-2.2308850653712794e-19
-3.952,-3.156631805474868e-19,-2.261158282989314e-19
-3.951,-3.1949357977426047e-19,-2.2918403599709582e-19
-3.95,-3.2337018086386557e-19,-2.322936793966605e-19
-3.949,-3.2729353714173094e-19,-2.354453156244246e-19
-3.948,-3.312642085034191e-19,-2.386395092671369e-19
-3.947,-3.3528276149182325e-19,-2.418768324709904e-19
-3.946,-3.3934976937525966e-19,-2.4515786504243832e-19
-3.945,-3.4346581222646534e-19,-2.4848319455035006e-19
-3.944,-3.476314770025115e-19,-2.5185341642952357e-19
-3.943,-3.518473576256431e-19,-2.5526913408557346e-19
-3.942,-3.561140550650553e-19,-2.5873095900121184e-19
-3.941,-3.6043217741961676e-19,-2.6223951084394105e-19
-3.94,-3.6480234000155195e-19,-2.657954175751769e-19
-3.939,-3.6922516542109175e-19,-2.6939931556082084e-19
-3.938,-3.7370128367210447e-19,-2.7305184968330095e-19
-3.937,-3.7823133221871835e-19,-2.767536734551007e-19
-3.936,-3.828159560829461e-19,-2.805054491337952e-19
-3.935,-3.874558079333238e-19,-2.8430784783861506e-19
-3.934,-3.921515481745751e-19,-2.8816154966855787e-19
-3.933,-3.9690384503831254e-19,-2.9206724382206825e-19
-3.932,-4.017133746747877e-19,-2.960256287183063e-19
-3.931,-4.065808212457022e-19,-3.0003741212002635e-19
-3.93,-4.1150687701809195e-19,-3.0410331125808705e-19
-3.929,-4.164922424592959e-19,-3.0822405295761385e-19
-3.928,-4.215376263330222e-19,-3.1240037376583663e-19
-3.927,-4.266437457965249e-19,-3.1663302008162394e-19
-3.926,-4.3181132649890207e-19,-3.209227482867365e-19
-3.925,-4.370411026805298e-19,-3.252703248788227e-19
-3.924,-4.42333817273644e-19,-3.2967652660617924e-19
-3.923,-4.476902220040829e-19,-3.3414214060429984e-19
-3.922,-4.531110774942045e-19,-3.3866796453423653e-19
-3.921,-4.58597153366991e-19,-3.432548067227961e-19
-3.92,-4.64149228351354e-19,-3.4790348630459745e-19
-3.919,-4.697680903886546e-19,-3.526148333660136e-19
-3.918,-4.754545367404521e-19,-3.573896890910232e-19
-3.917,-4.8120937409749395e-19,-3.6222890590899704e-19
-3.916,-4.870334186899633e-19,-3.6713334764444548e-19
