M omega,Re(tilde_Psi_4),Im(tilde_Psi_4)
-4.0,-2.342407692345632e-19,2.471229000737233e-19
-3.999,-2.374575423968884e-19,2.500677172740567e-19
-3.998,-2.40718188379503e-19,2.530471667909894e-19
-3.997,-2.4402330172402984e-19,2.560616491818788e-19
-3.996,-2.473734849797761e-19,2.5911156953702896e-19
-3.995,-2.507693488109439e-19,2.6219733752948316e-19
-3.994,-2.542115121052675e-19,2.6531936746534006e-19
-3.993,-2.57700602084096e-19,2.6847807833459914e-19
-3.992,-2.612372544139415e-19,2.7167389386253993e-19
-3.991,-2.648221133195111e-19,2.749072425616407e-19
-3.99,-2.6845583169824275e-19,2.781785577840421e-19
-3.989,-2.7213907123636516e-19,2.814882777745604e-19
-3.988,-2.7587250252650125e-19,2.848368457242562e-19
-3.987,-2.7965680518683617e-19,2.882247098245639e-19
-3.986,-2.8349266798187043e-19,2.9165232332198764e-19
-3.985,-2.8738078894477855e-19,2.951201445733684e-19
-3.984,-2.913218755013954e-19,2.98628637101729e-19
-3.983,-2.9531664459585103e-19,3.0217826965270154e-19
-3.982,-2.993658228178758e-19,3.0576951625154365e-19
-3.981,-3.034701465317984e-19,3.094028562607488e-19
-3.98,-3.076303620072588e-19,3.130787744382567e-19
-3.979,-3.118472255516585e-19,3.167977609962694e-19
-3.978,-3.161215036443714e-19,3.20560311660679e-19
-3.977,-3.204539730727389e-19,3.243669277311128e-19
-3.976,-3.248454210698718e-19,3.282181161416022e-19
-3.975,-3.29296645454284e-19,3.3211438952188046e-19
-3.974,-3.338084547713809e-19,3.3605626625931647e-19
-3.973,-3.3838166843682884e-19,3.400442705614896e-19
-3.972,-3.4301711688182813e-19,3.440789325194129e-19
-3.971,-3.4771564170031687e-19,3.48160788171409e-19
-3.97,-3.5247809579812977e-19,3.5229037956764757e-19
-3.969,-3.573053435441384e-19,3.56468254835348e-19
-3.968,-3.621982609233986e-19,3.606949682446553e-19
-3.967,-3.6715773569233186e-19,3.64971080275195e-19
-3.966,-3.7218466753596764e-19,3.692971576833141e-19
-3.965,-3.772799682272733e-19,3.736737735700129e-19
-3.964,-3.824445617885996e-19,3.7810150744957673e-19
-3.963,-3.8767938465526986e-19,3.8258094531891196e-19
-3.962,-3.9298538584134023e-19,3.8711267972759445e-19
-3.961,-3.9836352710756107e-19,3.9169730984863596e-19
-3.96,-4.038147831315668e-19,3.963354415499764e-19
-3.959,-4.0934014168032543e-19,4.0102768746670774e-19
-3.958,-4.1494060378487585e-19,4.057746670740373e-19
-3.957,-4.2061718391738457e-19,4.105770067609965e-19
-3.956,-4.26370910170551e-19,4.154353399049026e-19
-3.955,-4.3220282443939413e-19,4.203503069465806e-19
-3.954,-4.381139826054496e-19,4.253225554663516e-19
