M omega,Re(tilde_Psi_4),Im(tilde_Psi_4)
-4.0,-3.3304791503831377e-21,-1.0096196297476605e-20
-3.999,-3.3687119598799343e-21,-1.0227484176538859e-20
-3.998,-3.407374103443811e-21,-1.0360477621223941e-20
-3.997,-3.4464702578631116e-21,-1.049519876417512e-20
-3.996,-3.4860051486441415e-21,-1.063167002488714e-20
-3.995,-3.52598355048329e-21,-1.0769914113418774e-20
-3.994,-3.56641028774313e-21,-1.090995403415331e-20
-3.993,-3.6072902349325344e-21,-1.105181308960767e-20
-3.992,-3.6486283171908275e-21,-1.1195514884290715e-20
-3.991,-3.690429510775989e-21,-1.1341083328611424e-20
-3.99,-3.732698843556938e-21,-1.1488542642837558e-20
-3.989,-3.7754413955099314e-21,-1.1637917361105477e-20
-3.988,-3.818662299219068e-21,-1.1789232335481758e-20
-3.987,-3.862366740380961e-21,-1.19425127400773e-20
-3.986,-3.906559958313568e-21,-1.2097784075214566e-20
-3.985,-3.9512472464692194e-21,-1.2255072171648677e-20
-3.984,-3.996433952951865e-21,-1.2414403194843025e-20
-3.983,-4.0421254810385494e-21,-1.2575803649300131e-20
-3.982,-4.088327289705159e-21,-1.2739300382948446e-20
-3.981,-4.13504489415644e-21,-1.2904920591585821e-20
-3.98,-4.182283866360323e-21,-1.3072691823380376e-20
-3.979,-4.230049835586577e-21,-1.3242641983429506e-20
-3.978,-4.278348488949803e-21,-1.3414799338377788e-20
-3.977,-4.327185571956797e-21,-1.3589192521094516e-20
-3.976,-4.376566889058299e-21,-1.3765850535411675e-20
-3.975,-4.426498304205157e-21,-1.39448027609231e-20
-3.974,-4.476985741408911e-21,-1.4126078957845612e-20
-3.973,-4.5280351853068324e-21,-1.430970927194297e-20
-3.972,-4.579652681731435e-21,-1.4495724239513373e-20
-3.971,-4.631844338284469e-21,-1.4684154792441408e-20
-3.97,-4.6846163249154245e-21,-1.487503226331524e-20
-3.969,-4.737974874504571e-21,-1.5068388390609867e-20
-3.968,-4.791926283450535e-21,-1.5264255323937332e-20
-3.967,-4.846476912262447e-21,-1.5462665629364726e-20
-3.966,-4.901633186156675e-21,-1.5663652294800865e-20
-3.965,-4.957401595658158e-21,-1.5867248735452537e-20
-3.964,-5.013788697206358e-21,-1.6073488799351175e-20
-3.963,-5.070801113765855e-21,-1.6282406772950933e-20
-3.962,-5.128445535441595e-21,-1.6494037386799014e-20
-3.961,-5.186728720098803e-21,-1.6708415821279238e-20
-3.96,-5.245657493987598e-21,-1.6925577712429734e-20
-3.959,-5.3052387523722985e-21,-1.7145559157835786e-20
-3.958,-5.365479460165459e-21,-1.7368396722598737e-20
-3.957,-5.426386652566633e-21,-1.7594127445381957e-20
-3.956,-5.4879674357058905e-21,-1.7822788844534866e-20
-3.955,-5.550228987292103e-21,-1.8054418924296048e-20
-3.954,-5.6131785572659994e-21,-1.8289056181076386e-20
-3.953,-5.676823468458022e-21,-1.8526739609823367e-20
-3.952,-5.7411711172509805e-21,-1.8767508710467514e-20
-3.951,-5.8062289742475306e-21,-1.9011403494452035e-20
