M omega,Re(tilde_Psi_4),Im(tilde_Psi_4)
-4.0,1.8552071731819278e-20,-3.136054569706337e-21
-3.999,1.8783691993111016e-20,-3.1679216990080712e-21
-3.998,1.9018200826276663e-20,-3.200093283080557e-21
-3.997,1.9255634212519037e-20,-3.232571926646829e-21
-3.996,1.9496028580664567e-20,-3.2653602516393107e-21
-3.995,1.9739420812724248e-20,-3.2984608972189253e-21
-3.994,1.9985848249523573e-20,-3.3318765197919408e-21
-3.993,2.02353486964023e-20,-3.3656097930244972e-21
-3.992,2.048796042898491e-20,-3.3996634078547505e-21
-3.991,2.0743722199022652e-20,-3.43404007250257e-21
-3.99,2.1002673240308063e-20,-3.4687425124767245e-21
-3.989,2.1264853274662813e-20,-3.5037734705795e-21
-3.988,2.153030251799984e-20,-3.539135706908672e-21
-3.987,2.1799061686460688e-20,-3.574831998856773e-21
-3.986,2.2071172002628918e-20,-3.61086514110758e-21
-3.985,2.2346675201820633e-20,-3.647237945629764e-21
-3.984,2.262561353845298e-20,-3.6839532416676115e-21
-3.983,2.2908029792491645e-20,-3.7210138757287655e-21
-3.982,2.3193967275978324e-20,-3.7584227115688956e-21
-3.981,2.3483469839639103e-20,-3.7961826301732315e-21
-3.98,2.3776581879574843e-20,-3.834296529734881e-21
-3.979,2.4073348344034472e-20,-3.8727673256298506e-21
-3.978,2.4373814740272323e-20,-3.9115979503886966e-21
-3.977,2.467802714149048e-20,-3.9507913536647136e-21
-3.976,2.4986032193867192e-20,-3.990350502198594e-21
-3.975,2.529787712367248e-20,-4.030278379779458e-21
-3.974,2.5613609744471943e-20,-4.070577987202176e-21
-3.973,2.5933278464419888e-20,-4.111252342220899e-21
-3.972,2.625693229364291e-20,-4.152304479498707e-21
-3.971,2.6584620851714997e-20,-4.193737450553271e-21
-3.97,2.691639437522531e-20,-4.235554323698458e-21
-3.969,2.725230372543982e-20,-4.2777581839817696e-21
-3.968,2.759240039605793e-20,-4.320352133117529e-21
-3.967,2.7936736521065195e-20,-4.363339289415704e-21
-3.966,2.828536488268352e-20,-4.406722787706284e-21
-3.965,2.8638338919419795e-20,-4.450505779259099e-21
-3.964,2.8995712734214386e-20,-4.4946914316989805e-21
-3.963,2.9357541102690616e-20,-4.539282928916159e-21
-3.962,2.97238794815065e-20,-4.584283470971796e-21
-3.961,3.0094784016810057e-20,-4.629696273998531e-21
-3.96,3.047031155279933e-20,-4.675524570095946e-21
-3.959,3.0850519640388664e-20,-4.721771607220829e-21
-3.958,3.1235466545982257e-20,-4.768440649072114e-21
-3.957,3.162521126035656e-20,-4.815534974970397e-21
-3.956,3.201981350765274e-20,-4.863057879731898e-21
-3.955,3.241933375448061e-20,-4.911012673536748e-21
-3.954,3.2823833219135356e-20,-4.959402681791483e-21
-3.953,3.3233373880928565e-20,-5.008231244985621e-21
-3.952,3.3648018489634865e-20,-5.0575017185421795e-21
-3.951,3.406783057505563e-20,-5.107217472662033e-21
-3.95,3.449287445670122e-20,-5.157381892161938e-21
-3.949,3.492321525359325e-20,-5.207998376306139e-21
-3.948,3.5358918894188285e-20,-5.259070338631368e-21
-3.947,3.5800052126424547e-20,-5.3106012067651425e-21
-3.946,3.62466825278931e-20,-5.362594422237194e-21
-3.945,3.669887851613511e-20,-5.4150534402838834e-21
