0.00000000, 2.42401964130426098079358515421106653223e+00, -1.90531691684164104907899428407747174418e-01, 4.00000000000000000000000000000000000000e+01, 0.00000000000000000000000000000000000000e+00, 4.87012670420149233202480927342164616253e+00, 3.19477763215716360068910832489089804305e-01, 1.1663647492886543e-02, 2.2476628502597974e-02
0.00100000, 2.42488370127004774575409387059254555485e+00, -1.90530244279226372555182256710425644947e-01, 3.99986140412137190322851815621509224877e+01, 1.08923596760328008533739724727501328740e-04, 4.86947756928334400735386942743524969717e+00, 3.19557789283339408290343722419044734059e-01, 1.1625593545053878e-02, 2.2556456385734578e-02
0.00200000, 2.42574866036835441202836237838826649929e+00, -1.90528767568276167102508706799261544487e-01, 3.99972264709830314004783411806242956162e+01, 2.17943944383715553222169747375320268522e-04, 4.86882775113592578312000422138032160822e+00, 3.19637825262120134417286532978459223047e-01, 1.1587154750667421e-02, 2.2636430362256106e-02
0.00300000, 2.42661452029517941495688387400602717119e+00, -1.90527261469675926283948419828950019130e-01, 3.99958372862515965793625572562986463601e+01, 3.27061136117176639973964051103972310946e-04, 4.86817724778567485667722888299155231422e+00, 3.19717869676304982245060833894777629721e-01, 1.1548328864365378e-02, 2.2716549732900059e-02
0.00400000, 2.42748128275128375006729296615298598997e+00, -1.90525725901514938590790840019899851893e-01, 3.99944464839545989273281567455294241534e+01, 4.36275265288317525588419887695875748208e-04, 4.86752605724128091179882141630015847682e+00, 3.19797921047946034416634101014963639597e-01, 1.1509113630898131e-02, 2.2796813786013405e-02
0.00500000, 2.42834894944220890545131883663545993408e+00, -1.90524160781608206297229216641310972771e-01, 3.99930540610187162628556833736316865076e+01, 5.45586425305148243504183158661600974905e-04, 4.86687417749362706932817828209632382004e+00, 3.19877977896970759285855518288256027706e-01, 1.1469506785112167e-02, 2.2877221797430737e-02
0.00600000, 2.42921752207829487914969914645894924390e+00, -1.90522566027495302731771655177186255673e-01, 3.99916600143620882941471363928356530888e+01, 6.54994709655891517061932209269834485448e-04, 4.86622160651573087112009867581712391165e+00, 3.19958038741251857458130374692091579540e-01, 1.1429506051934392e-02, 2.2957773030351426e-02
0.00700000, 2.43008700237469828203185312701934409171e+00, -1.90520941556439223759853510018799098769e-01, 3.99902643408942849010748188064121170720e+01, 7.64500211908789037876536501730208172783e-04, 4.86556834226268528995727690788985163553e+00, 3.20038102096677210475143878879032758062e-01, 1.1389109146356846e-02, 2.3038466735215760e-02
0.00800000, 2.43095739205141052666038360356740517253e+00, -1.90519287285425233442885056857083622999e-01, 3.99888670375162742686116096409467771866e+01, 8.74103025711905086724814999969571559462e-04, 4.86491438267159975813813296901922461618e+00, 3.20118166477219934297410759448810668518e-01, 1.1348313773421822e-02, 2.3119302149580075e-02
0.00900000, 2.43182869283327610263377425776910265203e+00, -1.90517603131159703838726120993507712972e-01, 3.99874681011203908709009082367412717148e+01, 9.83803244792927474163927049528316843397e-04, 4.86425972566154120744621223379795384905e+00, 3.20198230395008540426207175964728744558e-01, 1.1307117628207389e-02, 2.3200278497990846e-02
