t/M,Re(Psi_4),Im(Psi_4)
-100.0,-9.70863462059033e-11,-1.326330783990706e-12
-99.99,-9.71400678015878e-11,-1.327211534014566e-12
-99.98,-9.719382488636168e-11,-1.328092937783218e-12
-99.97,-9.724761727623863e-11,-1.3289751680158486e-12
-99.96,-9.730144498846626e-11,-1.3298579450791405e-12
-99.95,-9.7355308509064e-11,-1.3307411823862795e-12
-99.94,-9.740920720567633e-11,-1.331625635075064e-12
-99.93,-9.746314128410143e-11,-1.332510461892747e-12
-99.92,-9.751711102872572e-11,-1.3333960352445873e-12
-99.91,-9.757111636062338e-11,-1.3342822110306075e-12
-99.9,-9.762515718641777e-11,-1.3351690229988105e-12
-99.89,-9.767923370458458e-11,-1.3360567730604545e-12
-99.88,-9.773334585132461e-11,-1.336944953924094e-12
-99.87,-9.778749350601043e-11,-1.337833961677339e-12
-99.86,-9.784167705234632e-11,-1.3387235463024938e-12
-99.85,-9.78958963545854e-11,-1.3396138491268751e-12
-99.84,-9.795015161084858e-11,-1.3405033998869109e-12
-99.83,-9.800444175384704e-11,-1.3413968815870225e-12
-99.82,-9.805876824978237e-11,-1.3422889738266127e-12
-99.81,-9.811313057203203e-11,-1.3431820925190687e-12
-99.8,-9.816752887755288e-11,-1.3440757809222873e-12
-99.79,-9.822196272145201e-11,-1.3449701915675671e-12
-99.78,-9.827643272592352e-11,-1.3458652262522009e-12
-99.77,-9.833093853722683e-11,-1.3467611620216021e-12
-99.76,-9.838548041152757e-11,-1.3476577018841145e-12
-99.75,-9.844005785802623e-11,-1.3485550044503727e-12
-99.74,-9.849467199706937e-11,-1.349452807065605e-12
-99.73,-9.854932190283428e-11,-1.3503513713945083e-12
-99.72,-9.86040078897422e-11,-1.3512506681365453e-12
-99.71,-9.865872990502119e-11,-1.3521505752018801e-12
-99.7,-9.871348806291992e-11,-1.3530513474220538e-12
-99.69,-9.876828236726383e-11,-1.3539526881322902e-12
-99.68,-9.882311290160168e-11,-1.3548546683753656e-12
-99.67,-9.887797960187992e-11,-1.3557574854721866e-12
-99.66,-9.893288233154902e-11,-1.3566611076288465e-12
-99.65,-9.898782167181584e-11,-1.3575651978274413e-12
-99.64,-9.904279716613299e-11,-1.3584699107244066e-12
-99.63,-9.90978092489265e-11,-1.3593753350390746e-12
-99.62,-9.915285720645618e-11,-1.360281641566025e-12
-99.61,-9.920794173301996e-11,-1.3611884857143967e-12
-99.6,-9.926306256501722e-11,-1.3620965833871728e-12
-99.59,-9.931822014126557e-11,-1.3630044929555961e-12
-99.58,-9.937341387603734e-11,-1.3639135696837074e-12
-99.57,-9.942864421402558e-11,-1.364823082018323e-12
-99.56,-9.948391097110047e-11,-1.3657337779344095e-12
-99.55,-9.95392142462032e-11,-1.3666449691646586e-12
-99.54,-9.959455432789266e-11,-1.3675567619971445e-12
-99.53,-9.964993089410986e-11,-1.3684694442585e-12
-99.52,-9.97053438894107e-11,-1.3693825621496482e-12
-99.51,-9.976079387398424e-11,-1.3702966011423784e-12
-99.5,-9.981628034183386e-11,-1.3712112032148959e-12
-99.49,-9.987180359383206e-11,-1.372126560338362e-12
-99.48,-9.992736363907268e-11,-1.3730426338926905e-12
-99.47,-9.998296028425814e-11,-1.3739594650383849e-12
-99.46,-1.0003859381655402e-10,-1.3748770404452804e-12
-99.45,-1.000942640079022e-10,-1.3757952039660844e-12
-99.44,-1.001499711545901e-10,-1.376714066679056e-12
-99.43,-1.0020571536336432e-10,-1.3776336194113545e-12
-99.42,-1.0026149622941756e-10,-1.3785540583630797e-12
-99.41,-1.0031731411993392e-10,-1.3794751167345073e-12
-99.4,-1.0037316903385527e-10,-1.3803968763733941e-12
-99.39,-1.0042906078380675e-10,-1.3813193009204093e-12
-99.38,-1.0048498955813219e-10,-1.3822424895114795e-12
-99.37,-1.0054095547109992e-10,-1.383166603835208e-12
-99.36,-1.0059695866785937e-10,-1.3840910773840404e-12
-99.35,-1.0065299874713037e-10,-1.3850163851456332e-12
-99.34,-1.0070907604537127e-10,-1.3859424294229824e-12
-99.33,-1.0076519042606802e-10,-1.386869254440844e-12
-99.32,-1.0082134206329388e-10,-1.38779681082838e-12
-99.31,-1.008775308641101e-10,-1.3887249351479687e-12
-99.3,-1.0093375688110683e-10,-1.3896538227178202e-12
-99.29,-1.0099002024133605e-10,-1.3905834922980893e-12
-99.28,-1.0104632088027952e-10,-1.3915139489103619e-12
-99.27,-1.0110265892970162e-10,-1.392444938974466e-12
-99.26,-1.0115903426865491e-10,-1.393376841037176e-12
-99.25,-1.0121544697297215e-10,-1.3943092758097597e-12
-99.24,-1.0127189711269158e-10,-1.39524244901499e-12
-99.23,-1.0132838470424039e-10,-1.3961764719054351e-12
-99.22,-1.0138490982224751e-10,-1.3971110840065987e-12
-99.21,-1.014414725553017e-10,-1.3980465592071607e-12
-99.2,-1.0149807255922037e-10,-1.3989828287031933e-12
-99.19,-1.0155471021199153e-10,-1.3999197857533926e-12
-99.18,-1.0161138553026075e-10,-1.4008571722498084e-12
-99.17,-1.0166809849967396e-10,-1.4017954553124808e-12
-99.16,-1.0172484892084449e-10,-1.4027346148623128e-12
-99.15,-1.0178163723630477e-10,-1.4036743656579467e-12
-99.14,-1.0183846323701103e-10,-1.4046148613731583e-12
-99.13,-1.0189532682120261e-10,-1.405556192794448e-12
-99.12,-1.019522283547053e-10,-1.4064980400326023e-12
-99.11,-1.0200916757411173e-10,-1.4074408003133267e-12
-99.1,-1.0206614452965521e-10,-1.4083840404969622e-12
-99.09,-1.0212315956270083e-10,-1.4093282835300757e-12
-99.08,-1.0218021235083194e-10,-1.410273246317106e-12
-99.07,-1.0223730313283661e-10,-1.4112188034420969e-12
-99.06,-1.0229443178134868e-10,-1.4121652224122863e-12
-99.05,-1.0235159840272244e-10,-1.4131123177330987e-12
-99.04,-1.0240880309530783e-10,-1.4140601733878737e-12
-99.03,-1.0246604570117801e-10,-1.4150087630209206e-12
-99.02,-1.0252332651323544e-10,-1.415958138948866e-12
-99.01,-1.0258064545219408e-10,-1.4169085968007114e-12
-99.0,-1.0263800210218099e-10,-1.4178590660261634e-12
-98.99,-1.0269539711496154e-10,-1.4188101863091479e-12
-98.98,-1.0275283050081049e-10,-1.4197625907821213e-12
-98.97,-1.0281030192381107e-10,-1.4207155863710076e-12
-98.96,-1.0286781156292127e-10,-1.4216693606229923e-12
-98.95,-1.029253594582397e-10,-1.4226238760257868e-12
-98.94,-1.0298294585314159e-10,-1.4235789948341984e-12
-98.93,-1.0304057031719783e-10,-1.4245350017269912e-12
-98.92,-1.0309823339954345e-10,-1.4254915939815901e-12
-98.91,-1.0315593450383362e-10,-1.4264491653749379e-12
-98.9,-1.0321367460763114e-10,-1.4274070732963595e-12
-98.89,-1.0327145242711706e-10,-1.4283662794984951e-12
-98.88,-1.0332926911024618e-10,-1.4293259115222242e-12
-98.87,-1.0338712417580826e-10,-1.4302863535145768e-12
-98.86,-1.0344501785709276e-10,-1.4312475581543582e-12
-98.85,-1.0350295012853814e-10,-1.432209531395597e-12
-98.84,-1.0356092092824653e-10,-1.4331722246867606e-12
-98.83,-1.0361893021198079e-10,-1.4341355260800675e-12
