t/M,Re(Psi_4),Im(Psi_4)
-100.0,-9.704345205408453e-11,-2.765581110807567e-12
-99.99,-9.709714049051496e-11,-2.767417186922761e-12
-99.98,-9.715086430204246e-11,-2.7692554457986156e-12
-99.97,-9.720462319793601e-11,-2.7710943960954783e-12
-99.96,-9.725841781130795e-11,-2.772935190649765e-12
-99.95,-9.731224778494134e-11,-2.774779155913463e-12
-99.94,-9.736611369871353e-11,-2.7766208895855074e-12
-99.93,-9.742001315926127e-11,-2.778465219775772e-12
-99.92,-9.747395110882168e-11,-2.7803119136402444e-12
-99.91,-9.752792302212431e-11,-2.7821600493823667e-12
-99.9,-9.758193037116345e-11,-2.784008824745021e-12
-99.89,-9.76359733278124e-11,-2.7858595730993237e-12
-99.88,-9.769005195937693e-11,-2.787711399102583e-12
-99.87,-9.774416654243858e-11,-2.7895651077633096e-12
-99.86,-9.77983158300718e-11,-2.791419608732786e-12
-99.85,-9.785250226847614e-11,-2.7932756693053235e-12
-99.84,-9.790672495928372e-11,-2.795133990276244e-12
-99.83,-9.796098142940685e-11,-2.7969930466234446e-12
-99.82,-9.801527334552657e-11,-2.7988533256564706e-12
-99.81,-9.806960246530833e-11,-2.8007152113314614e-12
-99.8,-9.81239666537225e-11,-2.802578835067978e-12
-99.79,-9.817836665157705e-11,-2.8044443154257013e-12
-99.78,-9.823280312836946e-11,-2.806311530359047e-12
-99.77,-9.828727487216283e-11,-2.8081775919487895e-12
-99.76,-9.834178312346937e-11,-2.8100469343777163e-12
-99.75,-9.839632744103034e-11,-2.8119189612604474e-12
-99.74,-9.845090701610307e-11,-2.8137894625745238e-12
-99.73,-9.850552297081785e-11,-2.8156634503930264e-12
-99.72,-9.856017509445535e-11,-2.8175383226499544e-12
-99.71,-9.861486306785176e-11,-2.819414616285604e-12
-99.7,-9.866958774263511e-11,-2.8212915778765477e-12
-99.69,-9.872434806143557e-11,-2.823171238019403e-12
-99.68,-9.877914407763631e-11,-2.8250520214968666e-12
-99.67,-9.883397675889001e-11,-2.82693454716598e-12
-99.66,-9.888884574679655e-11,-2.8288175025245744e-12
