t/M,Re(Psi_4),Im(Psi_4)
-100.0,2.7258477835061784e-9,4.860151391606228e-21
-99.99,2.727293338290495e-9,-4.276156722005702e-21
-99.98,2.7287398050829667e-9,-2.1402353126911263e-21
-99.97,2.730187184714006e-9,5.44630301289503e-23
-99.96,2.7316354776533118e-9,6.195843724570682e-22
-99.95,2.7330846846597206e-9,-4.9636850726434405e-21
-99.94,2.7345348062287357e-9,5.232764795755779e-21
-99.93,2.735985843309333e-9,-1.1708473001880178e-20
-99.92,2.737437796425844e-9,4.836964160957269e-21
-99.91,2.738890666076936e-9,-5.882007253926632e-21
-99.9,2.7403444533579933e-9,1.4219704004954647e-21
-99.89,2.7417991586756302e-9,4.026489564087841e-21
-99.88,2.7432547827038923e-9,-4.616415850831124e-21
-99.87,2.7447113260007476e-9,2.106263323600791e-21
-99.86,2.746168789477862e-9,-5.031089812902043e-22
-99.85,2.747627173791741e-9,4.625582895506293e-21
-99.84,2.7490864794262197e-9,1.2628952134851644e-21
-99.83,2.750546707002676e-9,1.2941710129651557e-21
-99.82,2.752007857441636e-9,8.131707864797728e-21
-99.81,2.753469931391428e-9,4.889270239397945e-21
-99.8,2.7549329292479958e-9,-2.536575185411705e-21
-99.79,2.756396852269531e-9,-2.909727827483325e-21
-99.78,2.7578617005479943e-9,-8.738350527125144e-21
-99.77,2.759327474980414e-9,1.1313750842925805e-20
-99.76,2.7607941762352793e-9,6.835379900144297e-21
-99.75,2.762261805519102e-9,-7.2123072076704e-21
-99.74,2.763730361941173e-9,6.5161510502795584e-21
-99.73,2.7651998477231344e-9,2.889776024366779e-21
-99.72,2.7666702631734874e-9,-4.5150391214821865e-21
-99.71,2.7681416087731247e-9,-4.09928668356713e-21
-99.7,2.7696138852449453e-9,-1.3087304368610136e-21
-99.69,2.7710870934174142e-9,6.74748411884708e-21
-99.68,2.7725612336784396e-9,-5.2273724165350914e-21
-99.67,2.774036307006218e-9,-5.610770579126018e-21
-99.66,2.7755123141021626e-9,-1.5983012010119673e-21
-99.65,2.776989255204554e-9,-5.0068241064089455e-21
-99.64,2.7784671314731608e-9,-1.2782095704719188e-20
-99.63,2.7799459433340365e-9,4.443320477847035e-22
-99.62,2.7814256918367393e-9,-1.406871738677538e-21
-99.61,2.782906377187789e-9,-3.008408367221918e-21
-99.6,2.784388000310229e-9,-3.5859321817576186e-22
-99.59,2.7858705619318973e-9,-2.6746200934613216e-22
-99.58,2.787354062632645e-9,-1.4171711829890524e-20
-99.57,2.788838502984689e-9,1.0062179625804086e-21
-99.56,2.7903238841262088e-9,3.546028575524526e-21
-99.55,2.791810206386766e-9,1.1260366288640991e-20
-99.54,2.793297470420422e-9,7.711102285584052e-21
-99.53,2.7947856771987117e-9,-5.423655020168139e-21
-99.52,2.7962748272017267e-9,6.6946388024843366e-21
-99.51,2.7977649210370467e-9,-1.6574556010629162e-20
-99.5,2.7992559595900794e-9,-4.661711836284904e-21
-99.49,2.8007479434660268e-9,8.978311402445768e-22
-99.48,2.8022408733248917e-9,5.748276249253566e-22
-99.47,2.8037347498911948e-9,2.4616211142441395e-21
-99.46,2.805229574210133e-9,2.5187803339834344e-21
-99.45,2.806725346419351e-9,2.4308845526862174e-21
-99.44,2.8082220674002275e-9,1.8679201620463748e-21
-99.43,2.8097197379930867e-9,-2.6810909485261474e-21
-99.42,2.811218358777598e-9,7.936503737008818e-21
-99.41,2.812717930545131e-9,1.560123156129495e-20
-99.4,2.8142184537177154e-9,8.368433312585937e-21
-99.39,2.815719929304609e-9,-8.892033334914758e-22
-99.38,2.8172223580056197e-9,-8.398630636221791e-21
-99.37,2.8187257402729765e-9,-6.3241823500230605e-21
-99.36,2.8202300770389464e-9,-5.022462006148941e-21
-99.35,2.821735368914095e-9,-7.924101264801235e-21
-99.34,2.8232416165729056e-9,4.6045526165456104e-21
-99.33,2.824748820750863e-9,-3.2667033318928802e-21
-99.32,2.8262569821500623e-9,-5.178301765626829e-21
-99.31,2.8277661014661905e-9,-3.745546606689988e-21
-99.3,2.8292761793267684e-9,8.40833691881903e-21
-99.29,2.8307872167007173e-9,-5.090945222251681e-21
-99.28,2.832299214079519e-9,-1.0391114758266061e-21
-99.27,2.8338121720744123e-9,7.467366744808949e-21
-99.26,2.8353260916796127e-9,3.081205486701208e-21
-99.25,2.8368409732657453e-9,-7.7650260777909335e-22
-99.24,2.8383568178374695e-9,-1.782720570359502e-21
-99.23,2.839873625958229e-9,-1.0136055221127513e-20
-99.22,2.8413913983606553e-9,3.7255948035734415e-21
-99.21,2.8429101357393786e-9,1.0025511447103406e-20
-99.2,2.844429838899366e-9,2.24754365918282e-21
-99.19,2.8459505084219368e-9,-2.5462814680089436e-21
-99.18,2.847472145018951e-9,4.9205460388779355e-21
-99.17,2.848994749513553e-9,5.759061007694942e-22
-99.16,2.850518322545621e-9,1.1123399856435512e-20
-99.15,2.852042864764782e-9,-9.242537984259486e-22
-99.14,2.853568377119099e-9,3.3335688342294133e-21
-99.13,2.855094860044211e-9,1.3933907906258175e-21
-99.12,2.8566223144300135e-9,-2.7102097963178633e-21
-99.11,2.8581507409536277e-9,-1.3301921061593525e-20
-99.1,2.8596801404090735e-9,3.711035379677584e-21
-99.09,2.8612105131975703e-9,-2.3801961880117487e-21
-99.08,2.862741860359465e-9,7.649629162468207e-21
-99.07,2.8642741825127126e-9,4.637446129791808e-23
-99.06,2.865807480399011e-9,-8.248183255964592e-21
-99.05,2.867341754836532e-9,-8.120923106356351e-22
