t/M,Re(Psi_4),Im(Psi_4)
-100.0,-6.076503987807241e-10,5.992048908143584e-12
-99.99,-6.079794746529302e-10,5.9959400035965886e-12
-99.98,-6.083087624872624e-10,5.9998340399903995e-12
-99.97,-6.086382624946817e-10,6.003730970087369e-12
-99.96,-6.089679748909348e-10,6.007630820415577e-12
-99.95,-6.092978997277414e-10,6.011533650640891e-12
-99.94,-6.096280370686682e-10,6.0154394027917294e-12
-99.93,-6.099583876039561e-10,6.01934796477347e-12
-99.92,-6.102889507539488e-10,6.02325963768039e-12
-99.91,-6.106197271772457e-10,6.027174221075598e-12
-99.9,-6.109507168352897e-10,6.031091725677122e-12
-99.89,-6.112819198792322e-10,6.035012183069744e-12
-99.88,-6.116133366658508e-10,6.038935586161272e-12
-99.87,-6.119449671198559e-10,6.042861918323226e-12
-99.86,-6.122768114949302e-10,6.04679126148297e-12
-99.85,-6.126088699124248e-10,6.050723493240502e-12
-99.84,-6.129411422315435e-10,6.054658488646712e-12
-99.83,-6.132736299819767e-10,6.0585968677946105e-12
-99.82,-6.13606331567073e-10,6.062538087390801e-12
-99.81,-6.139392479571693e-10,6.0664821882221604e-12
-99.8,-6.142723792492654e-10,6.070429305457707e-12
-99.79,-6.146057256178371e-10,6.074379361976444e-12
-99.78,-6.149392871089173e-10,6.078332402381431e-12
-99.77,-6.152730639888894e-10,6.082288437170557e-12
-99.76,-6.156070564330897e-10,6.0862474614989014e-12
-99.75,-6.159412643807311e-10,6.0902094413257235e-12
-99.74,-6.162756885071328e-10,6.094174436005614e-12
-99.73,-6.166103285213357e-10,6.098142394842256e-12
-99.72,-6.169451846387028e-10,6.102113319300084e-12
-99.71,-6.172802571127805e-10,6.106087286160107e-12
-99.7,-6.17615546036849e-10,6.110064244212923e-12
-99.69,-6.179510516189438e-10,6.114044090444e-12
-99.68,-6.182867741074486e-10,6.1180271127768675e-12
-99.67,-6.186227135293024e-10,6.122013066817844e-12
-99.66,-6.189588700594566e-10,6.1260019476500226e-12
-99.65,-6.192952439936356e-10,6.1299940272251075e-12
-99.64,-6.196318352375103e-10,6.13398898548679e-12
-99.63,-6.199686441787904e-10,6.137986925843242e-12
-99.62,-6.203056710465337e-10,6.141987965304376e-12
-99.61,-6.206429157538878e-10,6.1459919949491165e-12
-99.6,-6.20980378683101e-10,6.149999105481194e-12
-99.59,-6.213180596266813e-10,6.154009116269925e-12
-99.58,-6.216559592541623e-10,6.158022211206224e-12
-99.57,-6.219940774118471e-10,6.1620385909337825e-12
-99.56,-6.223324143598793e-10,6.166057518509698e-12
-99.55,-6.226709702205436e-10,6.170079737218043e-12
-99.54,-6.230097452739198e-10,6.174104933291906e-12
-99.53,-6.233487394291494e-10,6.178133234731002e-12
-99.52,-6.236879531239229e-10,6.182164511962793e-12
-99.51,-6.240273863907266e-10,6.186198918321877e-12
-99.5,-6.243670394448667e-10,6.1902363144043285e-12
-99.49,-6.247069124728586e-10,6.194276724689395e-12
-99.48,-6.250470054550679e-10,6.1983202247842964e-12
-99.47,-6.253873188656312e-10,6.202366882412465e-12
-99.46,-6.257278525298351e-10,6.206416484904126e-12
-99.45,-6.260686067881543e-10,6.210469169860258e-12
-99.44,-6.264095819052997e-10,6.2145249225864955e-12
-99.43,-6.267507778542588e-10,6.218583736728862e-12
-99.42,-6.270921949512494e-10,6.222645630692223e-12
-99.41,-6.27433833209777e-10,6.2267105903382956e-12
